"soc_id","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","112","201"
"Ab1","1","3","0","6","0","1","8","7","5","10","1","10","9","1","4","9","5","4","4","4","9","9","1","3","3","3","5","1","1","1","4","3","1","1","10","2","1","7","2","4","2","1","9","1","6","9","1","6","1","9","4","9","3","10","9","3","10","9","9","9","10","9","10","2","9","1","9","4","2","1","2","1","9","3","4","2","2","2","11","3","2","3","2"
"Ab12","0","1","0","4","5","1","8","7","5","8","1","8","9","11","6","1","4","4","1","1","9","9","7","8","15","9","5","3","6","5","4","3","4","3","1","5","1","7","2","6","1","1","9","1","6","1","1","9","1","9","1","5","3","10","9","9","9","9","10","9","10","9","9","4","9","1","9","1","1","1","1","7","4","7","4","5","2","2","11","3","8","4","2"
"Ab13","0","1","0","4","5","1","8","4","4","9","1","8","9","11","2","9","1","1","1","1","6","9","10","1","8","1","5","3","6","8","7","3","3","4","7","5","1","7","2","6","4","1","9","1","6","9","1","9","1","9","1","5","3","10","9","3","10","9","10","9","10","9","9","3","4","3","9","1","1","1","1","7","4","7","4","3","2","2","9","4","8","3","1"
"Ab18","1","1","1","2","5","1","8","4","4","8","1","8","3","9","6","1","4","3","1","1","2","9","8","7","15","9","6","3","6","6","3","2","3","4","6","5","1","7","2","6","7","1","1","8","6","1","1","6","1","2","1","4","3","3","9","9","9","9","9","9","9","9","9","1","9","1",NA,"3","3","1","2","7","4","7","4","6","2","2","6","4","8","6","2"
"Ab19","0","1","1","3","5","1","8","5","5","2","1","10","2","6","6","1","1","1","4","4","9","9","12","5","15","9","4","3","6","5","7","3","3","4","6","2","1","7","2","6","3","1","9","1","6","9","1","5","1","2","2","6","3","10","9","9","10","9","9","9","9","1","9","4","2","1","9","4","2","3","5","1","9","3","1","3","2","2","3","4","8","6","1"
"Ab2","1","1","0","2","6","1","8","8","4","8","1","8","2","6","6","2","4","4","1","1","9","9","1","3","15","9","5","3","6","6","5","3","4","1","6","2","2","7","2","6","1","1","9","1","6","8","4","6","1","9","1","5","3","10","9","9","9","9","9","9","10","9","9","4","9","1","9","1","1","1","1","7","4","7","4","6","2","2","11","3","8","6","2"
"Ab4","0","1","1","3","5","1","8","8","4","8","1","8","9","11","6","1","4","3","1","1","9","9","12","5","15","9","6","3","6","7","2","2","3","4","6","3","1","7","2","6","1","1","9","9","6","1","1","6","1","1","1","5","3","10","10","9","9","9","9","9","9","9","9","4","9","1","9","1","1","1","2","1","9","7","1","6","2","2","2","4","8","6","2"
"Ab6","1","1","0","2","6","1","8","8","4","8","1","8","9","11","2","9","4","3","3","1","9","9","1","3","2","2","5","5","6","7","4","3","3","3","7","4","1","7","2","7","2","1","8","8","6","9","3","5","1","9","1","5","3","9","9","3","10","9","9","9","10","9","9","4","9","1","9","2","2","1","1","1","9","7","4","4","2","2","2","4","8","6","2"
"Ac14","1","1","1","1","6","1","8","2","2","1","1","1","9","11","6","1","1","1","4","4","9","9","1","3","15","9","5","3","5","7","4","3","2","4","6","3","1","3","1","6","3","1","6","8","9","1","1","3","1","2","4","5","3","9","9","10","9","9","9","9","9","9","9","4","9","1","9","4","2","2","4","3","4","3","4","6","5","2","7","8","8","6","2"
"Ad4","0","0","0","3","7","1","8","5","5","8","1","8","9","11","6","1","4","4","1","1","9","9","7","8","15","9","6","5","6","7","4","3","1","3","7","5","1","7","2","7","1","1","9","1","6","9","3","9","1","9","1","5","3","10","9","3","10","9","10","9","10","9","9","2","9","1","9","1","1","2","4","7","4","7","4","1","5","2","1","7","9","5","2"
"Ad7","0","1","1","1","7","1","8","5","5","6","2","6","1","10","4","9","4","4","1","1","9","9","8","7","15","9","5","5","4","7","7","2","4","2","1","2","1","7","2","7","1","1","9","1","1","1","1","9","1","1","1","5","3","10","3","3","3","9","10","9","9","9","9","4","9","1","9","4","2","3","5","7","2","7","2","3","2","2","11","3","8","6","2"
"Ae10","0","1","0","3","6","1","8","5","5","8","1","8","9","11","2","9","4","3","1","1","9","9","1","3","15","9","5","5","6","5","3","3","4","2","1","1","1","7","2","7","1","1","9","1","6","1","1","3","1","1","1","5","3","10","9","9","9","9","9","3","9","9","9","5","9","3","9","2","2","1","1","7","1","7","1","2","2","2","11","3","8","3","2"
"Ae28","0","1","4","1","4","1","8","8","5","8","1","8","9","11","3","9","4","4","1","1","9","9","8","7","15","9","1","3","5","7","4","3","2","2","4","1","1","3","1","8","1","1","9","8","6","8","1","5","1","4","3","5","10","10","9","9","9","9","9","9","9","9","9","2","9","1","9","4","3","1","1","7","4","7","4","3","5","2","7","8","8","6","2"
"Ae8","0","0","1","3","6","3","8","5","5","8","1","8","2","6","2","9","4","4","1","1","9","9","1","3","1","1","5","5","4","5","5","3","4","2","1","1","1","7","2","7","1","1","9","8","3","1","2","9","1","1","1","4","3","10","9","3","9","9","10","3","9","9","9","5","9","3","9","2","2","1","1","7","4","7","4","2","2","2","11","3","8","2","2"
"Af10","0","0","0","1","9","1","8","8","5","8","1","8","9","11","2","9","6","3","1","1","9","9","8","7","15","9","6","3","5","6","5","4","2","2","2","1","1","7","1","6","1","1","9","9","6","9","1","9","9","9","1","5","3","10","10","3","10","9","10","10","10","9","9","1","9","1","9","4","3","1","2","7","1","7","1","3","5","2","2","8","8","4","2"
"Ag1","2","0","1","2","5","1","2","8","5","8","1","8","9","11","2","9","4","3","1","1","9","9","1","3","2","2","5","5","6","7","7","4","2","1","6","4","1","7","2","7","1","1","1","1","6","1","2","5","1","2","3","2","3","9","3","3","9","9","9","9","9","9","9","4","9","2","9","4","2","1","2","6","4","6","4","1","6","2","9","7","9","3","2"
"Ca3","0","0","0","3","7","7","8","1","1","7","1","8","9","11","3","9","3","3","1","1","2","9","7","8","15","9","2","5","6","7","7","3","3","4","2","1","3","7","2","7","7","1","8","1","6","8","8","8","1","9","2","2","3","9","9","9","9","9","9","9","10","9","9","5","4","2","9","4","2","3","5","7","1","7","1","2","2","2","9","4","8","8","1"
"Ca7","0","0","1","3","6","6","8","8","1","12","2","12","3","9","4","9","1","1","1","1","1","9","7","8","15","9","3","5","6","6","8","3","4","4","2","1","3","7","2","7","6","1","1","1","6","9","1","5","1","1","3","2","3","3","3","3","10","9","9","3","9","9","9","5","9","2","9","4","2","3","5","7","1","7","1","2","2","2","2","4","8","6","2"
"Cb19","1","0","1","2","6","1","8","5","5","10","1","10","2","6","2","9","1","1","1","1","1","9","13","2","15","9","4","5","6","8","7","3","4","4","5","1","1","7","2","7","6","1","9","1","6","1","1","9","1","3","3","4","3","10","9","9","3","9","10","9","9","9","9","4","9","2","9","4","3","3","5","4","1","4","1","1","2","2","9","4","8","6","2"
"Cb2","0","0","1","3","6","1","8","7","5","8","1","8","9","1","6","1","3","3","3","3","9","9","1","3","1","1","4","3","6","7","8","3","3","4","5","1","1","7","2","6","2","1","1","1","6","9","1","5","1","1","1","2","3","3","3","3","10","9","9","9","9","9","9","5","4","2","9","4","2","1","2","4","1","4","1","3","2","2","7","4","8","6","2"
"Cd2","0","0","1","3","6","1","8","7","2","9","1","8","9","11","1","9","5","1","1","1","9","9","10","1","7","4","2","6","6","7","8","4","4","4","4","1","3","7","2","7","1","1","1","1","1","8","1","9","9","1","2","2","3","3","3","3","9","3","10","10","3","9","9","5","3","4","9","3","2","6","5","4","1","4","1","2","5","2","1","7","9","4","1"
"Cd4","0","0","0","3","7","1","8","7","2","8","1","8","9","11","2","9","4","1","1","1","9","9","10","1","15","9","2","5","6","7","5","4","4","4","10","1","3","7","2","7","1","1","1","1","6","8","1","6","9","9","2","4","3","3","9","9","9","9","9","10","10","9","9","1","9","1",NA,"2","2","6","5","7","1","4","1","4","5","2","2","8","11","6","2"
"Ce3","0","0","2","2","6","7","8","1","1","6","2","6","9","11","3","9","1","1","1","1","1","9","10","1","15","9","2","5","6","7","8","3","5","1","1","1","3","7","2","7","6","1","9","1","7","1","1","9","1","1","4","1","3","10","3","4","9","3","10","3","9","9","9","5","9","1","9","4","3","3","5","5","1","5","1","2","5","3","1","8","3","2","2"
"Ce5","0","0","1","1","8","6","8","1","1","6","2","6","3","9","1","9","1","1","1","1","2","9","12","5","15","9","3","5","6","8","8","2","4","4","1","1","3","7","2","7","6","1","7","2","7","1","1","9","1","3","3","3","3","4","9","4","9","9","10","9","9","9","9","5","9","1","9","1","1","6","5","4","1","5","1","3","5","3","1","7","1","6","2"
"Ce6","0","0","0","3","7","6","8","1","1","6","2","6","9","11","3","9","1","1","1","1","1","9","10","1","15","9","3","5","6","7","8","2","4","4","1","1","3","7","2","7","6","1","7","1","7","8","1","9","1","1","1","2","3","4","3","4","9","9","10","9","9","9","9","5","9","2",NA,"1","1","3","5","5","1","5","1","2","5","3","1","8","11","8","2"
"Cf1","0","0","1","3","6","6","8","1","1","6","2","6","1","10","3","9","1","1","1","1","2","9","10","1","15","9","3","5","6","8","8","2","4","4","1","1","3","7","2","7","6","1","7","7","7","1","1","9","1","1","1","1","3","4","4","4","3","3","10","9","3","9","9","5","9","1","9","1","1","6","5","5","1","5","1","3","5","3","3","8","3","5","2"
