"","Lingala","Kongo","Kongo","Herero","Shona","Kirundi","Luganda","Tumbuka","Shona","Herero","Venda","Tswana","Tsonga","Zulu","Kikuyu"
"Lingala",0,0.0718406065687288,0.0718406065687288,0.0718406065687289,0.0718406065687289,0.0718406065687288,0.0718406065687289,0.0718406065687288,0.0718406065687288,0.0718406065687288,0.0718406065687289,0.0718406065687288,0.0718406065687289,0.0718406065687288,0.0718406065687288
"Kongo",0.0718406065687288,0,0.0094714655388,0.0669988689026979,0.0669988689026979,0.0669988689026978,0.0669988689026979,0.0669988689026978,0.0669988689026978,0.0669988689026978,0.0669988689026979,0.0669988689026978,0.0669988689026979,0.0669988689026978,0.0669988689026979
"Kongo",0.0718406065687288,0.0094714655388,0,0.0669988689026979,0.0669988689026979,0.0669988689026978,0.0669988689026979,0.0669988689026978,0.0669988689026978,0.0669988689026978,0.0669988689026979,0.0669988689026978,0.0669988689026979,0.0669988689026978,0.0669988689026979
"Herero",0.0718406065687289,0.0669988689026979,0.0669988689026979,0,0.0148218171811528,0.0592135843599427,0.0592135843599428,0.0592135843599427,0.0592135843599427,0.0592135843599427,0.0592135843599428,0.0592135843599427,0.0592135843599427,0.0592135843599427,0.0592135843599427
"Shona",0.0718406065687289,0.0669988689026979,0.0669988689026979,0.0148218171811528,0,0.0592135843599427,0.0592135843599428,0.0592135843599427,0.0592135843599427,0.0592135843599427,0.0592135843599428,0.0592135843599427,0.0592135843599427,0.0592135843599427,0.0592135843599427
"Kirundi",0.0718406065687288,0.0669988689026978,0.0669988689026978,0.0592135843599427,0.0592135843599427,0,0.0421050364202266,0.0479697426511509,0.0479697426511509,0.0479697426511509,0.0479697426511509,0.0479697426511508,0.0479697426511509,0.0479697426511509,0.0479697426511509
"Luganda",0.0718406065687289,0.0669988689026979,0.0669988689026979,0.0592135843599428,0.0592135843599428,0.0421050364202266,0,0.0479697426511509,0.0479697426511509,0.0479697426511509,0.047969742651151,0.0479697426511509,0.0479697426511509,0.0479697426511509,0.0479697426511509
"Tumbuka",0.0718406065687288,0.0669988689026978,0.0669988689026978,0.0592135843599427,0.0592135843599427,0.0479697426511509,0.0479697426511509,0,0.0341868451341935,0.0341868451341935,0.0341868451341935,0.0341868451341934,0.0341868451341935,0.0341868451341935,0.0429003358936592
"Shona",0.0718406065687288,0.0669988689026978,0.0669988689026978,0.0592135843599427,0.0592135843599427,0.0479697426511509,0.0479697426511509,0.0341868451341935,0,0.0130603489206138,0.0284026348306075,0.0284026348306074,0.0284026348306075,0.0284026348306075,0.0429003358936592
"Herero",0.0718406065687288,0.0669988689026978,0.0669988689026978,0.0592135843599427,0.0592135843599427,0.0479697426511509,0.0479697426511509,0.0341868451341935,0.0130603489206138,0,0.0284026348306075,0.0284026348306074,0.0284026348306075,0.0284026348306075,0.0429003358936592
"Venda",0.0718406065687289,0.0669988689026979,0.0669988689026979,0.0592135843599428,0.0592135843599428,0.0479697426511509,0.047969742651151,0.0341868451341935,0.0284026348306075,0.0284026348306075,0,0.0243913730507135,0.0243913730507136,0.0243913730507136,0.0429003358936593
"Tswana",0.0718406065687288,0.0669988689026978,0.0669988689026978,0.0592135843599427,0.0592135843599427,0.0479697426511508,0.0479697426511509,0.0341868451341934,0.0284026348306074,0.0284026348306074,0.0243913730507135,0,0.0206534868439811,0.0206534868439811,0.0429003358936592
"Tsonga",0.0718406065687289,0.0669988689026979,0.0669988689026979,0.0592135843599427,0.0592135843599427,0.0479697426511509,0.0479697426511509,0.0341868451341935,0.0284026348306075,0.0284026348306075,0.0243913730507136,0.0206534868439811,0,0.0144857277398037,0.0429003358936593
"Zulu",0.0718406065687288,0.0669988689026978,0.0669988689026978,0.0592135843599427,0.0592135843599427,0.0479697426511509,0.0479697426511509,0.0341868451341935,0.0284026348306075,0.0284026348306075,0.0243913730507136,0.0206534868439811,0.0144857277398037,0,0.0429003358936592
"Kikuyu",0.0718406065687288,0.0669988689026979,0.0669988689026979,0.0592135843599427,0.0592135843599427,0.0479697426511509,0.0479697426511509,0.0429003358936592,0.0429003358936592,0.0429003358936592,0.0429003358936593,0.0429003358936592,0.0429003358936593,0.0429003358936592,0
