"FAIR","Tree"
"Afrikaans",
"Armenian","Armenian_Mod"
"Belarusian"
"Bengali","Bengali"
"Bulgarian","Bulgarian"
"Czech","Czech"
"Dutch","Dutch_List"
"Eastern Punjabi"
"English","English_ST"
"French","French"
"Gujarati","Gujarati"
"Haitian"
"Icelandic","Icelandic_ST"
"Irish","Irish_A"
"Kashmiri","Kashmiri"
"Kurdish (Sorani)","Kurdish"
"Latin","Latin"
"Latvian","Latvian"
"Lithuanian","Lithuanian_ST"
"Maithili",
"Neapolitan"
"Ossetian","Digor_Ossetic"
"Russian","Russian"
"Sanskrit","Vedic_Sanskrit"
"Serbian","Serbocroatian"
"Serbo_Croatian","Serbocroatian"
"Sindhi","Sindhi"
"Sinhalese","Singhalese"
"Spanish","Spanish"
"Walloon","Walloon"
