"","Friulian","Italian","Romansh","Walloon","French","Occitan","Spanish","Portuguese","Catalan","Aromanian","Romanian","Latin","Breton","Breton","Breton","Cornish","Welsh","Welsh","Irish","Scottish Gaelic","Luxembourgish","German","West Flemish","Dutch","English","Swedish","Swedish","Swedish","Norwegian (Bokmål)","Danish","Faroese","Icelandic","Gothic","Czech","Czech","Slovak","Upper Sorbian","Lower Sorbian","Polish","Belarusian","Ukrainian","Russian","Bulgarian","Macedonian","Serbian","Old Church Slavonic","Slovenian","Latvian","Lithuanian","Western Punjabi","Urdu","Hindi","Bihari","Gujarati","Marathi","Sindhi","Assamese","Oriya","Bengali","Kashmiri","Sinhalese","Romani","Sanskrit","Tajik","Persian","Kurdish (Sorani)","Ossetian","Albanian","Anglo Saxon","Greek","Armenian","Armenian"
"Luxembourgish",10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,8208.68985453843,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,0,737.100984774301,2750.7415782919,2750.7415782919,3131.1372503379,3792.6452347609,3792.6452347609,3792.6452347609,3792.6452347609,3792.6452347609,3792.6452347609,3792.6452347609,3224.92229511203,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,10444.5169988811,11416.2082149617,11416.2082149617,11416.2082149617,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,9803.91638087458,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,13663.9058346533,13663.9058346533
"German",10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,8208.68985453843,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,737.100984774301,0,2750.7415782919,2750.7415782919,3131.1372503379,3792.6452347609,3792.6452347609,3792.6452347609,3792.6452347609,3792.6452347609,3792.6452347609,3792.6452347609,3224.92229511203,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,10444.5169988811,11416.2082149617,11416.2082149617,11416.2082149617,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,9803.91638087458,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,13663.9058346533,13663.9058346533
"West Flemish",10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,8208.68985453843,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,2750.7415782919,2750.7415782919,0,609.149970514902,3131.1372503379,3792.6452347609,3792.6452347609,3792.6452347609,3792.6452347609,3792.6452347609,3792.6452347609,3792.6452347609,3224.92229511203,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,10444.5169988811,11416.2082149617,11416.2082149617,11416.2082149617,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,9803.91638087458,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,13663.9058346533,13663.9058346533
"Dutch",10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,8208.68985453843,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,2750.7415782919,2750.7415782919,609.149970514902,0,3131.1372503379,3792.6452347609,3792.6452347609,3792.6452347609,3792.6452347609,3792.6452347609,3792.6452347609,3792.6452347609,3224.92229511203,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,10444.5169988811,11416.2082149617,11416.2082149617,11416.2082149617,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,9803.91638087458,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,13663.9058346533,13663.9058346533
"English",10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,8208.68985453843,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,3131.1372503379,3131.1372503379,3131.1372503379,3131.1372503379,0,3792.6452347609,3792.6452347609,3792.6452347609,3792.6452347609,3792.6452347609,3792.6452347609,3792.6452347609,3224.92229511203,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,10444.5169988811,11416.2082149617,11416.2082149617,11416.2082149617,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,9803.91638087458,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,13663.9058346533,13663.9058346533
"Swedish",10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,8208.68985453843,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,3792.6452347609,3792.6452347609,3792.6452347609,3792.6452347609,3792.6452347609,0,572.095675335817,980.270404121999,1444.7189287561,1444.7189287561,2626.1925432704,2626.1925432704,3224.92229511203,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,10444.5169988811,11416.2082149617,11416.2082149617,11416.2082149617,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,9803.91638087458,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,13663.9058346533,13663.9058346533
"Swedish",10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,8208.68985453843,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,3792.6452347609,3792.6452347609,3792.6452347609,3792.6452347609,3792.6452347609,572.095675335817,0,980.270404121999,1444.7189287561,1444.7189287561,2626.1925432704,2626.1925432704,3224.92229511203,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,10444.5169988811,11416.2082149617,11416.2082149617,11416.2082149617,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,9803.91638087458,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,13663.9058346533,13663.9058346533
"Swedish",10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,8208.68985453843,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,3792.6452347609,3792.6452347609,3792.6452347609,3792.6452347609,3792.6452347609,980.270404121999,980.270404121999,0,1444.7189287561,1444.7189287561,2626.1925432704,2626.1925432704,3224.92229511203,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,10444.5169988811,11416.2082149617,11416.2082149617,11416.2082149617,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,9803.91638087458,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,13663.9058346533,13663.9058346533
"Norwegian (Bokmål)",10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,8208.68985453843,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,3792.6452347609,3792.6452347609,3792.6452347609,3792.6452347609,3792.6452347609,1444.7189287561,1444.7189287561,1444.7189287561,0,673.716013766501,2626.1925432704,2626.1925432704,3224.92229511203,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,10444.5169988811,11416.2082149617,11416.2082149617,11416.2082149617,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,9803.91638087458,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,13663.9058346533,13663.9058346533
"Danish",10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,8208.68985453843,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,3792.6452347609,3792.6452347609,3792.6452347609,3792.6452347609,3792.6452347609,1444.7189287561,1444.7189287561,1444.7189287561,673.716013766501,0,2626.1925432704,2626.1925432704,3224.92229511203,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,10444.5169988811,11416.2082149617,11416.2082149617,11416.2082149617,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,9803.91638087458,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,13663.9058346533,13663.9058346533
"Faroese",10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,8208.68985453843,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,3792.6452347609,3792.6452347609,3792.6452347609,3792.6452347609,3792.6452347609,2626.1925432704,2626.1925432704,2626.1925432704,2626.1925432704,2626.1925432704,0,709.565327769096,3224.92229511203,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,10444.5169988811,11416.2082149617,11416.2082149617,11416.2082149617,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,9803.91638087458,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,13663.9058346533,13663.9058346533
"Icelandic",10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,8208.68985453843,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,3792.6452347609,3792.6452347609,3792.6452347609,3792.6452347609,3792.6452347609,2626.1925432704,2626.1925432704,2626.1925432704,2626.1925432704,2626.1925432704,709.565327769096,0,3224.92229511203,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,10444.5169988811,11416.2082149617,11416.2082149617,11416.2082149617,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,9803.91638087458,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,13663.9058346533,13663.9058346533
"Gothic",8527.85949838323,8527.85949838323,8527.85949838323,8527.85949838323,8527.85949838323,8527.85949838323,8527.85949838323,8527.85949838323,8527.85949838323,8527.85949838323,8527.85949838323,6560.73668022503,8527.85949838323,8527.85949838323,8527.85949838323,8527.85949838323,8527.85949838323,8527.85949838323,8527.85949838323,8527.85949838323,3224.92229511203,3224.92229511203,3224.92229511203,3224.92229511203,3224.92229511203,3224.92229511203,3224.92229511203,3224.92229511203,3224.92229511203,3224.92229511203,3224.92229511203,3224.92229511203,0,9768.25504064831,9768.25504064831,9768.2550406483,9768.25504064833,9768.25504064833,9768.25504064831,9768.25504064831,9768.25504064831,9768.2550406483,9768.25504064834,9768.25504064834,9768.25504064834,8796.56382456771,9768.2550406483,9768.2550406483,9768.2550406483,11150.1093048412,11150.1093048412,11150.1093048412,11150.1093048412,11150.1093048412,11150.1093048412,11150.1093048412,11150.1093048412,11150.1093048412,11150.1093048412,11150.1093048412,11150.1093048412,11150.1093048412,8155.96320656118,11150.1093048412,11150.1093048412,11150.1093048412,11150.1093048412,11150.1093048412,11150.1093048412,11150.1093048412,12015.9526603399,12015.9526603399
"Czech",11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,9449.08539680351,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,9768.25504064831,0,632.482764478009,978.695518318405,1641.95218561843,1641.95218561843,2422.58524090475,2422.58524090475,2422.58524090475,2422.58524090475,3223.85239296283,3223.85239296283,3223.85239296283,2252.16117688221,3223.8523929628,6239.2106625623,6239.2106625623,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,9803.91638087458,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,13663.9058346533,13663.9058346533
"Czech",11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,9449.08539680351,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,9768.25504064831,632.482764478009,0,978.695518318405,1641.95218561843,1641.95218561843,2422.58524090475,2422.58524090475,2422.58524090475,2422.58524090475,3223.85239296283,3223.85239296283,3223.85239296283,2252.16117688221,3223.8523929628,6239.2106625623,6239.2106625623,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,9803.91638087458,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,13663.9058346533,13663.9058346533
"Slovak",11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,9449.0853968035,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,9768.2550406483,978.695518318405,978.695518318405,0,1641.95218561843,1641.95218561843,2422.58524090474,2422.58524090474,2422.58524090474,2422.58524090474,3223.85239296283,3223.85239296283,3223.85239296283,2252.16117688221,3223.8523929628,6239.2106625623,6239.2106625623,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,9803.91638087458,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,13663.9058346533,13663.9058346533
"Upper Sorbian",11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,9449.08539680353,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,9768.25504064833,1641.95218561843,1641.95218561843,1641.95218561843,0,180.952259516961,2422.58524090477,2422.58524090477,2422.58524090477,2422.58524090477,3223.85239296286,3223.85239296286,3223.85239296286,2252.16117688223,3223.85239296283,6239.21066256233,6239.21066256233,12798.0624791547,12798.0624791547,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,9803.91638087461,12798.0624791547,12798.0624791547,12798.0624791547,12798.0624791547,12798.0624791546,12798.0624791546,12798.0624791546,13663.9058346533,13663.9058346533
"Lower Sorbian",11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,9449.08539680353,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,9768.25504064833,1641.95218561843,1641.95218561843,1641.95218561843,180.952259516961,0,2422.58524090477,2422.58524090477,2422.58524090477,2422.58524090477,3223.85239296286,3223.85239296286,3223.85239296286,2252.16117688223,3223.85239296283,6239.21066256233,6239.21066256233,12798.0624791547,12798.0624791547,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,9803.91638087461,12798.0624791547,12798.0624791547,12798.0624791547,12798.0624791547,12798.0624791546,12798.0624791546,12798.0624791546,13663.9058346533,13663.9058346533
"Polish",11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,9449.0853968035,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,9768.25504064831,2422.58524090475,2422.58524090475,2422.58524090474,2422.58524090477,2422.58524090477,0,994.007335922406,1423.7862984286,1910.99114243062,3223.85239296283,3223.85239296283,3223.85239296283,2252.16117688221,3223.8523929628,6239.2106625623,6239.2106625623,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,9803.91638087458,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,13663.9058346533,13663.9058346533
"Belarusian",11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,9449.0853968035,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,9768.25504064831,2422.58524090475,2422.58524090475,2422.58524090474,2422.58524090477,2422.58524090477,994.007335922406,0,1423.7862984286,1910.99114243062,3223.85239296283,3223.85239296283,3223.85239296283,2252.16117688221,3223.8523929628,6239.2106625623,6239.2106625623,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,9803.91638087458,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,13663.9058346533,13663.9058346533
"Ukrainian",11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,9449.0853968035,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,9768.25504064831,2422.58524090475,2422.58524090475,2422.58524090474,2422.58524090477,2422.58524090477,1423.7862984286,1423.7862984286,0,1910.99114243062,3223.85239296283,3223.85239296283,3223.85239296283,2252.16117688221,3223.8523929628,6239.2106625623,6239.2106625623,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,9803.91638087458,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,13663.9058346533,13663.9058346533
"Russian",11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,9449.0853968035,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,9768.2550406483,2422.58524090475,2422.58524090475,2422.58524090474,2422.58524090477,2422.58524090477,1910.99114243062,1910.99114243062,1910.99114243062,0,3223.85239296283,3223.85239296283,3223.85239296283,2252.16117688221,3223.8523929628,6239.2106625623,6239.2106625623,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,9803.91638087458,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,13663.9058346533,13663.9058346533
"Bulgarian",11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,9449.08539680353,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,9768.25504064834,3223.85239296283,3223.85239296283,3223.85239296283,3223.85239296286,3223.85239296286,3223.85239296283,3223.85239296283,3223.85239296283,3223.85239296283,0,1053.6501215832,1772.55980275056,1561.23524873826,2736.24667147533,6239.21066256233,6239.21066256233,12798.0624791547,12798.0624791547,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,9803.91638087461,12798.0624791547,12798.0624791547,12798.0624791547,12798.0624791547,12798.0624791546,12798.0624791546,12798.0624791546,13663.9058346533,13663.9058346533
