"Var1","Var2","value"
"Romani","Italian",12798.0624791546
"Sanskrit","Italian",9803.91638087458
"Tajik","Italian",12798.0624791546
"Persian","Italian",12798.0624791546
"Kurdish (Sorani)","Italian",12798.0624791546
"Ossetian","Italian",12798.0624791546
"Albanian","Italian",12798.0624791546
"Anglo Saxon","Italian",12798.0624791546
"Greek","Italian",12798.0624791546
"Armenian","Italian",13663.9058346533
"Armenian","Italian",13663.9058346533
"Friulian","Romansh",1807.236962731
"Italian","Romansh",1807.236962731
"Romansh","Romansh",0
"Walloon","Romansh",3133.6855057594
"French","Romansh",3133.6855057594
"Occitan","Romansh",3133.6855057594
"Spanish","Romansh",3133.6855057594
"Portuguese","Romansh",3133.6855057594
"Catalan","Romansh",3133.6855057594
"Aromanian","Romansh",3978.78246727278
"Romanian","Romansh",3978.78246727278
"Latin","Romansh",2738.6850034307
"Breton","Romansh",8891.1691552896
"Breton","Romansh",8891.1691552896
"Breton","Romansh",8891.1691552896
"Cornish","Romansh",8891.1691552896
"Welsh","Romansh",8891.1691552896
"Welsh","Romansh",8891.1691552896
"Irish","Romansh",8891.1691552896
"Scottish Gaelic","Romansh",8891.1691552896
"Luxembourgish","Romansh",10175.8126726966
"German","Romansh",10175.8126726966
"West Flemish","Romansh",10175.8126726966
"Dutch","Romansh",10175.8126726966
"English","Romansh",10175.8126726966
"Swedish","Romansh",10175.8126726966
"Swedish","Romansh",10175.8126726966
"Swedish","Romansh",10175.8126726966
"Norwegian (Bokmål)","Romansh",10175.8126726966
"Danish","Romansh",10175.8126726966
"Faroese","Romansh",10175.8126726966
"Icelandic","Romansh",10175.8126726966
"Gothic","Romansh",8527.85949838323
"Czech","Romansh",11416.2082149617
"Czech","Romansh",11416.2082149617
"Slovak","Romansh",11416.2082149617
"Upper Sorbian","Romansh",11416.2082149617
"Lower Sorbian","Romansh",11416.2082149617
"Polish","Romansh",11416.2082149617
"Belarusian","Romansh",11416.2082149617
"Ukrainian","Romansh",11416.2082149617
"Russian","Romansh",11416.2082149617
"Bulgarian","Romansh",11416.2082149617
"Macedonian","Romansh",11416.2082149617
"Serbian","Romansh",11416.2082149617
"Old Church Slavonic","Romansh",10444.5169988811
"Slovenian","Romansh",11416.2082149617
"Latvian","Romansh",11416.2082149617
"Lithuanian","Romansh",11416.2082149617
"Western Punjabi","Romansh",12798.0624791546
"Urdu","Romansh",12798.0624791546
"Hindi","Romansh",12798.0624791546
"Bihari","Romansh",12798.0624791546
"Gujarati","Romansh",12798.0624791546
"Marathi","Romansh",12798.0624791546
"Sindhi","Romansh",12798.0624791546
"Assamese","Romansh",12798.0624791546
"Oriya","Romansh",12798.0624791546
"Bengali","Romansh",12798.0624791546
"Kashmiri","Romansh",12798.0624791546
"Sinhalese","Romansh",12798.0624791546
"Romani","Romansh",12798.0624791546
"Sanskrit","Romansh",9803.91638087458
"Tajik","Romansh",12798.0624791546
"Persian","Romansh",12798.0624791546
"Kurdish (Sorani)","Romansh",12798.0624791546
"Ossetian","Romansh",12798.0624791546
"Albanian","Romansh",12798.0624791546
"Anglo Saxon","Romansh",12798.0624791546
"Greek","Romansh",12798.0624791546
"Armenian","Romansh",13663.9058346533
"Armenian","Romansh",13663.9058346533
"Friulian","Walloon",3133.6855057594
"Italian","Walloon",3133.6855057594
"Romansh","Walloon",3133.6855057594
"Walloon","Walloon",0
"French","Walloon",547.541926351173
"Occitan","Walloon",1253.1706376367
"Spanish","Walloon",2657.1918892749
"Portuguese","Walloon",2657.1918892749
"Catalan","Walloon",2657.1918892749
"Aromanian","Walloon",3978.78246727278
"Romanian","Walloon",3978.78246727278
"Latin","Walloon",2738.6850034307
"Breton","Walloon",8891.1691552896
"Breton","Walloon",8891.1691552896
"Breton","Walloon",8891.1691552896
"Cornish","Walloon",8891.1691552896
"Welsh","Walloon",8891.1691552896
"Welsh","Walloon",8891.1691552896
"Irish","Walloon",8891.1691552896
"Scottish Gaelic","Walloon",8891.1691552896
"Luxembourgish","Walloon",10175.8126726966
"German","Walloon",10175.8126726966
"West Flemish","Walloon",10175.8126726966
"Dutch","Walloon",10175.8126726966
"English","Walloon",10175.8126726966
"Swedish","Walloon",10175.8126726966
"Swedish","Walloon",10175.8126726966
"Swedish","Walloon",10175.8126726966
"Norwegian (Bokmål)","Walloon",10175.8126726966
"Danish","Walloon",10175.8126726966
"Faroese","Walloon",10175.8126726966
"Icelandic","Walloon",10175.8126726966
"Gothic","Walloon",8527.85949838323
"Czech","Walloon",11416.2082149617
"Czech","Walloon",11416.2082149617
"Slovak","Walloon",11416.2082149617
"Upper Sorbian","Walloon",11416.2082149617
"Lower Sorbian","Walloon",11416.2082149617
"Polish","Walloon",11416.2082149617
"Belarusian","Walloon",11416.2082149617
"Ukrainian","Walloon",11416.2082149617
"Russian","Walloon",11416.2082149617
"Bulgarian","Walloon",11416.2082149617
"Macedonian","Walloon",11416.2082149617
"Serbian","Walloon",11416.2082149617
"Old Church Slavonic","Walloon",10444.5169988811
"Slovenian","Walloon",11416.2082149617
"Latvian","Walloon",11416.2082149617
"Lithuanian","Walloon",11416.2082149617
"Western Punjabi","Walloon",12798.0624791546
"Urdu","Walloon",12798.0624791546
"Hindi","Walloon",12798.0624791546
"Bihari","Walloon",12798.0624791546
"Gujarati","Walloon",12798.0624791546
"Marathi","Walloon",12798.0624791546
"Sindhi","Walloon",12798.0624791546
"Assamese","Walloon",12798.0624791546
"Oriya","Walloon",12798.0624791546
"Bengali","Walloon",12798.0624791546
"Kashmiri","Walloon",12798.0624791546
"Sinhalese","Walloon",12798.0624791546
"Romani","Walloon",12798.0624791546
"Sanskrit","Walloon",9803.91638087458
"Tajik","Walloon",12798.0624791546
"Persian","Walloon",12798.0624791546
"Kurdish (Sorani)","Walloon",12798.0624791546
"Ossetian","Walloon",12798.0624791546
"Albanian","Walloon",12798.0624791546
"Anglo Saxon","Walloon",12798.0624791546
"Greek","Walloon",12798.0624791546
"Armenian","Walloon",13663.9058346533
"Armenian","Walloon",13663.9058346533
"Friulian","French",3133.6855057594
"Italian","French",3133.6855057594
"Romansh","French",3133.6855057594
"Walloon","French",547.541926351173
"French","French",0
"Occitan","French",1253.1706376367
"Spanish","French",2657.1918892749
"Portuguese","French",2657.1918892749
"Catalan","French",2657.1918892749
"Aromanian","French",3978.78246727278
"Romanian","French",3978.78246727278
"Latin","French",2738.6850034307
"Breton","French",8891.1691552896
"Breton","French",8891.1691552896
"Breton","French",8891.1691552896
"Cornish","French",8891.1691552896
"Welsh","French",8891.1691552896
"Welsh","French",8891.1691552896
"Irish","French",8891.1691552896
"Scottish Gaelic","French",8891.1691552896
"Luxembourgish","French",10175.8126726966
"German","French",10175.8126726966
"West Flemish","French",10175.8126726966
"Dutch","French",10175.8126726966
"English","French",10175.8126726966
"Swedish","French",10175.8126726966
"Swedish","French",10175.8126726966
"Swedish","French",10175.8126726966
"Norwegian (Bokmål)","French",10175.8126726966
"Danish","French",10175.8126726966
"Faroese","French",10175.8126726966
"Icelandic","French",10175.8126726966
"Gothic","French",8527.85949838323
"Czech","French",11416.2082149617
"Czech","French",11416.2082149617
"Slovak","French",11416.2082149617
"Upper Sorbian","French",11416.2082149617
"Lower Sorbian","French",11416.2082149617
"Polish","French",11416.2082149617
"Belarusian","French",11416.2082149617
"Ukrainian","French",11416.2082149617
"Russian","French",11416.2082149617
"Bulgarian","French",11416.2082149617
"Macedonian","French",11416.2082149617
"Serbian","French",11416.2082149617
"Old Church Slavonic","French",10444.5169988811
"Slovenian","French",11416.2082149617
"Latvian","French",11416.2082149617
"Lithuanian","French",11416.2082149617
"Western Punjabi","French",12798.0624791546
"Urdu","French",12798.0624791546
"Hindi","French",12798.0624791546
"Bihari","French",12798.0624791546
"Gujarati","French",12798.0624791546
"Marathi","French",12798.0624791546
"Sindhi","French",12798.0624791546
"Assamese","French",12798.0624791546
"Oriya","French",12798.0624791546
"Bengali","French",12798.0624791546
"Kashmiri","French",12798.0624791546
"Sinhalese","French",12798.0624791546
"Romani","French",12798.0624791546
"Sanskrit","French",9803.91638087458
"Tajik","French",12798.0624791546
"Persian","French",12798.0624791546
"Kurdish (Sorani)","French",12798.0624791546
"Ossetian","French",12798.0624791546
"Albanian","French",12798.0624791546
"Anglo Saxon","French",12798.0624791546
"Greek","French",12798.0624791546
"Armenian","French",13663.9058346533
"Armenian","French",13663.9058346533
"Friulian","Occitan",3133.6855057594
"Italian","Occitan",3133.6855057594
"Romansh","Occitan",3133.6855057594
"Walloon","Occitan",1253.1706376367
"French","Occitan",1253.1706376367
"Occitan","Occitan",0
"Spanish","Occitan",2657.1918892749
"Portuguese","Occitan",2657.1918892749
"Catalan","Occitan",2657.1918892749
"Aromanian","Occitan",3978.78246727278
"Romanian","Occitan",3978.78246727278
"Latin","Occitan",2738.6850034307
"Breton","Occitan",8891.1691552896
"Breton","Occitan",8891.1691552896
"Breton","Occitan",8891.1691552896
"Cornish","Occitan",8891.1691552896
"Welsh","Occitan",8891.1691552896
"Welsh","Occitan",8891.1691552896
"Irish","Occitan",8891.1691552896
"Scottish Gaelic","Occitan",8891.1691552896
"Luxembourgish","Occitan",10175.8126726966
"German","Occitan",10175.8126726966
"West Flemish","Occitan",10175.8126726966
"Dutch","Occitan",10175.8126726966
"English","Occitan",10175.8126726966
"Swedish","Occitan",10175.8126726966
"Swedish","Occitan",10175.8126726966
"Swedish","Occitan",10175.8126726966
"Norwegian (Bokmål)","Occitan",10175.8126726966
"Danish","Occitan",10175.8126726966
"Faroese","Occitan",10175.8126726966
"Icelandic","Occitan",10175.8126726966
"Gothic","Occitan",8527.85949838323
"Czech","Occitan",11416.2082149617
"Czech","Occitan",11416.2082149617
"Slovak","Occitan",11416.2082149617
"Upper Sorbian","Occitan",11416.2082149617
"Lower Sorbian","Occitan",11416.2082149617
"Polish","Occitan",11416.2082149617
"Belarusian","Occitan",11416.2082149617
"Ukrainian","Occitan",11416.2082149617
"Russian","Occitan",11416.2082149617
"Bulgarian","Occitan",11416.2082149617
"Macedonian","Occitan",11416.2082149617
"Serbian","Occitan",11416.2082149617
"Old Church Slavonic","Occitan",10444.5169988811
"Slovenian","Occitan",11416.2082149617
"Latvian","Occitan",11416.2082149617
"Lithuanian","Occitan",11416.2082149617
"Western Punjabi","Occitan",12798.0624791546
"Urdu","Occitan",12798.0624791546
"Hindi","Occitan",12798.0624791546
"Bihari","Occitan",12798.0624791546
"Gujarati","Occitan",12798.0624791546
"Marathi","Occitan",12798.0624791546
"Sindhi","Occitan",12798.0624791546
"Assamese","Occitan",12798.0624791546
"Oriya","Occitan",12798.0624791546
"Bengali","Occitan",12798.0624791546
"Kashmiri","Occitan",12798.0624791546
"Sinhalese","Occitan",12798.0624791546
"Romani","Occitan",12798.0624791546
"Sanskrit","Occitan",9803.91638087458
"Tajik","Occitan",12798.0624791546
"Persian","Occitan",12798.0624791546
"Kurdish (Sorani)","Occitan",12798.0624791546
"Ossetian","Occitan",12798.0624791546
"Albanian","Occitan",12798.0624791546
"Anglo Saxon","Occitan",12798.0624791546
"Greek","Occitan",12798.0624791546
"Armenian","Occitan",13663.9058346533
"Armenian","Occitan",13663.9058346533
"Friulian","Spanish",3133.6855057594
"Italian","Spanish",3133.6855057594
"Romansh","Spanish",3133.6855057594
"Walloon","Spanish",2657.1918892749
"French","Spanish",2657.1918892749
"Occitan","Spanish",2657.1918892749
"Spanish","Spanish",0
"Portuguese","Spanish",945.953140249101
"Catalan","Spanish",1913.9044765575
"Aromanian","Spanish",3978.78246727278
"Romanian","Spanish",3978.78246727278
"Latin","Spanish",2738.6850034307
"Breton","Spanish",8891.1691552896
"Breton","Spanish",8891.1691552896
"Breton","Spanish",8891.1691552896
"Cornish","Spanish",8891.1691552896
"Welsh","Spanish",8891.1691552896
"Welsh","Spanish",8891.1691552896
"Irish","Spanish",8891.1691552896
"Scottish Gaelic","Spanish",8891.1691552896
"Luxembourgish","Spanish",10175.8126726966
"German","Spanish",10175.8126726966
"West Flemish","Spanish",10175.8126726966
"Dutch","Spanish",10175.8126726966
"English","Spanish",10175.8126726966
"Swedish","Spanish",10175.8126726966
"Swedish","Spanish",10175.8126726966
"Swedish","Spanish",10175.8126726966
"Norwegian (Bokmål)","Spanish",10175.8126726966
"Danish","Spanish",10175.8126726966
"Faroese","Spanish",10175.8126726966
"Icelandic","Spanish",10175.8126726966
"Gothic","Spanish",8527.85949838323
"Czech","Spanish",11416.2082149617
"Czech","Spanish",11416.2082149617
"Slovak","Spanish",11416.2082149617
"Upper Sorbian","Spanish",11416.2082149617
"Lower Sorbian","Spanish",11416.2082149617
"Polish","Spanish",11416.2082149617
"Belarusian","Spanish",11416.2082149617
"Ukrainian","Spanish",11416.2082149617
"Russian","Spanish",11416.2082149617
"Bulgarian","Spanish",11416.2082149617
"Macedonian","Spanish",11416.2082149617
"Serbian","Spanish",11416.2082149617
"Old Church Slavonic","Spanish",10444.5169988811
"Slovenian","Spanish",11416.2082149617
"Latvian","Spanish",11416.2082149617
"Lithuanian","Spanish",11416.2082149617
"Western Punjabi","Spanish",12798.0624791546
"Urdu","Spanish",12798.0624791546
"Hindi","Spanish",12798.0624791546
"Bihari","Spanish",12798.0624791546
"Gujarati","Spanish",12798.0624791546
"Marathi","Spanish",12798.0624791546
"Sindhi","Spanish",12798.0624791546
"Assamese","Spanish",12798.0624791546
"Oriya","Spanish",12798.0624791546
"Bengali","Spanish",12798.0624791546
"Kashmiri","Spanish",12798.0624791546
"Sinhalese","Spanish",12798.0624791546
"Romani","Spanish",12798.0624791546
"Sanskrit","Spanish",9803.91638087458
"Tajik","Spanish",12798.0624791546
"Persian","Spanish",12798.0624791546
"Kurdish (Sorani)","Spanish",12798.0624791546
"Ossetian","Spanish",12798.0624791546
"Albanian","Spanish",12798.0624791546
"Anglo Saxon","Spanish",12798.0624791546
"Greek","Spanish",12798.0624791546
"Armenian","Spanish",13663.9058346533
"Armenian","Spanish",13663.9058346533
"Friulian","Portuguese",3133.6855057594
"Italian","Portuguese",3133.6855057594
"Romansh","Portuguese",3133.6855057594
"Walloon","Portuguese",2657.1918892749
"French","Portuguese",2657.1918892749
"Occitan","Portuguese",2657.1918892749
"Spanish","Portuguese",945.953140249101
"Portuguese","Portuguese",0
"Catalan","Portuguese",1913.9044765575
"Aromanian","Portuguese",3978.78246727278
"Romanian","Portuguese",3978.78246727278
"Latin","Portuguese",2738.6850034307
"Breton","Portuguese",8891.1691552896
"Breton","Portuguese",8891.1691552896
"Breton","Portuguese",8891.1691552896
"Cornish","Portuguese",8891.1691552896
"Welsh","Portuguese",8891.1691552896
"Welsh","Portuguese",8891.1691552896
"Irish","Portuguese",8891.1691552896
"Scottish Gaelic","Portuguese",8891.1691552896
"Luxembourgish","Portuguese",10175.8126726966
"German","Portuguese",10175.8126726966
"West Flemish","Portuguese",10175.8126726966
"Dutch","Portuguese",10175.8126726966
"English","Portuguese",10175.8126726966
"Swedish","Portuguese",10175.8126726966
"Swedish","Portuguese",10175.8126726966
"Swedish","Portuguese",10175.8126726966
"Norwegian (Bokmål)","Portuguese",10175.8126726966
"Danish","Portuguese",10175.8126726966
"Faroese","Portuguese",10175.8126726966
"Icelandic","Portuguese",10175.8126726966
"Gothic","Portuguese",8527.85949838323
"Czech","Portuguese",11416.2082149617
"Czech","Portuguese",11416.2082149617
"Slovak","Portuguese",11416.2082149617
"Upper Sorbian","Portuguese",11416.2082149617
"Lower Sorbian","Portuguese",11416.2082149617
"Polish","Portuguese",11416.2082149617
"Belarusian","Portuguese",11416.2082149617
"Ukrainian","Portuguese",11416.2082149617
"Russian","Portuguese",11416.2082149617
"Bulgarian","Portuguese",11416.2082149617
"Macedonian","Portuguese",11416.2082149617
"Serbian","Portuguese",11416.2082149617
"Old Church Slavonic","Portuguese",10444.5169988811
"Slovenian","Portuguese",11416.2082149617
"Latvian","Portuguese",11416.2082149617
"Lithuanian","Portuguese",11416.2082149617
"Western Punjabi","Portuguese",12798.0624791546
"Urdu","Portuguese",12798.0624791546
"Hindi","Portuguese",12798.0624791546
"Bihari","Portuguese",12798.0624791546
"Gujarati","Portuguese",12798.0624791546
"Marathi","Portuguese",12798.0624791546
"Sindhi","Portuguese",12798.0624791546
"Assamese","Portuguese",12798.0624791546
"Oriya","Portuguese",12798.0624791546
"Bengali","Portuguese",12798.0624791546
"Kashmiri","Portuguese",12798.0624791546
"Sinhalese","Portuguese",12798.0624791546
"Romani","Portuguese",12798.0624791546
"Sanskrit","Portuguese",9803.91638087458
"Tajik","Portuguese",12798.0624791546
"Persian","Portuguese",12798.0624791546
"Kurdish (Sorani)","Portuguese",12798.0624791546
"Ossetian","Portuguese",12798.0624791546
"Albanian","Portuguese",12798.0624791546
"Anglo Saxon","Portuguese",12798.0624791546
"Greek","Portuguese",12798.0624791546
"Armenian","Portuguese",13663.9058346533
"Armenian","Portuguese",13663.9058346533
"Friulian","Catalan",3133.6855057594
"Italian","Catalan",3133.6855057594
"Romansh","Catalan",3133.6855057594
"Walloon","Catalan",2657.1918892749
"French","Catalan",2657.1918892749
"Occitan","Catalan",2657.1918892749
"Spanish","Catalan",1913.9044765575
"Portuguese","Catalan",1913.9044765575
"Catalan","Catalan",0
"Aromanian","Catalan",3978.78246727278
"Romanian","Catalan",3978.78246727278
"Latin","Catalan",2738.6850034307
"Breton","Catalan",8891.1691552896
"Breton","Catalan",8891.1691552896
"Breton","Catalan",8891.1691552896
"Cornish","Catalan",8891.1691552896
"Welsh","Catalan",8891.1691552896
"Welsh","Catalan",8891.1691552896
"Irish","Catalan",8891.1691552896
"Scottish Gaelic","Catalan",8891.1691552896
"Luxembourgish","Catalan",10175.8126726966
"German","Catalan",10175.8126726966
"West Flemish","Catalan",10175.8126726966
"Dutch","Catalan",10175.8126726966
"English","Catalan",10175.8126726966
"Swedish","Catalan",10175.8126726966
"Swedish","Catalan",10175.8126726966
"Swedish","Catalan",10175.8126726966
"Norwegian (Bokmål)","Catalan",10175.8126726966
"Danish","Catalan",10175.8126726966
"Faroese","Catalan",10175.8126726966
"Icelandic","Catalan",10175.8126726966
"Gothic","Catalan",8527.85949838323
"Czech","Catalan",11416.2082149617
"Czech","Catalan",11416.2082149617
"Slovak","Catalan",11416.2082149617
"Upper Sorbian","Catalan",11416.2082149617
"Lower Sorbian","Catalan",11416.2082149617
"Polish","Catalan",11416.2082149617
"Belarusian","Catalan",11416.2082149617
"Ukrainian","Catalan",11416.2082149617
"Russian","Catalan",11416.2082149617
"Bulgarian","Catalan",11416.2082149617
"Macedonian","Catalan",11416.2082149617
"Serbian","Catalan",11416.2082149617
"Old Church Slavonic","Catalan",10444.5169988811
"Slovenian","Catalan",11416.2082149617
"Latvian","Catalan",11416.2082149617
"Lithuanian","Catalan",11416.2082149617
"Western Punjabi","Catalan",12798.0624791546
"Urdu","Catalan",12798.0624791546
"Hindi","Catalan",12798.0624791546
"Bihari","Catalan",12798.0624791546
"Gujarati","Catalan",12798.0624791546
"Marathi","Catalan",12798.0624791546
"Sindhi","Catalan",12798.0624791546
"Assamese","Catalan",12798.0624791546
"Oriya","Catalan",12798.0624791546
"Bengali","Catalan",12798.0624791546
"Kashmiri","Catalan",12798.0624791546
"Sinhalese","Catalan",12798.0624791546
"Romani","Catalan",12798.0624791546
"Sanskrit","Catalan",9803.91638087458
"Tajik","Catalan",12798.0624791546
"Persian","Catalan",12798.0624791546
"Kurdish (Sorani)","Catalan",12798.0624791546
"Ossetian","Catalan",12798.0624791546
"Albanian","Catalan",12798.0624791546
"Anglo Saxon","Catalan",12798.0624791546
"Greek","Catalan",12798.0624791546
"Armenian","Catalan",13663.9058346533
"Armenian","Catalan",13663.9058346533
"Friulian","Aromanian",3978.78246727278
"Italian","Aromanian",3978.78246727278
"Romansh","Aromanian",3978.78246727278
"Walloon","Aromanian",3978.78246727278
"French","Aromanian",3978.78246727278
"Occitan","Aromanian",3978.78246727278
"Spanish","Aromanian",3978.78246727278
"Portuguese","Aromanian",3978.78246727278
"Catalan","Aromanian",3978.78246727278
"Aromanian","Aromanian",0
"Romanian","Aromanian",1605.7120298417
"Latin","Aromanian",2738.6850034307
"Breton","Aromanian",8891.1691552896
"Breton","Aromanian",8891.1691552896
"Breton","Aromanian",8891.1691552896
"Cornish","Aromanian",8891.1691552896
"Welsh","Aromanian",8891.1691552896
"Welsh","Aromanian",8891.1691552896
"Irish","Aromanian",8891.1691552896
"Scottish Gaelic","Aromanian",8891.1691552896
"Luxembourgish","Aromanian",10175.8126726966
"German","Aromanian",10175.8126726966
"West Flemish","Aromanian",10175.8126726966
"Dutch","Aromanian",10175.8126726966
"English","Aromanian",10175.8126726966
"Swedish","Aromanian",10175.8126726966
"Swedish","Aromanian",10175.8126726966
"Swedish","Aromanian",10175.8126726966
"Norwegian (Bokmål)","Aromanian",10175.8126726966
"Danish","Aromanian",10175.8126726966
"Faroese","Aromanian",10175.8126726966
"Icelandic","Aromanian",10175.8126726966
"Gothic","Aromanian",8527.85949838323
"Czech","Aromanian",11416.2082149617
"Czech","Aromanian",11416.2082149617
"Slovak","Aromanian",11416.2082149617
"Upper Sorbian","Aromanian",11416.2082149617
"Lower Sorbian","Aromanian",11416.2082149617
"Polish","Aromanian",11416.2082149617
"Belarusian","Aromanian",11416.2082149617
"Ukrainian","Aromanian",11416.2082149617
"Russian","Aromanian",11416.2082149617
"Bulgarian","Aromanian",11416.2082149617
"Macedonian","Aromanian",11416.2082149617
"Serbian","Aromanian",11416.2082149617
"Old Church Slavonic","Aromanian",10444.5169988811
"Slovenian","Aromanian",11416.2082149617
"Latvian","Aromanian",11416.2082149617
"Lithuanian","Aromanian",11416.2082149617
"Western Punjabi","Aromanian",12798.0624791546
"Urdu","Aromanian",12798.0624791546
"Hindi","Aromanian",12798.0624791546
"Bihari","Aromanian",12798.0624791546
"Gujarati","Aromanian",12798.0624791546
"Marathi","Aromanian",12798.0624791546
"Sindhi","Aromanian",12798.0624791546
"Assamese","Aromanian",12798.0624791546
"Oriya","Aromanian",12798.0624791546
"Bengali","Aromanian",12798.0624791546
"Kashmiri","Aromanian",12798.0624791546
"Sinhalese","Aromanian",12798.0624791546
"Romani","Aromanian",12798.0624791546
"Sanskrit","Aromanian",9803.91638087458
"Tajik","Aromanian",12798.0624791546
"Persian","Aromanian",12798.0624791546
"Kurdish (Sorani)","Aromanian",12798.0624791546
"Ossetian","Aromanian",12798.0624791546
"Albanian","Aromanian",12798.0624791546
"Anglo Saxon","Aromanian",12798.0624791546
"Greek","Aromanian",12798.0624791546
"Armenian","Aromanian",13663.9058346533
"Armenian","Aromanian",13663.9058346533
"Friulian","Romanian",3978.78246727278
"Italian","Romanian",3978.78246727278
"Romansh","Romanian",3978.78246727278
"Walloon","Romanian",3978.78246727278
