"Var1","Var2","value"
"Friulian","Friulian",0
"Italian","Friulian",1137.4484819882
"Romansh","Friulian",1807.236962731
"Walloon","Friulian",3133.6855057594
"French","Friulian",3133.6855057594
"Occitan","Friulian",3133.6855057594
"Spanish","Friulian",3133.6855057594
"Portuguese","Friulian",3133.6855057594
"Catalan","Friulian",3133.6855057594
"Aromanian","Friulian",3978.78246727278
"Romanian","Friulian",3978.78246727278
"Latin","Friulian",2738.6850034307
"Breton","Friulian",8891.1691552896
"Breton","Friulian",8891.1691552896
"Breton","Friulian",8891.1691552896
"Cornish","Friulian",8891.1691552896
"Welsh","Friulian",8891.1691552896
"Welsh","Friulian",8891.1691552896
"Irish","Friulian",8891.1691552896
"Scottish Gaelic","Friulian",8891.1691552896
"Luxembourgish","Friulian",10175.8126726966
"German","Friulian",10175.8126726966
"West Flemish","Friulian",10175.8126726966
"Dutch","Friulian",10175.8126726966
"English","Friulian",10175.8126726966
"Swedish","Friulian",10175.8126726966
"Swedish","Friulian",10175.8126726966
"Swedish","Friulian",10175.8126726966
"Norwegian (Bokmål)","Friulian",10175.8126726966
"Danish","Friulian",10175.8126726966
"Faroese","Friulian",10175.8126726966
"Icelandic","Friulian",10175.8126726966
"Gothic","Friulian",8527.85949838323
"Czech","Friulian",11416.2082149617
"Czech","Friulian",11416.2082149617
"Slovak","Friulian",11416.2082149617
"Upper Sorbian","Friulian",11416.2082149617
"Lower Sorbian","Friulian",11416.2082149617
"Polish","Friulian",11416.2082149617
"Belarusian","Friulian",11416.2082149617
"Ukrainian","Friulian",11416.2082149617
"Russian","Friulian",11416.2082149617
"Bulgarian","Friulian",11416.2082149617
"Macedonian","Friulian",11416.2082149617
"Serbian","Friulian",11416.2082149617
"Old Church Slavonic","Friulian",10444.5169988811
"Slovenian","Friulian",11416.2082149617
"Latvian","Friulian",11416.2082149617
"Lithuanian","Friulian",11416.2082149617
"Western Punjabi","Friulian",12798.0624791546
"Urdu","Friulian",12798.0624791546
"Hindi","Friulian",12798.0624791546
"Bihari","Friulian",12798.0624791546
"Gujarati","Friulian",12798.0624791546
"Marathi","Friulian",12798.0624791546
"Sindhi","Friulian",12798.0624791546
"Assamese","Friulian",12798.0624791546
"Oriya","Friulian",12798.0624791546
"Bengali","Friulian",12798.0624791546
"Kashmiri","Friulian",12798.0624791546
"Sinhalese","Friulian",12798.0624791546
"Romani","Friulian",12798.0624791546
"Sanskrit","Friulian",9803.91638087458
"Tajik","Friulian",12798.0624791546
"Persian","Friulian",12798.0624791546
"Kurdish (Sorani)","Friulian",12798.0624791546
"Ossetian","Friulian",12798.0624791546
"Albanian","Friulian",12798.0624791546
"Anglo Saxon","Friulian",12798.0624791546
"Greek","Friulian",12798.0624791546
"Armenian","Friulian",13663.9058346533
"Armenian","Friulian",13663.9058346533
"Friulian","Italian",1137.4484819882
"Italian","Italian",0
"Romansh","Italian",1807.236962731
"Walloon","Italian",3133.6855057594
"French","Italian",3133.6855057594
"Occitan","Italian",3133.6855057594
"Spanish","Italian",3133.6855057594
"Portuguese","Italian",3133.6855057594
"Catalan","Italian",3133.6855057594
"Aromanian","Italian",3978.78246727278
"Romanian","Italian",3978.78246727278
"Latin","Italian",2738.6850034307
"Breton","Italian",8891.1691552896
"Breton","Italian",8891.1691552896
"Breton","Italian",8891.1691552896
"Cornish","Italian",8891.1691552896
"Welsh","Italian",8891.1691552896
"Welsh","Italian",8891.1691552896
"Irish","Italian",8891.1691552896
"Scottish Gaelic","Italian",8891.1691552896
"Luxembourgish","Italian",10175.8126726966
"German","Italian",10175.8126726966
"West Flemish","Italian",10175.8126726966
"Dutch","Italian",10175.8126726966
"English","Italian",10175.8126726966
"Swedish","Italian",10175.8126726966
"Swedish","Italian",10175.8126726966
"Swedish","Italian",10175.8126726966
"Norwegian (Bokmål)","Italian",10175.8126726966
"Danish","Italian",10175.8126726966
"Faroese","Italian",10175.8126726966
"Icelandic","Italian",10175.8126726966
"Gothic","Italian",8527.85949838323
"Czech","Italian",11416.2082149617
"Czech","Italian",11416.2082149617
"Slovak","Italian",11416.2082149617
"Upper Sorbian","Italian",11416.2082149617
"Lower Sorbian","Italian",11416.2082149617
"Polish","Italian",11416.2082149617
"Belarusian","Italian",11416.2082149617
"Ukrainian","Italian",11416.2082149617
"Russian","Italian",11416.2082149617
"Bulgarian","Italian",11416.2082149617
"Macedonian","Italian",11416.2082149617
"Serbian","Italian",11416.2082149617
"Old Church Slavonic","Italian",10444.5169988811
"Slovenian","Italian",11416.2082149617
"Latvian","Italian",11416.2082149617
"Lithuanian","Italian",11416.2082149617
"Western Punjabi","Italian",12798.0624791546
"Urdu","Italian",12798.0624791546
"Hindi","Italian",12798.0624791546
"Bihari","Italian",12798.0624791546
"Gujarati","Italian",12798.0624791546
"Marathi","Italian",12798.0624791546
"Sindhi","Italian",12798.0624791546
"Assamese","Italian",12798.0624791546
"Oriya","Italian",12798.0624791546
"Bengali","Italian",12798.0624791546
"Kashmiri","Italian",12798.0624791546
"Sinhalese","Italian",12798.0624791546
