,imputed_semantic_domain,l1,l2,Unnamed: 0,overlap,p,rho
0,Agriculture and vegetation,be,es,257.625,10.2083333333,0.288449914752,0.297073335665
1,Agriculture and vegetation,bg,be,1001.18181818,9.59090909091,0.368909534905,0.279474953595
2,Agriculture and vegetation,bg,ca,1686.6,11.2,0.449521108479,0.154847326758
3,Agriculture and vegetation,bg,cs,2354.63636364,11.4545454545,0.337187617128,0.30709314565
4,Agriculture and vegetation,bg,da,3060.60869565,8.4347826087,0.385052797459,0.231286233529
5,Agriculture and vegetation,bg,de,3783.48,11.56,0.332997027228,0.352552017865
6,Agriculture and vegetation,bg,en,4528.04166667,11.25,0.261106856707,0.344109904736
7,Agriculture and vegetation,bg,es,5242.12,11.76,0.282843586181,0.234379922353
8,Agriculture and vegetation,bg,eu,5951.52380952,9.2380952381,0.372681251746,0.271404683798
9,Agriculture and vegetation,bg,fr,6605.43478261,10.9130434783,0.270103946621,0.20048533651
10,Agriculture and vegetation,bg,he,7299.4375,8.4375,0.420188553336,0.290158436276
11,Agriculture and vegetation,bg,hr,7948.86363636,10.1363636364,0.33808832607,0.279735404951
12,Agriculture and vegetation,bg,it,8646.13636364,9.36363636364,0.359200518909,0.230783519069
13,Agriculture and vegetation,bg,ja,9322.7,6.95,0.324681699375,0.281134528763
14,Agriculture and vegetation,bg,ka,9915.33333333,10.0952380952,0.326112948173,0.369560318349
15,Agriculture and vegetation,bg,kk,10592.44,7.72,0.262527779129,0.363969816038
16,Agriculture and vegetation,bg,la,11269.4705882,6.70588235294,0.275258926573,0.236343869486
17,Agriculture and vegetation,bg,lt,11924.3809524,10.7142857143,0.32972239501,0.229688947239
18,Agriculture and vegetation,bg,nl,12621.1304348,9.65217391304,0.35561189978,0.250397912976
19,Agriculture and vegetation,bg,no,13378.1578947,8.15789473684,0.403355890794,0.158902001952
20,Agriculture and vegetation,bg,pl,14056.1666667,10.75,0.300957404887,0.356145118867
21,Agriculture and vegetation,bg,pt,14760.3913043,10.347826087,0.356409684756,0.39645970933
22,Agriculture and vegetation,bg,ro,15453.625,10.9166666667,0.309051188749,0.383058675415
23,Agriculture and vegetation,bg,ru,16158.5833333,10.9166666667,0.377257276229,0.20489975808
24,Agriculture and vegetation,bg,sk,16860.7272727,9.59090909091,0.381202851718,0.175258913854
25,Agriculture and vegetation,ca,be,17558.0833333,9.08333333333,0.304436173825,0.322537069674
26,Agriculture and vegetation,ca,es,18283.6666667,16.6296296296,0.11993304168,0.552969298625
27,Agriculture and vegetation,ca,eu,19093.9090909,9.86363636364,0.395624227144,0.194784682267
28,Agriculture and vegetation,ca,he,19789.3,7.6,0.391320564814,0.117444716105
29,Agriculture and vegetation,ca,it,20518.875,12.4583333333,0.241187320524,0.325892125224
30,Agriculture and vegetation,ca,ja,21255.4782609,7.13043478261,0.373190244439,0.132287354029
31,Agriculture and vegetation,ca,ka,21933.3333333,10.6666666667,0.303526544222,0.315228537578
32,Agriculture and vegetation,ca,kk,22610.7692308,9.19230769231,0.412631891003,0.219840249272
33,Agriculture and vegetation,ca,pt,23345.3076923,13.1538461538,0.33228038707,0.310178819822
34,Agriculture and vegetation,ca,ro,24152.08,10.64,0.39145361869,0.224677780878
35,Agriculture and vegetation,cs,be,24933.4761905,11.1904761905,0.345990860608,0.290828583494
36,Agriculture and vegetation,cs,ca,25649.3043478,11.1739130435,0.301289183382,0.327773826307
37,Agriculture and vegetation,cs,da,26387.0454545,9.22727272727,0.298878247966,0.345301696721
38,Agriculture and vegetation,cs,de,27180.826087,13.3043478261,0.279651408213,0.328400765721
39,Agriculture and vegetation,cs,en,27974.1666667,11.5,0.295136254519,0.300821199454
40,Agriculture and vegetation,cs,es,28761.125,12.4166666667,0.427696783927,0.277097614631
41,Agriculture and vegetation,cs,eu,29506.8888889,8.61111111111,0.429094958595,0.334819032285
42,Agriculture and vegetation,cs,fr,30230.0,10.5909090909,0.336097472066,0.294973761084
43,Agriculture and vegetation,cs,he,30976.875,9.6875,0.471238217642,0.182889295245
44,Agriculture and vegetation,cs,it,31689.1818182,11.4090909091,0.364316867491,0.352450643039
45,Agriculture and vegetation,cs,ja,32403.173913,6.4347826087,0.376511941582,0.187497947344
46,Agriculture and vegetation,cs,ka,33065.9,10.65,0.324710430474,0.276859839842
47,Agriculture and vegetation,cs,kk,33762.3913043,7.95652173913,0.372773046302,0.294371496025
48,Agriculture and vegetation,cs,la,34435.6111111,6.5,0.414746565837,0.0498663091381
49,Agriculture and vegetation,cs,lt,35179.9047619,11.3333333333,0.242029825157,0.367578306661
50,Agriculture and vegetation,cs,nl,35936.8636364,9.5,0.387043013077,0.2464506175
51,Agriculture and vegetation,cs,no,36764.7894737,9.78947368421,0.311335841756,0.334452741648
52,Agriculture and vegetation,cs,pl,37497.8695652,14.7826086957,0.221471225153,0.42011994082
53,Agriculture and vegetation,cs,pt,38260.6956522,11.9565217391,0.419568517668,0.258849978451
54,Agriculture and vegetation,cs,ro,39017.7916667,9.79166666667,0.392495997836,0.302113477927
55,Agriculture and vegetation,cs,ru,39783.7727273,14.6818181818,0.296302705352,0.426013647714
56,Agriculture and vegetation,da,be,40524.1363636,7.86363636364,0.38294864607,0.366089730875
57,Agriculture and vegetation,da,ca,41279.4,9.24,0.351797752122,0.244726256936
58,Agriculture and vegetation,da,de,42097.2307692,11.4615384615,0.287637994968,0.330157208944
59,Agriculture and vegetation,da,en,42977.1538462,9.96153846154,0.302165048743,0.340496168093
60,Agriculture and vegetation,da,es,43848.44,9.88,0.417805524124,0.249488885393
61,Agriculture and vegetation,da,eu,44683.1,7.5,0.529937582005,0.222397106726
62,Agriculture and vegetation,da,fr,45461.4583333,8.95833333333,0.405347029899,0.336006574938
63,Agriculture and vegetation,da,he,46283.6666667,7.66666666667,0.315709014066,0.320698811387
64,Agriculture and vegetation,da,it,47054.3043478,9.30434782609,0.394832581212,0.215391446112
65,Agriculture and vegetation,da,ja,47835.48,5.96,0.511789121738,0.199619798197
66,Agriculture and vegetation,da,ka,48528.5909091,8.5,0.391640424959,0.178228796022
67,Agriculture and vegetation,da,kk,49256.0833333,7.66666666667,0.468664007449,0.266458754196
68,Agriculture and vegetation,da,la,49988.1875,4.875,0.448455204927,-0.034953790393
69,Agriculture and vegetation,da,nl,50774.2173913,10.6086956522,0.426584780944,0.27987717538
70,Agriculture and vegetation,da,pt,51632.2272727,9.68181818182,0.334592121066,0.144128599206
71,Agriculture and vegetation,da,ro,52470.5833333,8.04166666667,0.338504937468,0.26274268415
72,Agriculture and vegetation,de,be,53265.826087,10.8695652174,0.462711348409,0.205036512874
73,Agriculture and vegetation,de,ca,54049.6296296,11.5185185185,0.220290766633,0.342848453808
74,Agriculture and vegetation,de,en,54900.2068966,13.0689655172,0.247108479454,0.389098353232
75,Agriculture and vegetation,de,es,55794.8888889,12.8888888889,0.25021107199,0.426062629423
76,Agriculture and vegetation,de,eu,56664.2272727,9.90909090909,0.46039108058,0.124413386736
77,Agriculture and vegetation,de,fr,57465.92,13.0,0.136829916423,0.479628168402
78,Agriculture and vegetation,de,he,58325.65,10.2,0.378107715599,0.286958605473
79,Agriculture and vegetation,de,it,59122.5416667,11.125,0.45246678338,0.272983797968
80,Agriculture and vegetation,de,ja,59954.3703704,8.59259259259,0.388028948865,0.206091607976
81,Agriculture and vegetation,de,ka,60661.9545455,11.5454545455,0.426674637957,0.230737876954
82,Agriculture and vegetation,de,kk,61388.4230769,8.84615384615,0.277898851979,0.174818600087
83,Agriculture and vegetation,de,la,62186.2222222,6.72222222222,0.482173059509,0.1410945161
