"Language","Language2","glotto","xd.id","soc.id","iso3","autotyp.area"
"Abkhazian","Abkhazian","abkh1244","xd577","Ci12","abk","Greater Mesopotamia"
"Afar","Afar","afar1241","xd454","Ca6","aar","Greater Abyssinia"
"Afrikaans","Afrikaans","afri1274","xd537","Cf2","afr","S Africa"
"Amharic","Amharic","amha1245","xd455","Ca7","amh","Greater Abyssinia"
"Armenian","Armenian","nucl1235","xd575","Ci10","hye","Greater Mesopotamia"
"Aymara","Aymara","cent2142","xd1375","Sf2","ayr","Andean"
"Bambara","Bambara","bamb1269","xd244","Ag1","bam","African Savannah"
"Banyumasan","Banyumasan","java1254","xd751","Ib2","jav","Southeast Asia"
"Bashkir","Bashkir","bash1264","xd549","ch12","bak","Inner Asia"
"Belarusian","Belarusian","bela1254","xd570","Ch6","bel","Inner Asia"
"Bengali","Bengali","beng1280","xd664","Ef2","ben","Indic"
"Bulgarian","Bulgarian","bulg1262","xd569","Ch5","bul","Europe"
"Burmese","Burmese","nucl1310","xd709","Ei3","mya","Southeast Asia"
"Cebuano","Cebuano","cebu1242","xd735","Ia12","ceb","Oceania"
"Chamorro","Chamorro","cham1312","xd839","If8","cha","Oceania"
"Chechen","Chechen","chec1245","xd583","Ci7","che","Greater Mesopotamia"
"Cherokee","Cherokee","cher1273","xd1254","Ng5","chr","E North America"
"Cheyenne","Cheyenne","chey1247","xd1224","Ne5","chy","Basin and Plains"
"Chinese","Chinese","mand1415","xd639","Ed10","cmn","Southeast Asia"
"Choctaw","Choctaw","choc1276","xd1247","Ng12","cho","E North America"
"Chuvash","Chuvash","chuv1255","xd551","ch14","chv","Inner Asia"
"Czech","Czech","czec1258","xd567","Ch3","ces","Europe"
"Dutch","Dutch","dutc1256","xd541","Cg1","nld","Europe"
"Eastern Punjabi","Eastern Punjabi","panj1256","xd600","Ea13","pan","Indic"
"Egyptian Arabic","Egyptian Arabic","egyp1253","xd518","Cd2","arz","N Africa"
"English","English","stan1293","xd536","Cf1","eng","Europe"
"Erzya","Erzya","erzy1239","xd552","ch15","myv","Inner Asia"
"Estonian","Estonian","esto1258","xd553","ch16","ekk","Inner Asia"
"French","French","stan1290","xd540","Cf5","fra","Europe"
"Gagauz","Gagauz","gaga1249","xd554","ch17","gag","Europe"
"Guarani","Guarani","east2555","xd1394","Sh7","gui","SE South America"
"Gujarati","Gujarati","guja1252","xd671","Ef9","guj","Indic"
"Haitian","Haitian","hait1244","xd1334","Sb9","hat","Mesoamerica"
"Hausa","Hausa","haus1257","xd475","Cb25","hau","African Savannah"
"Hawaiian","Hawaiian","hawa1245","xd895","Ij6","haw","Oceania"
"Hebrew","Hebrew","hebr1245","xd589","Cj3","heb","Greater Mesopotamia"
"Herero","Herero","here1253","xd10","Ab1","her","S Africa"
"Hungarian","Hungarian","hung1274","xd572","Ch8","hun","Europe"
"Icelandic","Icelandic","icel1247","xd542","Cg2","isl","Europe"
"Igbo","Igbo","nucl1417","xd187","Af10","ibo","African Savannah"
"Inupiak","Inupiak","nort2945","xd1018","Na12","esk","Alaska-Oregon"
"Irish","Irish","iris1253","xd543","Cg3","gle","Europe"
"Japanese","Japanese","nucl1643","xd648","Ed5","jpn","N Coast Asia"
"Javanese","Javanese","java1254","xd751","Ib2","jav","Southeast Asia"
