,l1_name,l2_name,distance,rho
0,English,Latin,0.30487804878,0.20716715092
1,Dutch,Latin,0.341463414634,0.20710699972
2,Russian,Latin,0.451219512195,0.21256450634
3,Czech,Latin,0.439024390244,0.197341879312
4,Bulgarian,Latin,0.40243902439,0.196785258075
5,Lithuanian,Latin,0.463414634146,0.206651805996
6,Armenian,Latin,0.439024390244,0.175628357963
7,Latin,Spanish,0.243902439024,0.246406459285
8,English,Spanish,0.231707317073,0.399888828061
9,French,Spanish,0.243902439024,0.482416122543
10,Dutch,Spanish,0.256097560976,0.39862842008
11,Russian,Spanish,0.341463414634,0.384966110315
12,Czech,Spanish,0.30487804878,0.397639705874
13,Bulgarian,Spanish,0.341463414634,0.368699866412
14,Belarusian,Spanish,0.341463414634,0.324855138418
15,Lithuanian,Spanish,0.341463414634,0.347943968019
16,Armenian,Spanish,0.365853658537,0.368525030851
17,Hebrew,Spanish,0.5,0.322773866892
18,Kazakh,Spanish,0.69512195122,0.29074076926
19,Japanese,Spanish,0.451219512195,0.307839717662
20,Dutch,English,0.207317073171,0.363936526413
21,Russian,English,0.390243902439,0.341130750502
22,Czech,English,0.30487804878,0.37450036816
23,Bulgarian,English,0.426829268293,0.314569624569
24,Lithuanian,English,0.365853658537,0.292086200543
25,Armenian,English,0.439024390244,0.280899573608
26,Latin,French,0.329268292683,0.233091691019
27,English,French,0.19512195122,0.360377858803
28,Dutch,French,0.292682926829,0.372692004631
29,Russian,French,0.414634146341,0.375430529291
30,Czech,French,0.243902439024,0.363827269064
31,Bulgarian,French,0.353658536585,0.374288882706
32,Lithuanian,French,0.317073170732,0.343574044343
33,Armenian,French,0.40243902439,0.349096551041
34,Russian,Dutch,0.378048780488,0.362681979423
35,Czech,Dutch,0.30487804878,0.399770368386
36,Bulgarian,Dutch,0.390243902439,0.35064143442
37,Lithuanian,Dutch,0.341463414634,0.327628580113
38,Armenian,Dutch,0.426829268293,0.318866831617
39,English,Russian,0.390243902439,0.341130750502
40,Czech,Russian,0.40243902439,0.447225568482
41,Bulgarian,Russian,0.524390243902,0.412424804761
42,Armenian,Russian,0.487804878049,0.345614588663
43,Bulgarian,Czech,0.30487804878,0.409189880261
44,Armenian,Czech,0.341463414634,0.349172725862
45,Armenian,Bulgarian,0.317073170732,0.326579893993
46,Latin,Belarusian,0.40243902439,0.206407835181
47,English,Belarusian,0.378048780488,0.285591638561
48,French,Belarusian,0.30487804878,0.304590117025
49,Dutch,Belarusian,0.329268292683,0.32027237964
50,Russian,Belarusian,0.475609756098,0.457866819562
51,Czech,Belarusian,0.30487804878,0.374061319415
52,Bulgarian,Belarusian,0.341463414634,0.346490951425
53,Lithuanian,Belarusian,0.256097560976,0.3513597125
54,Armenian,Belarusian,0.378048780488,0.334426766422
55,Hebrew,Belarusian,0.524390243902,0.254061771397
56,Kazakh,Belarusian,0.707317073171,0.259602638903
57,Japanese,Belarusian,0.487804878049,0.244756317278
58,Russian,Lithuanian,0.475609756098,0.36356303387
59,Czech,Lithuanian,0.268292682927,0.371417178723
60,Bulgarian,Lithuanian,0.268292682927,0.357404424427
61,Armenian,Lithuanian,0.40243902439,0.305484812129
62,Latin,Hebrew,0.439024390244,0.156149011449
63,English,Hebrew,0.536585365854,0.254524221473
64,French,Hebrew,0.548780487805,0.306104162701
65,Dutch,Hebrew,0.512195121951,0.293812541287
66,Russian,Hebrew,0.59756097561,0.288891097969
67,Czech,Hebrew,0.548780487805,0.271585401523
68,Bulgarian,Hebrew,0.548780487805,0.269638760514
69,Lithuanian,Hebrew,0.548780487805,0.249935208411
70,Armenian,Hebrew,0.548780487805,0.268250025266
71,Kazakh,Hebrew,0.573170731707,0.280413427637
72,Japanese,Hebrew,0.573170731707,0.237221706631
73,Latin,Kazakh,0.719512195122,0.190426378918
74,English,Kazakh,0.719512195122,0.265064996389
75,French,Kazakh,0.69512195122,0.270782020256
76,Dutch,Kazakh,0.69512195122,0.252622314313
77,Russian,Kazakh,0.634146341463,0.293109509602
78,Czech,Kazakh,0.646341463415,0.276064171384
79,Bulgarian,Kazakh,0.585365853659,0.314872948634
80,Lithuanian,Kazakh,0.634146341463,0.282289428528
81,Armenian,Kazakh,0.59756097561,0.320821508302
82,Latin,Japanese,0.5,0.194183168301
83,English,Japanese,0.451219512195,0.289841333329
84,French,Japanese,0.439024390244,0.274921427539
85,Dutch,Japanese,0.463414634146,0.286160416781
86,Russian,Japanese,0.390243902439,0.272104806563
87,Czech,Japanese,0.390243902439,0.297826180036
88,Bulgarian,Japanese,0.40243902439,0.280251311018
89,Lithuanian,Japanese,0.451219512195,0.260524994513
90,Armenian,Japanese,0.512195121951,0.233595664193
91,Kazakh,Japanese,0.707317073171,0.248614231532
