"glottocode","headword","sourceForm","clicsForm","NumMeanings"
"mand1415"," zī","zī","zi","1"
"tami1289"," மார்பு"," mɑːɾpu","marpu","1"
"mode1248","'aboti","'aboti","aboti","1"
"basq1248","'ac̷o","'ac̷o","aco","1"
"basq1248","'adar","'adar","adar","3"
"basq1248","'adin","'adin","adin","1"
"mode1248","'adras","'adras","adras","2"
"mode1248","'agira","'agira","agira","1"
"basq1248","'ahin","'ahin","ahin","1"
"basq1248","'aho","'aho","aho","1"
"basq1248","'ahül","'ahül","ahul","1"
"basq1248","'ahür","'ahür","ahur","1"
"basq1248","'aihen","'aihen","aihen","1"
"basq1248","'aise","'aise","aise","1"
"basq1248","'aiso","'aiso","aiso","1"
"basq1248","'aita","'aita","aita","1"
"basq1248","'aitʰor","'aitʰor","aithor","1"
"mode1248","'akri","'akri","akri","2"
"mode1248","'akro","'akro","akro","1"
"mode1248","'aksonas","'aksonas","aksonas","1"
"basq1248","'akʰer","'akʰer","akher","1"
"basq1248","'ala","'ala","ala","1"
"basq1248","'alde","'alde","alde","1"
"basq1248","'alhor","'alhor","alhor","1"
"mode1248","'aloɣo","'aloɣo","alogo","1"
"basq1248","'ama","'ama","ama","1"
"basq1248","'ame'c̷̣ egin","'ame'c̷̣ egin","amecegin","1"
"mode1248","'amos","'amos","amos","1"
"mode1248","'anemos","'anemos","anemos","1"
"mode1248","'aniksi","'aniksi","aniksi","1"
"mode1248","'anθos","'anθos","anthos","1"
"mode1248","'anθropos","'anθropos","anthropos","1"
"mode1248","'aplistos","'aplistos","aplistos","1"
"basq1248","'apʰal","'apʰal","aphal","1"
"basq1248","'ardac̷","'ardac̷","ardac","1"
"basq1248","'ardi","'ardi","ardi","1"
"basq1248","'argi","'argi","argi","5"
"basq1248","'aroc̷","'aroc̷","aroc","2"
"mode1248","'arostos","'arostos","arostos","1"
"basq1248","'artʰo","'artʰo","artho","1"
"mode1248","'arɣilos","'arɣilos","argilos","1"
"mode1248","'arɣiros","'arɣiros","argiros","1"
"basq1248","'asi","'asi","asi","1"
"basq1248","'askar","'askar","askar","1"
"basq1248","'asken","'asken","asken","1"
"basq1248","'aspi","'aspi","aspi","1"
"mode1248","'aspros","'aspros","aspros","1"
"mode1248","'asproz","'asproz","asproz","1"
"basq1248","'astal","'astal","astal","1"
"basq1248","'astal be'hari","'astal be'hari","astalbehari","1"
"mode1248","'astro","'astro","astro","1"
"mode1248","'asximos","'asximos","asximos","1"
"basq1248","'ašal","'ašal","asal","1"
"basq1248","'aṣka","'aṣka","aska","1"
"basq1248","'aṣki","'aṣki","aski","1"
"basq1248","'aṣma","'aṣma","asma","1"
"basq1248","'aṣte","'aṣte","aste","1"
"basq1248","'aṣto","'aṣto","asto","2"
"basq1248","'aṣün","'aṣün","asun","1"
"mode1248","'atomo","'atomo","atomo","1"
"basq1248","'atʰe","'atʰe","athe","1"
"basq1248","'auher","'auher","auher","1"
"mode1248","'avrio","'avrio","avrio","1"
"mode1248","'axiro","'axiro","axiro","1"
"basq1248","'aẓma","'aẓma","azma","2"
"mode1248","'aðios","'aðios","adios","1"
"mode1248","'aɣalma","'aɣalma","agalma","1"
"mode1248","'aɣios","'aɣios","agios","1"
"mode1248","'aɣuros","'aɣuros","aguros","1"
"basq1248","'ãhãc̷","'ãhãc̷","ahac","1"
"basq1248","'ãple","'ãple","aple","1"
"basq1248","'bahe","'bahe","bahe","1"
"basq1248","'bahü'c̷̣ egin","'bahü'c̷̣ egin","bahucegin","1"
"mode1248","'bala","'bala","bala","1"
"basq1248","'barač","'barač","barac","1"
"basq1248","'bardin","'bardin","bardin","1"
"basq1248","'barna","'barna","barna","1"
"basq1248","'barne-n","'barne-n","barnen","1"
