,wordclass,l1,l2,Unnamed: 0,overlap,p,rho
0,A,be,es,568.952380952,10.3333333333,0.328060728729,0.312263691595
1,A,bg,be,1283.28915663,11.4096385542,0.247600892918,0.414804079761
2,A,bg,ca,1961.44047619,10.2738095238,0.320263333164,0.342735108233
3,A,bg,cs,2647.95789474,13.9894736842,0.230652816062,0.462678169863
4,A,bg,da,3360.6344086,10.1720430108,0.26211495292,0.388116254508
5,A,bg,de,4093.01086957,11.1195652174,0.232381060082,0.505046808116
6,A,bg,en,4818.88421053,10.2631578947,0.226368742421,0.401406572194
7,A,bg,es,5545.56382979,11.7021276596,0.264547411699,0.382074136208
8,A,bg,eu,6215.93023256,7.13953488372,0.385157114322,0.357328558868
9,A,bg,fr,6913.2826087,10.5760869565,0.240125460581,0.393137351902
10,A,bg,he,7561.76829268,9.5,0.243257019876,0.275715325339
11,A,bg,hr,8249.0,11.5357142857,0.241638958351,0.423319138433
12,A,bg,it,8931.60240964,9.98795180723,0.31028566597,0.396690338456
13,A,bg,ja,9571.19148936,6.87234042553,0.293665403571,0.294665637734
14,A,bg,ka,10206.2826087,9.09782608696,0.256151335962,0.405303905106
15,A,bg,kk,10867.7848101,6.77215189873,0.350330630505,0.183186329259
16,A,bg,la,11523.0352941,6.21176470588,0.358225387128,0.116138619995
17,A,bg,lt,12214.1011236,11.4943820225,0.256436425586,0.420731930564
18,A,bg,nl,12939.8444444,9.5,0.271096141929,0.408311573822
19,A,bg,no,13651.1648352,9.79120879121,0.267067179971,0.384155730143
20,A,bg,pl,14349.5108696,14.7717391304,0.210428284151,0.462298665662
21,A,bg,pt,15050.4565217,10.4456521739,0.302155483972,0.379112971829
22,A,bg,ro,15753.6,10.2111111111,0.279927682087,0.368552383865
23,A,bg,ru,16461.375,15.1590909091,0.212001845562,0.444496801038
24,A,bg,sk,17161.1208791,12.4505494505,0.252697281518,0.404430726403
25,A,ca,be,17845.6184211,9.60526315789,0.345627738552,0.383963625406
26,A,ca,es,18631.8111111,15.8777777778,0.193648315715,0.540791341796
27,A,ca,eu,19395.0987654,9.02469135802,0.292617722739,0.362339849418
28,A,ca,he,20093.6708861,8.36708860759,0.35183742727,0.252553676972
29,A,ca,it,20840.0963855,12.6506024096,0.188581202755,0.529061129645
30,A,ca,ja,21555.0714286,6.71428571429,0.298393508838,0.377369070623
31,A,ca,ka,22213.6395349,8.53488372093,0.271758451037,0.308978126214
32,A,ca,kk,22908.9459459,7.16216216216,0.339838515191,0.333081415308
33,A,ca,pt,23690.8651685,14.4943820225,0.217571734434,0.486056525456
34,A,ca,ro,24486.5595238,9.92857142857,0.315143505943,0.322796278015
35,A,cs,be,25225.627907,11.8488372093,0.293081047872,0.400354246006
36,A,cs,ca,25953.0337079,9.84269662921,0.276014298204,0.431661295175
37,A,cs,da,26707.742268,10.7628865979,0.253586350512,0.453061758256
