"","xd_id","iso_6933","N_iso_shared","DialectLanguageGlottocode","DialectLanguageLevel","FamilyGlottocode","FamilyLevel","AdminComments","soc_id","autotyp.area","latitude","longitude"
"1","xd300","bzw",2,"basa1282","language","atla1278","family","","Ah11","African Savannah",8,8
"2","xd1381","pib",1,"yine1238","language","araw1281","family","","Sf8","NE South America",-12,-73
"3","xd907","apf",1,"agta1234","language","aust1307","family","","B13","Oceania",17.48,122.05
"4","xd378","hoz",1,"hozo1236","language","maoo1243","family","","Ai47","Greater Abyssinia",9,35
"5","xd615","mvf",1,"peri1253","language","mong1329","family","","Eb7","Inner Asia",41,115
"6","xd913","xuj",2,"jenn1240","language","drav1251","family","Changed to xuj (jenn1240) from mal (sout2708) on 26 May 2016 based on feedback from H. Hammarström: ""The people Bhanu studied natively speak a variety of Kurumba-Jennu [xuj]""; previously matched to language ""mal"" based on KK note: ""lat/long coordinates for society place it in Central Kerala state, much closer to lat/long for mal than for xuj (which is in neighbouring Tamil Nadu state). I couldn't access the sources, though","B20","Indic",10.18,76.4
"7","xd489","thv",2,"ghat1242","dialect","afro1255","family","","Cc11","N Africa",25,10
"8","xd17","cce",2,"leng1257","dialect","atla1278","family","","Ab16","S Africa",-24.8,34.2
"9","xd317","brt",1,"bita1251","language","atla1278","family","","Ah27","African Savannah",7,11
"10","xd985","qjg",1,"guai1237","language","guai1237","language","","B190","Mesoamerica",25,-111.54
"11","xd853","lgu",1,"long1395","language","aust1307","family","","Ig20","Oceania",-10,161
"12","xd925","x08",1,"tempxx04","language","atla1278","family","Note that Terashima (1980), the main source of cultural data for this group, says further research is needed to confirm whether Bambote speak language of a neighbouring group, or their own language. Both the Bambote and their neighbours say the group speaks a distinct language, ""Kimbote."" Rebecca Grollemund said this society should NOT be matched to iso ""tap""; she said ""Bambote is a pygmy language related to D20 languages""","B62","S Africa",-6.64,28.26
"13","xd66","buf",1,"bush1247","language","atla1278","family","","Ac4","S Africa",-5,22
"14","xd794","kig",1,"kima1246","language","kolo1268","family","","Ie18","S New Guinea",-7.45,138.4
"15","xd795","mrz",1,"nucl1622","language","mari1437","family","","Ie19","S New Guinea",-8,139
"16","xd5","kzy",1,"kang1285","language","atla1278","family","","Aa5","S Africa",2,28
"17","xd815","szb",1,"ngal1298","language","nucl1709","family","","Ie37","Interior New Guinea",-5,141
"18","xd928","msh",1,"masi1268","language","aust1307","family","","B66","Southeast Asia",-22.32,43.81
"19","xd635","ain",1,"ainu1240","language","ainu1252","family","","Ec7","N Coast Asia",44,144
"20","xd1124","x07",1,"tule1245","language","yoku1255","family","","Nc25","California",36,-119
"21","xd536","eng",2,"stan1293","language","indo1319","family","","Cf1","Europe",42,-73
"22","xd842","lle",1,"lele1270","language","aust1307","family","","Ig10","N Coast New Guinea",-2,147
"23","xd901","sii",1,"shom1245","language","shom1245","language","","B4","Southeast Asia",7,93.77
"24","xd943","gbu",1,"gaga1251","language","gaga1251","language","","B91","N Australia",-13.13,132.95
"25","xd9","hts",1,"hadz1240","language","hadz1240","language","","Aa9","S Africa",-3,35
"26","xd922","x05",1,"chon1248","language","chon1248","language","","B52","SE South America",-45,-73.83
"27","xd654","bsk",1,"buru1296","language","buru1296","language","","Ee2","Indic",37,75
"28","xd1094","cid",1,"chim1301","language","chim1301","language","","Nb33","California",41,-123
"29","xd1250","ctm",1,"chit1248","language","chit1248","language","","Ng15","E North America",30,-90
"30","xd531","eus",2,"labo1236","dialect","basq1248","language","","Ce4","Europe",43,-1
"31","xd535","eus",2,"west1508","dialect","basq1248","language","","Ce8","Europe",43,-2
"32","xd1403","gta",1,"guat1253","language","guat1253","language","","Si6","NE South America",-19,-58
"33","xd1139","kla",2,"klam1254","language","klam1254","language","","Nc8","Basin and Plains",43,-122
"34","xd1140","kla",2,"klam1254","language","klam1254","language","","Nc9","Basin and Plains",42,-122
"35","xd1205","kut",1,"kute1249","language","kute1249","language","","Nd7","Basin and Plains",50,-117
"36","xd1095","kyh",1,"karo1304","language","karo1304","language","","Nb34","California",42,-123
"37","xd1256","ncz",1,"natc1249","language","natc1249","language","","Ng7","E North America",32,-91
"38","xd617","niv",1,"gily1242","language","gily1242","language","","Ec1","N Coast Asia",53,142
"39","xd1289","sei",1,"seri1257","language","seri1257","language","","Ni4","Mesoamerica",29,-112
"40","xd1089","sis",1,"sius1254","language","sius1254","language","","Nb29","Alaska-Oregon",44,-124
"41","xd1125","sln",1,"sali1253","language","sali1253","language","","Nc26","California",36,-121
"42","xd1399","tpy",1,"trum1247","language","trum1247","language","","Si2","NE South America",-12,-53
"43","xd1196","was",1,"wash1253","language","wash1253","language","","Nd6","Basin and Plains",39,-120
"44","xd1335","wba",1,"wara1303","language","wara1303","language","","Sc1","NE South America",9,-62
"45","xd1221","xcw",1,"coah1252","language","coah1252","language","","Ne21","Basin and Plains",29,-99
"46","xd1383","yag",1,"yama1264","language","yama1264","language","","Sg1","SE South America",-55,-69
"47","xd1109","ynn",1,"yana1271","language","yana1271","language","","Nc11","California",41,-122
"48","xd1246","yuc",1,"yuch1247","language","yuch1247","language","","Ng11","E North America",35,-86
"49","xd1215","zkk",1,"kara1289","language","kara1289","language","","Ne16","Basin and Plains",29,-96
"50","xd1280","zun",1,"zuni1245","language","zuni1245","language","","Nh4","Basin and Plains",35,-109
"51","xd938","lrg",1,"lara1258","language","lara1258","language","","B83","N Australia",-12.6,130.78
"52","xd440","nrb",1,"nara1262","language","nara1262","language","","Ca32","Greater Abyssinia",16,38
"53","xd441","kun",1,"kuna1268","language","kuna1268","language","","Ca33","Greater Abyssinia",15,37
"54","xd1088","aes",1,"alse1251","language","alse1251","language","","Nb28","Alaska-Oregon",44,-124
"55","xd1091","tkm",1,"take1257","language","take1257","language","","Nb30","California",42,-123
"56","xd1378","pbb",1,"paez1247","language","paez1247","language","","Sf5","NE South America",3,-76
"57","xd804","byz",1,"bana1292","language","bana1292","language","","Ie27","N Coast New Guinea",-4.3,145
"58","xd6","sad",1,"sand1273","language","sand1273","language","","Aa6","S Africa",-5,36
"59","xd778","tiw",1,"tiwi1244","language","tiwi1244","language","","Id3","N Australia",-12,131
"60","xd822","iar",1,"pura1257","language","pura1257","language","","Ie8","Interior New Guinea",-7,145
"61","xd1257","tjm",1,"timu1245","language","timu1245","language","","Ng8","E North America",27,-82
"62","xd1345","yae",1,"pume1238","language","pume1238","language","","Sc2","NE South America",7,-68
"63","xd843","yle",1,"yele1255","language","yele1255","language","","Ig11","S New Guinea",-11.4,154.1
"64","xd653","adi",1,"bori1243","language","sino1245","family","","Ee1","Indic",28,95
"65","xd517","aeb",3,"sahi1245","dialect","afro1255","family","","Cd19","N Africa",35,11
"66","xd210","ahs",1,"ashe1269","language","atla1278","family","","Af31","African Savannah",18,8
"67","xd807","aon",1,"bumb1241","language","nucl1708","family","","Ie3","N Coast New Guinea",-4,144
