"","xd_id","iso_6933","N_iso_shared","DialectLanguageGlottocode","DialectLanguageLevel","FamilyGlottocode","FamilyLevel","AdminComments","soc_id","autotyp.area","latitude","longitude"
"68","xd686","apq",1,"apuc1241","language","grea1241","family","","Eh1","Southeast Asia",12,92.6
"69","xd513","ary",2,"jebl1238","dialect","afro1255","family","","Cd15","N Africa",35,-5
"70","xd251","bab",1,"bain1259","language","atla1278","family","","Ag16","African Savannah",12,-16
"71","xd267","bbo",1,"nort2819","language","mand1469","family","","Ag30","African Savannah",13,-4
"72","xd337","bbp",1,"west2458","language","atla1278","family","","Ai1","African Savannah",7,22
"73","xd153","bcp",1,"bali1274","language","atla1278","family","","Ae33","S Africa",1,27
"74","xd60","bem",2,"luun1238","dialect","atla1278","family","","Ac34","S Africa",-10,29
"75","xd241","bet",1,"guib1246","language","atla1278","family","","Af7","African Savannah",6,-7
"76","xd249","bgo",1,"baga1273","language","atla1278","family","","Ag14","African Savannah",10,-14
"77","xd667","bhb",1,"bhil1251","language","indo1319","family","","Ef5","Indic",22,74
"78","xd288","biv",1,"sout2790","language","atla1278","family","","Ag5","African Savannah",10,-3
"79","xd614","bxr",1,"russ1264","language","mong1329","family","","Eb6","Inner Asia",52,107
"80","xd691","caq",1,"carn1240","language","aust1305","family","","Eh5","Southeast Asia",7.05,93.7
"81","xd1380","cni",1,"asha1243","language","araw1281","family","","Sf7","Andean",-8,-75
"82","xd1392","crq",1,"iyow1239","language","mata1289","family","","Sh5","SE South America",-22,-62
"83","xd1127","crz",1,"cruz1243","language","chum1262","family","","Nc28","California",34.4,-119.75
"84","xd1295","csa",1,"chil1282","language","otom1299","family","","Nj1","Mesoamerica",18,-96
"85","xd1136","csm",1,"cent2140","language","miwo1274","family","","Nc5","California",38,-120
"86","xd266","dbw",1,"bank1259","language","dogo1299","family","","Ag3","African Savannah",15,-3
"87","xd276","dga",1,"sout2789","language","atla1278","family","","Ag39","African Savannah",11,-3
"88","xd386","dik",1,"sout2832","language","nilo1247","family","","Aj11","African Savannah",9,29
"89","xd816","dnt",1,"midg1235","language","nucl1709","family","","Ie38","Interior New Guinea",-4,139
"90","xd271","dos",1,"dogo1295","language","atla1278","family","","Ag34","African Savannah",11,-4
"91","xd754","dtp",1,"cent2100","language","aust1307","family","","Ib5","Southeast Asia",6,117
"92","xd1320","emp",1,"nort2972","language","choc1280","family","","Sa4","Andean",8,-78
"93","xd821","enq",1,"enga1252","language","nucl1709","family","","Ie7","Interior New Guinea",-6,144
"94","xd340","fll",1,"nort2770","language","atla1278","family","","Ai12","African Savannah",10,14
"95","xd345","giz",1,"sout3051","language","afro1255","family","","Ai17","African Savannah",10,14
"96","xd381","gya",1,"nort2775","language","atla1278","family","","Ai7","African Savannah",6,16
"97","xd647","hea",1,"nort2747","language","hmon1336","family","","Ed4","Southeast Asia",26,107
"98","xd663","bho",1,"bhoj1244","language","indo1319","family","","Ef11","Indic",26,83
"99","xd1370","huu",1,"muru1274","language","huit1251","family","","Se6","NE South America",-1,-74
"100","xd645","iii",1,"sich1238","language","sino1245","family","","Ed2","Southeast Asia",29,103
"101","xd255","mos",2,"moss1236","language","atla1278","family","I think this should be the ""Ouahigouya"" dialect of Mossi (mos), though there is no such dialect in Glottolog.","Ag2","African Savannah",13,-2
"102","xd162","koq",1,"kota1274","language","atla1278","family","","Ae41","S Africa",1,14
"103","xd1413","kqq",1,"kren1239","language","nucl1710","family","","Sj5","SE South America",-18,-42
"104","xd38","kwy",1,"sans1272","language","atla1278","family","","Ac14","S Africa",-7,15
"105","xd719","lcp",1,"west2396","language","aust1305","family","","Ej12","Southeast Asia",18,98
"106","xd135","lea",1,"lega1249","language","atla1278","family","","Ae17","S Africa",-3,28
"107","xd1312","len",1,"lenc1242","language","lenc1239","family","Note, previously lenc1244, but glottocode is considered a ""bookkeeping"" code (because extinct?), so chose Lencan-Honduras instead (note that point is in Honduras)","Sa12","Mesoamerica",14,-88
"108","xd147","lin",1,"ling1263","language","atla1278","family","","Ae28","S Africa",1,18
"109","xd708","lus",1,"lush1249","language","sino1245","family","","Ei20","Southeast Asia",23,92
"110","xd662","mai",1,"mait1250","language","indo1319","family","","Ef10","Indic",25,86
"111","xd682","mal",1,"mala1464","language","drav1251","family","reclassified another society from [mal] to [xuj] on 26 May 2016; as a result, matched this society to the glottolog language [mala1464] (which we are more certain of), replacing match to dialect [cent1998] (less certain)","Eg6","Indic",11,76
"112","xd1304","mau",1,"huau1238","language","otom1299","family","","Nj5","Mesoamerica",18,-97
"113","xd738","mbb",1,"west2555","language","aust1307","family","","Ia15","Oceania",8,126
"114","xd660","mgp",1,"east2352","language","sino1245","family","","Ee8","Indic",28,84
"115","xd1306","mir",1,"isth1238","language","mixe1284","family","","Nj7","Mesoamerica",17,-95
"116","xd1328","mot",1,"bari1297","language","chib1249","family","","Sb3","NE South America",9,-72
"117","xd351","mwm",1,"sarr1246","language","cent2225","family","","Ai22","African Savannah",9,18
"118","xd1298","mxa",1,"nort2986","language","otom1299","family","","Nj12","Mesoamerica",18,-98
"119","xd819","ncm",1,"namb1293","language","more1255","family","","Ie5","S New Guinea",-9,142
"120","xd32","nde",1,"nort2795","language","atla1278","family","","Ab9","S Africa",-20,28
"121","xd20","ndo",1,"ndon1254","language","atla1278","family","","Ab19","S Africa",-17,16
"122","xd158","ngc",2,"doko1244","dialect","atla1278","family","","Ae38","S Africa",2,21
"123","xd43","ebo",1,"teke1278","language","atla1278","family","Note, previously nzu and teke1279, but glottocode teke1279 is considered ""bookkeeping"", and SIL says nzu and ebo are said to be neighbouring dialects. Therefore, switched to ebo.","Ac19","S Africa",-3,15
"124","xd2","oki",1,"okie1245","language","nilo1247","family","","Aa2","S Africa",0,36
"125","xd598","pbu",2,"ghil1238","dialect","indo1319","family","","Ea11","Inner Asia",33,68
"126","xd604","xvi",1,"kamv1242","language","indo1319","family","Changed to Kamviri (xvi) from pbu based on village in which one of two main sources spent most of his time (Kamdesh)","Ea5","Indic",36,71
"127","xd608","pes",2,"tehr1242","dialect","indo1319","family","","Ea9","Greater Mesopotamia",36,52
"128","xd705","pll",1,"shwe1236","language","aust1305","family","","Ei18","Southeast Asia",23,97
"129","xd600","pan",1,"panj1256","language","indo1319","family","","Ea13","Indic",32,73
"130","xd713","pwo",1,"pwow1235","language","sino1245","family","","Ei7","Southeast Asia",17,97
"131","xd107","reg",1,"kara1481","language","atla1278","family","","Ad38","S Africa",-2,33
"132","xd265","sbd",1,"sout2844","language","mand1469","family","","Ag29","African Savannah",13,-3
"133","xd657","scl",1,"shin1264","language","indo1319","family","","Ee5","Indic",35,73
"134","xd269","sef",1,"ceba1235","language","atla1278","family","","Ag32","African Savannah",10,-6
"135","xd706","sez",1,"sent1260","language","sino1245","family","","Ei19","Southeast Asia",22,94
"136","xd1442","pne",1,"west2563","language","aust1307","family","Note, previously this language was associated with xd758, and with both Binford and EA ""Punan"" societies. This xd_id now refers only to the Binford ""Punan"" society, with the EA ""Punan"" society linked to xd758 and language iso ""pna"" (3 Mar 2016). In May 2016 received this further comment from H. Hammarström: ""The references here reference different hunting and gathering populations of Borneo, not all of which speak the [same] language"" ""[...] if you have to put one [language] for all of these then a better match is Penan-Western [pne] because e.g Urquhart 1951 is on Penan Gang and Penan Lusong and Brosius is on Penan Gang. Both Penan Gang and Penan Lusong speak varieties of Penan-Western [pne].""",NA,"Southeast Asia",3.4667,114.523
"137","xd137","sng",1,"sang1331","language","atla1278","family","","Ae19","S Africa",-11,28
"138","xd1377","tuf",1,"cent2150","language","chib1249","family","","Sf4","NE South America",7,-72
"139","xd28","umb",1,"umbu1257","language","atla1278","family","","Ab5","S Africa",-12,16
"140","xd69","vmw",1,"makh1264","language","atla1278","family","","Ac42","S Africa",-15,39
"141","xd980","x06",1,"sout1439","language","sout1293","family","","B136","S Australia",-42.62,147.49
"142","xd783","xtz",1,"port1278","language","west1503","family","Note, previously tasm1247, but languages difficult to assign with certainty, so chose another western tasmanian language not considered a ""bookkeeping"" language by glottolog","Id8","S Australia",-42,146
"143","xd634","ykg",1,"nort2745","language","yuka1259","family","","Ec6","N Coast Asia",70,145
"144","xd1129","yok",3,"nort2937","dialect","yoku1255","family","","Nc3","California",36,-120
"145","xd1123","yok",3,"vall1251","dialect","yoku1255","family","","Nc24","California",36,-120
"146","xd46","zmp",1,"mpuo1241","language","atla1278","family","","Ac21","S Africa",-5,19
"147","xd1296","zpu",1,"yala1267","language","otom1299","family","","Nj10","Mesoamerica",17,-96
"148","xd1248","aaq",2,"peno1243","dialect","algi1248","family","","Ng13","E North America",46,-70
"149","xd1253","aaq",2,"peno1243","dialect","algi1248","family","","Ng4","E North America",45,-68
"150","xd454","aar",1,"afar1241","language","afro1255","family","","Ca6","Greater Abyssinia",12,42
"151","xd577","abk",1,"abkh1244","language","abkh1242","family","","Ci12","Greater Mesopotamia",43,41
"152","xd904","sbl",1,"boto1242","language","aust1307","family","","B7","Oceania",15.5,120.33
"153","xd217","abr",1,"abro1238","language","atla1278","family","","Af38","African Savannah",5.25,-3
"154","xd761","abs",1,"ambo1250","language","aust1307","family","","Ic11","Oceania",-3.63,128.1
"155","xd791","abt",1,"ambu1247","language","nduu1242","family","","Ie15","N Coast New Guinea",4,-145
"156","xd220","abu",1,"abur1243","language","atla1278","family","","Af40","African Savannah",5.4,-4
"157","xd385","ach",2,"dhop1238","dialect","nilo1247","family","","Aj10","S Africa",3,32
"158","xd398","ach",2,"labw1238","dialect","nilo1247","family","","Aj22","S Africa",3,34
"159","xd587","acm",1,"meso1252","language","afro1255","family","","Cj10","Greater Mesopotamia",31,47
"160","xd1417","acs",1,"acro1239","language","nucl1710","family","","Sj9","NE South America",-8,-52
"161","xd1108","acv",1,"achu1247","language","pala1350","family","","Nc10","Basin and Plains",41,-121
"162","xd214","ada",1,"adan1247","language","atla1278","family","","Af35","African Savannah",6,0
"163","xd803","adz",1,"adze1240","language","aust1307","family","","Ie26","N Coast New Guinea",-6,146
"164","xd511","aeb",3,"sout3114","dialect","afro1255","family","","Cd13","N Africa",30,9
"165","xd520","aeb",3,"tuni1260","dialect","afro1255","family","","Cd21","N Africa",37,10
"166","xd516","aec",1,"said1239","language","afro1255","family","","Cd18","N Africa",30,28
"167","xd772","aer",1,"east2379","language","pama1250","family","","Id1","S Australia",-24,134
"168","xd205","afo",1,"eloy1241","language","atla1278","family","","Af27","African Savannah",8,8
"169","xd537","afr",1,"afri1274","language","indo1319","family","","Cf2","S Africa",-16,28
"170","xd908","agt",1,"cent2084","language","aust1307","family","","B14","Oceania",17.82,121.8
"171","xd439","ahg",1,"qima1242","language","afro1255","family","","Ca31","Greater Abyssinia",12,37
"172","xd729","ahk",1,"akha1245","language","sino1245","family","","Ej7","Southeast Asia",21,100
"173","xd698","aim",1,"aimo1244","language","sino1245","family","","Ei11","Southeast Asia",25,94
"174","xd430","aiw",3,"aari1239","language","sout2845","family","","Ca23","Greater Abyssinia",6,37
"175","xd432","aiw",3,"aari1239","language","sout2845","family","","Ca25","Greater Abyssinia",6,37
"176","xd433","aiw",3,"aari1239","language","sout2845","family","","Ca26","Greater Abyssinia",6,37
"177","xd871","aji",1,"ajie1238","language","aust1307","family","","Ih5","Oceania",-21.35,165.25
"178","xd592","ajp",1,"sout3123","language","afro1255","family","","Cj6","Greater Mesopotamia",32,36
"179","xd189","aka",3,"akye1239","dialect","atla1278","family","","Af12","African Savannah",7,-1
"180","xd208","aka",3,"asan1239","dialect","atla1278","family","","Af3","African Savannah",7,-2
"181","xd222","aka",3,"fant1241","dialect","atla1278","family","","Af42","African Savannah",6,-1
"182","xd741","akl",1,"akla1241","language","aust1307","family","","Ia18","Oceania",10,123
"183","xd916","ako",1,"akur1238","language","cari1283","family","","B37","NE South America",3,-55
"184","xd216","akp",1,"siwu1238","language","atla1278","family","","Af37","African Savannah",6.05,0.85
"185","xd1387","alc",1,"qawa1238","language","kawe1237","family","","Sg5","SE South America",-52,-74
"186","xd224","ald",1,"alla1248","language","atla1278","family","","Af44","African Savannah",5.4,-4
"187","xd999","ale",2,"beri1255","dialect","eski1264","family","","B294","Alaska-Oregon",57.93,-153.16
"188","xd1067","ale",2,"east2533","dialect","eski1264","family","","Na9","N Coast Asia",54,-167
"189","xd528","aln",1,"gheg1238","language","indo1319","family","","Ce1","Europe",42,20
"190","xd964","aly",1,"alya1239","language","pama1250","family","","B117","S Australia",-22.27,135.17
"191","xd392","alz",1,"alur1250","language","nilo1247","family","","Aj17","S Africa",2,31
"192","xd1372","amc",1,"amah1246","language","pano1256","family","","Se8","NE South America",-10,-72
"193","xd425","amf",2,"hame1242","language","sout2845","family","","Ca19","Greater Abyssinia",6,36
"194","xd428","amf",2,"hame1242","language","sout2845","family","","Ca21","Greater Abyssinia",5,36
"195","xd455","amh",1,"amha1245","language","afro1255","family","","Ca7","Greater Abyssinia",13,38
"196","xd749","ami",1,"amis1246","language","aust1307","family","","Ia9","Southeast Asia",22.5,120.9
"197","xd305","anc",1,"ngas1240","language","afro1255","family","","Ah16","African Savannah",9,9
"198","xd903","anq",1,"jara1245","language","jara1244","family","","B6","Southeast Asia",12.19,92.79
"199","xd375","anu",1,"anua1242","language","nilo1247","family","","Ai44","Greater Abyssinia",8,34
"200","xd218","any",1,"anyi1245","language","atla1278","family","","Af39","African Savannah",7,-4
"201","xd1337","aoc",2,"cama1252","dialect","cari1283","family","","Sc11","NE South America",6,-63
"202","xd1341","aoc",2,"taul1252","dialect","cari1283","family","","Sc15","NE South America",4,-62
"203","xd776","aoi",1,"anin1240","language","gunw1250","family","","Id13","N Australia",-13.99,136.8
"204","xd764","aol",1,"alor1247","language","aust1307","family","","Ic2","Oceania",-8,125
"205","xd858","apb",1,"saaa1240","language","aust1307","family","","Ig6","Oceania",-10,161
"206","xd586","apc",3,"nort3140","dialect","afro1255","family","","Cj1","Greater Mesopotamia",36,36
"207","xd593","apc",3,"nort3141","dialect","afro1255","family","","Cj7","Greater Mesopotamia",34,36
"208","xd594","apc",3,"sunn1238","dialect","afro1255","family","","Cj8","Greater Mesopotamia",33,35
"209","xd481","apd",5,"khar1296","dialect","afro1255","family","","Cb4","African Savannah",14,32
"210","xd461","apd",5,"nort3133","dialect","afro1255","family","","Cb12","African Savannah",13,32
"211","xd462","apd",5,"nort3133","dialect","afro1255","family","","Cb13","African Savannah",11,25
"212","xd503","apd",5,"nort3133","dialect","afro1255","family","","Cc6","N Africa",17,31
"213","xd464","apd",5,"west2773","dialect","afro1255","family","","Cb15","African Savannah",11,28
"214","xd1266","apj",1,"jica1244","language","atha1245","family","","Nh16","Basin and Plains",36,-104
"215","xd1219","apk",1,"kiow1264","language","atha1245","family","","Ne2","Basin and Plains",36,-99
"216","xd1275","apl",1,"lipa1241","language","atha1245","family","","Nh24","Basin and Plains",30,-100
"217","xd1259","apm",2,"mesc1238","language","atha1245","family","","Nh1","Basin and Plains",31,-108
"218","xd1265","apm",2,"mesc1238","language","atha1245","family","","Nh15","Basin and Plains",33,-103
"219","xd1415","apn",1,"apin1244","language","nucl1710","family","","Sj7","NE South America",-6,-49
"220","xd1267","apw",1,"west2615","language","atha1245","family","","Nh17","Basin and Plains",34,-110
"221","xd524","egy",1,"egyp1246","language","afro1255","family","","Cd6","N Africa",30,31
"222","xd1209","ari",1,"arik1262","language","cadd1255","family","","Ne10","Basin and Plains",46,-101
"223","xd1384","arn",1,"mapu1245","language","arau1255","family","","Sg2","Andean",-39,-68
"224","xd1228","arp",1,"arap1274","language","algi1248","family","","Ne9","Basin and Plains",40,-103
"225","xd510","arq",4,"algi1247","dialect","afro1255","family","","Cd12","N Africa",31,2
"226","xd494","arq",4,"algi1247","dialect","afro1255","family","","Cc16","N Africa",32,3
"227","xd515","arq",4,"cons1245","dialect","afro1255","family","","Cd17","N Africa",35,5
"228","xd512","arq",4,"oran1236","dialect","afro1255","family","","Cd14","N Africa",35,2
"229","xd588","ars",2,"nort3137","dialect","afro1255","family","","Cj2","Greater Mesopotamia",33,37
"230","xd591","ars",2,"sout3119","dialect","afro1255","family","","Cj5","Greater Mesopotamia",28,47
"231","xd424","arv",1,"arbo1245","language","afro1255","family","","Ca18","Greater Abyssinia",5,37
"232","xd1336","arw",1,"araw1276","language","araw1281","family","","Sc10","NE South America",6,-57
"233","xd514","ary",2,"sout3117","dialect","afro1255","family","","Cd16","N Africa",33,-8
"234","xd518","arz",1,"egyp1253","language","afro1255","family","","Cd2","N Africa",25,33
"235","xd105","asa",1,"asut1235","language","atla1278","family","","Ad36","S Africa",-4,38
"236","xd1210","asb",1,"assi1247","language","siou1252","family","","Ne11","Basin and Plains",48,-106
"237","xd221","ati",1,"atti1239","language","atla1278","family","","Af41","African Savannah",6,-4
"238","xd1208","ats",1,"gros1243","language","algi1248","family","","Ne1","Basin and Plains",49,-109
"239","xd1135","atw",1,"atsu1245","language","pala1350","family","","Nc4","Basin and Plains",41,-121
"240","xd225","avi",1,"avik1243","language","atla1278","family","","Af45","African Savannah",5.25,-5
"241","xd1406","awe",1,"awet1244","language","tupi1275","family","","Si9","NE South America",-12,-54
"242","xd1390","axb",1,"abip1241","language","guai1249","family","","Sh3","SE South America",-29,-61
"243","xd923","axk",2,"bamb1264","dialect","atla1278","family","","B60","S Africa",2,17
"244","xd924","axk",2,"beka1240","dialect","atla1278","family","","B61","African Savannah",3.58,17.76
"245","xd968","axl",1,"lowe1436","language","pama1250","family","","B122","S Australia",-26.09,135.52
"246","xd519","ayl",1,"liby1240","language","afro1255","family","","Cd20","N Africa",31,22
"247","xd595","ayn",1,"sana1295","language","afro1255","family","","Cj9","Greater Mesopotamia",15,45
"248","xd1375","ayr",1,"cent2142","language","ayma1253","family","","Sf2","Andean",-16,-69
"249","xd549","bak",1,"bash1264","language","turk1311","family","","ch12","Inner Asia",54,56
"250","xd244","bam",1,"bamb1269","language","mand1469","family","","Ag1","African Savannah",13,-7
"251","xd172","bax",1,"bamu1253","language","atla1278","family","","Ae50","African Savannah",6,11
"252","xd753","bbc",1,"bata1289","language","aust1307","family","","Ib4","Southeast Asia",2,99
"253","xd651","bca",1,"cent2004","language","sino1245","family","","Ed8","Southeast Asia",26,100
"254","xd243","bci",1,"baou1238","language","atla1278","family","","Af9","African Savannah",8,-5
"255","xd477","bcy",1,"baca1246","language","afro1255","family","","Cb27","African Savannah",10,12
"256","xd482","bdm",1,"budu1265","language","afro1255","family","","Cb5","African Savannah",13,15
"257","xd85","bdp",1,"bend1258","language","atla1278","family","","Ad18","S Africa",-7,31
"258","xd166","bdu",1,"orok1266","language","atla1278","family","","Ae45","African Savannah",10,9
"259","xd966","bdy",1,"band1339","language","pama1250","family","","B119","S Australia",-29.59,152.78
"260","xd1045","bea",1,"beav1236","language","atha1245","family","","Na29","E North America",58,-117
"261","xd442","bej",4,"abab1239","dialect","afro1255","family","","Ca34","N Africa",24,34
"262","xd443","bej",4,"amar1281","dialect","afro1255","family","","Ca35","N Africa",20,36
"263","xd453","bej",4,"bish1251","dialect","afro1255","family","","Ca5","N Africa",20,35
"264","xd452","bej",4,"hade1248","dialect","afro1255","family","","Ca43","N Africa",18,36
"265","xd570","bel",1,"bela1254","language","indo1319","family","","Ch6","Inner Asia",55,28
"266","xd55","bem",2,"town1238","dialect","atla1278","family","","Ac3","S Africa",-11,31
"267","xd664","ben",1,"beng1280","language","indo1319","family","","Ef2","Indic",23,88
"268","xd366","bex",1,"jurm1239","language","cent2225","family","","Ai36","African Savannah",8,28
"269","xd78","bez",1,"bena1262","language","atla1278","family","","Ad11","S Africa",-9,36
"270","xd390","bfa",3,"kuku1285","dialect","nilo1247","family","","Aj15","African Savannah",4,32
"271","xd413","bfa",3,"ligo1238","dialect","nilo1247","family","","Aj8","African Savannah",5,32
"272","xd388","bfa",3,"poju1239","dialect","nilo1247","family","","Aj13","S Africa",4,31
"273","xd185","bfd",1,"bafu1246","language","atla1278","family","","Ae9","African Savannah",6,10
"274","xd174","bfm",1,"mmen1238","language","atla1278","family","","Ae52","African Savannah",7,10
"275","xd273","bfo",1,"malb1235","language","atla1278","family","","Ag36","African Savannah",11,-3
"276","xd669","bfz",1,"maha1287","language","indo1319","family","","Ef7","Indic",30,78
"277","xd597","bgp",1,"east2304","language","indo1319","family","","Ea10","Indic",30,69
"278","xd683","ori",1,"nucl1284","language","indo1319","family","","Eg7","Indic",21,85
"279","xd292","bib",1,"biss1248","language","mand1469","family","","Ag53","African Savannah",12,0
"280","xd252","bif",1,"biaf1240","language","atla1278","family","","Ag17","African Savannah",12,-15
"281","xd202","bin",1,"bini1246","language","atla1278","family","","Af24","African Savannah",6,6
"282","xd911","biy",1,"birh1242","language","aust1305","family","","B18","Indic",23.41,84.38
"283","xd157","bja",1,"budz1238","language","atla1278","family","","Ae37","S Africa",3,23
"284","xd253","bjg",1,"bidy1244","language","atla1278","family","","Ag18","African Savannah",11.1,-16.15
