,l1,l2,local_alignment,comparison_count
0,sl,cv,0.03660501354242876,261
1,myv,cv,0.04981399579805623,632
2,mrj,cv,0.052060571108276145,583
3,br,cv,0.05781838202482451,648
4,cv,sah,0.06212106422855268,687
5,la,cv,0.06242203546794656,761
6,uz,cv,0.06716000836388895,473
7,ku,cv,0.06741913392371165,615
8,cv,kn,0.07152782302908661,662
9,mrj,sl,0.07264125362452624,281
10,cv,ce,0.07542769159202022,517
11,ga,cv,0.07572195104689612,787
12,sl,te,0.07949433646270905,277
13,cy,cv,0.08045144250814881,768
14,cv,te,0.08341258889183609,619
15,sl,ce,0.08367065841466362,221
16,mrj,myv,0.08380905707523625,631
17,cv,he,0.08476059356231382,759
18,ku,sl,0.08494201728027698,272
19,sl,ga,0.0864602108238023,334
20,bn,cv,0.08944344693356517,610
21,ps,cv,0.08953247432589874,737
22,sl,sah,0.09018281396010842,298
23,myv,sah,0.09131320595336785,721
24,en,cv,0.09277270733957305,707
25,ba,cv,0.0936401454097578,733
26,mrj,kn,0.09491469069231179,644
27,mrj,sah,0.09533395456515283,670
28,sl,br,0.09623280587625462,273
29,myv,br,0.09648177112273915,664
30,os,cv,0.09878747883503541,522
31,myv,ga,0.09924054298692504,811
32,myv,uz,0.09954726724641211,507
33,br,sah,0.09962596315488363,731
34,ps,sl,0.10037058053310514,333
35,mrj,la,0.10093226372126587,733
36,sl,cy,0.10155258171580174,305
37,myv,ps,0.10213697264888773,787
38,az,cv,0.10244132341511569,755
39,mrj,ga,0.10280199259208536,732
40,is,cv,0.10443560655468327,793
41,da,cv,0.10489468789749663,746
42,mrj,ce,0.10533063289245377,490
43,mrj,he,0.10567145356351074,719
44,mrj,uz,0.1058100498741245,459
45,mrj,br,0.10603244468949545,610
46,hy,cv,0.10718515523429135,776
47,mrj,ku,0.10778794190777999,593
48,myv,la,0.10792307500879834,799
49,mrj,ps,0.10815159518403296,720
50,cv,mn,0.10824394878779721,878
51,myv,cy,0.10888165863088553,782
52,myv,te,0.10893374338970616,667
53,cv,ja,0.10895518424863401,648
54,mrj,cy,0.10926807304225046,698
55,lv,cv,0.11012772782087313,662
