,l1,l2,local_alignment,comparison_count
0,ca,ka,-0.05436482727470364,117
1,uk,ka,-0.03601860673554882,152
2,ka,he,-0.022356776981562215,142
3,de,ka,-0.020493817861773025,92
4,en,ka,-0.017406232864912347,134
5,sq,ka,-0.01691199798548942,154
6,ko,ka,-0.014970008235645607,108
7,no,ka,-0.013560523041894961,143
8,is,ka,-0.010417938819893979,147
9,hu,ka,-0.008227202056132076,169
10,ka,eu,-0.001772187750283465,155
11,et,ka,-0.0012446151610764284,157
12,hy,sq,0.0019497565565900425,129
13,tr,ka,0.002600837766472087,178
14,sv,ka,0.0030664487843921513,154
15,fi,ka,0.004733755127874707,175
16,lt,ka,0.005419935103121326,158
17,da,ka,0.00878670998840828,145
18,ka,ar,0.008833979031919107,152
19,br,ka,0.012193764596141354,93
20,hy,eu,0.013673361831904126,129
21,hy,ko,0.01723234081860924,97
22,hy,is,0.0188339937611645,127
23,lv,ka,0.019901514646617123,142
24,pt,ka,0.02020596899543812,161
25,it,ka,0.02030552790308764,152
26,br,ko,0.023738555330987184,200
27,fa,ka,0.02449130817564731,170
28,sk,ka,0.026197857113256867,167
29,ro,ka,0.02865656721104932,166
30,nl,ka,0.029162910572733392,176
31,da,br,0.030116390780368957,332
32,fr,ka,0.03121884866348574,154
33,hr,ka,0.03187234580519917,179
34,br,ja,0.03288826486707873,205
35,es,ka,0.03361299690762449,146
36,cs,ka,0.034502355282219614,163
37,el,ka,0.035404960167487176,156
38,de,br,0.03612392703629108,194
39,no,br,0.03875180901337965,338
40,sq,br,0.04249610654696198,342
41,hy,no,0.04477580065421988,126
42,bg,ka,0.046714550076183504,168
43,nl,br,0.049832330733805774,374
44,sv,br,0.051938904488230686,355
45,ru,ka,0.05306413094936416,148
46,lv,br,0.05408581538654093,258
47,et,hy,0.0546349384833949,135
48,hy,ja,0.05535620892283723,106
49,br,ro,0.05571792343801255,404
50,br,eu,0.057357089163368756,332
51,is,br,0.05754764383076844,332
52,hy,nl,0.05854475079726501,146
53,br,ca,0.058869213427376416,304
54,fi,br,0.059864073386965,396
55,br,fr,0.06297874991482029,375
56,br,he,0.06340634252461563,326
57,br,pt,0.06404855435493743,389
58,en,br,0.06465321332881156,317
59,hy,en,0.06753976166912835,119
60,is,ja,0.06762217301682442,419
61,uk,br,0.06781467051964549,322
62,ja,ka,0.06855438060399795,126
63,fi,hy,0.0694884987927686,142
64,br,it,0.07062716904654336,365
65,fa,hy,0.07094606691751229,138
66,et,br,0.0717818250031445,354
67,fa,br,0.07443622952966902,320
68,hu,br,0.07475920526903346,403
69,hy,pt,0.07507081652170715,141
70,pl,ka,0.07809406299637446,161
71,hu,hy,0.07948717157559582,141
72,hy,lt,0.08004744526793224,138
73,br,ar,0.0811291763201982,359
74,cs,br,0.08124605237929443,348
75,ca,ja,0.08206210702387486,390
76,sk,br,0.08218148141910524,363
77,hy,ro,0.08230766539752238,139
78,hy,tr,0.08245429363483232,154
79,no,ja,0.08246166686527301,452
80,br,es,0.08289686616173574,373
81,ru,br,0.08302717613744265,332
82,hy,sk,0.08328006596785638,142
83,hy,ru,0.08359203873111234,120
84,hy,ca,0.08370342547717459,111
85,pl,br,0.08555519660147931,357
86,lt,br,0.08616443885548494,385
87,hy,de,0.08832024329150043,80
88,is,ko,0.08916333662231549,469
89,hy,da,0.08976156477692328,125
90,hy,bg,0.090078275582544,142
91,bg,br,0.09019855903246586,382
92,hy,it,0.09117354021649883,131
93,ko,ja,0.0918401214107503,304
94,hy,uk,0.09215548294167625,122
95,hr,br,0.09269025884504652,370
96,el,br,0.09329013713584822,366
97,uk,ja,0.0934243320319674,432
98,hy,sv,0.09432777265968684,131
99,de,ja,0.096457884896987,199
100,hy,he,0.09815916154135425,121
101,ro,ja,0.09841841083008755,520
102,da,ja,0.09932958851075348,441
103,br,tr,0.10009097921263553,401
104,sq,ja,0.1003597037695392,458
105,ca,ko,0.10193630313156025,457
106,hy,el,0.10286048741715596,133
107,uk,ko,0.10294337634567699,475
108,hy,fr,0.10406658724313558,136
109,fa,ja,0.10528193342437667,433
110,en,ja,0.10648371504602974,420
111,fr,ja,0.1079564276532538,479
112,ja,eu,0.10822477755150295,451
113,lv,hy,0.10943225501183872,112
114,lv,ja,0.10946564500281655,377
115,et,ja,0.11074809507468092,476
116,no,ko,0.11108668777195578,539
117,lv,ko,0.11341062897540066,450
118,sq,ko,0.1141161391594438,537
119,hy,ar,0.11566010706348669,122
120,hy,es,0.1171682038634733,134
121,nl,ja,0.11767442314447536,497
122,lt,ja,0.11795280151661469,487
123,sv,ja,0.11802605642714951,471
124,hy,pl,0.11869178118037362,129
125,bg,ja,0.11960066858058098,495
126,tr,ja,0.11977763356095712,516
127,da,ko,0.1201900137926124,521
128,ja,he,0.12182073385554279,452
129,fi,ja,0.12555161464979886,517
130,ru,ja,0.12762202964622624,454
131,uk,ca,0.1289762406317572,756
132,it,ja,0.12956443724940264,480
133,pt,ja,0.12965572223490673,476
134,hu,ja,0.12971742571539627,515
135,hy,cs,0.13398736084547366,134
136,ko,eu,0.13441229532648521,510
137,uk,is,0.1346809874285247,781
138,is,eu,0.13538428959223522,816
139,lt,ko,0.13752361442086486,547
140,is,ca,0.13905753648563002,791
141,de,ko,0.14072788310004591,181
142,ja,ar,0.1431605045163578,471
143,sk,ja,0.14371886623231314,481
144,et,ko,0.1438829921424083,553
145,sq,uk,0.1442322581307115,871
146,lv,is,0.1444799807498213,566
147,lv,ca,0.14503146428287572,568
148,uk,no,0.14515688765254278,861
149,uk,eu,0.14565977282086118,802
150,ko,he,0.1459709572777928,510
151,ca,eu,0.14607271695670407,793
152,ru,ko,0.14640720338766636,523
153,hy,br,0.1466267479228406,92
154,it,ko,0.14705485474234994,553
155,sv,ko,0.14742066209462804,560
156,ro,ko,0.1477473415139416,619
157,es,ja,0.14785759978634735,475
158,pl,ja,0.1479759095638864,473
159,fr,ko,0.148491631830226,584
160,sq,is,0.1491025457723758,898
161,lv,eu,0.1497814030350644,550
162,uk,he,0.15029324093944746,848
163,uk,da,0.15100377510770857,851
164,cs,ja,0.15182783084629678,466
165,en,ko,0.1528038122802841,501
166,lv,no,0.15304052399395168,654
167,lv,sq,0.15469073253506538,636
168,sq,ca,0.1549048036508815,877
169,nl,ko,0.15587686976754786,575
170,lv,ro,0.156157289775661,668
171,lt,ca,0.15740742327099924,931
172,pt,ko,0.15808931646296948,586
173,fa,ko,0.15842228170879316,566
174,hu,ko,0.1586418814343224,597
175,uk,en,0.1604399419854156,798
176,sq,eu,0.16264093699952725,924
177,no,ca,0.1633737812726219,886
178,hy,hr,0.16378092368876823,142
179,lv,da,0.16397856813664663,657
180,uk,fr,0.16473909095307615,935
181,pl,ko,0.16506491179544547,552
182,uk,it,0.16523534002490467,890
183,uk,ro,0.16532024128793088,976
184,el,ja,0.16584394655595033,484
185,ca,he,0.16639962837902827,842
186,uk,pt,0.16791393706526506,954
187,no,eu,0.16842964978686562,916
188,sq,no,0.16855193352641162,1017
189,uk,lt,0.1691870408037579,942
190,is,he,0.16927330037249677,886
191,fi,ko,0.1693196555202257,591
192,hr,ja,0.16980802233835113,507
193,da,ca,0.1707229266782072,868
194,uk,nl,0.17113377125147147,962
195,lt,is,0.17192273387600687,967
196,et,uk,0.17228503736302256,914
197,is,ro,0.1728964832110137,1045
198,tr,ko,0.17311994839866726,615
199,lv,sv,0.17320317755831816,662
200,is,fr,0.17322137301134438,998
201,uk,sv,0.1738921052550365,916
202,da,eu,0.17428317581043343,891
203,sq,da,0.1748358103036078,991
204,et,ca,0.17504191382312523,908
205,uk,de,0.17552828936384224,420
206,lt,eu,0.175620884364442,975
