"iso2_l1","iso2_l2","rho","family1","family2","comparison_count","name_l1","name_l2"
"ab","ar",0.0900832079379404,"Abkhaz-Adyge","Afro-Asiatic",148,"Abkhazian","Arabic"
"ab","ce",0.0654164070594904,"Abkhaz-Adyge","Nakh-Daghestanian",120,"Abkhazian","Chechen"
"ab","he",0.0751947032250184,"Abkhaz-Adyge","Afro-Asiatic",133,"Abkhazian","Hebrew"
"ab","lez",0.117367502813702,"Abkhaz-Adyge","Nakh-Daghestanian",115,"Abkhazian","Lezgian"
"ab","zh",0.0204978651080781,"Abkhaz-Adyge","Sino-Tibetan",130,"Abkhazian","Chinese"
"ar","he",0.2389558035832,"Afro-Asiatic","Afro-Asiatic",1093,"Arabic","Hebrew"
"ar","zh",0.19594675064775,"Afro-Asiatic","Sino-Tibetan",1025,"Arabic","Chinese"
"av","ar",0.168601588061011,"Nakh-Daghestanian","Afro-Asiatic",446,"Avar","Arabic"
"av","ce",0.122730481465856,"Nakh-Daghestanian","Nakh-Daghestanian",330,"Avar","Chechen"
"av","he",0.143513993396866,"Nakh-Daghestanian","Afro-Asiatic",419,"Avar","Hebrew"
"av","lbe",0.145463634528022,"Nakh-Daghestanian","Nakh-Daghestanian",125,"Avar","Lak"
"av","lez",0.14221965389938,"Nakh-Daghestanian","Nakh-Daghestanian",312,"Avar","Lezgian"
"av","zh",0.0855176232910526,"Nakh-Daghestanian","Sino-Tibetan",396,"Avar","Chinese"
"az","ab",0.123177985145191,"Turkic","Abkhaz-Adyge",141,"Azerbaijani","Abkhazian"
"az","ar",0.245193415564982,"Turkic","Afro-Asiatic",1013,"Azerbaijani","Arabic"
"az","av",0.191614050247066,"Turkic","Nakh-Daghestanian",402,"Azerbaijani","Avar"
"az","ba",0.239202415652883,"Turkic","Turkic",872,"Azerbaijani","Bashkir"
"az","ce",0.154541691036708,"Turkic","Nakh-Daghestanian",705,"Azerbaijani","Chechen"
"az","cv",0.157036762428972,"Turkic","Turkic",314,"Azerbaijani","Chuvash"
"az","eu",0.267797205356126,"Turkic","Basque",1019,"Azerbaijani","Basque"
"az","he",0.218440561503058,"Turkic","Afro-Asiatic",959,"Azerbaijani","Hebrew"
"az","ja",0.193807467671014,"Turkic","Japonic",845,"Azerbaijani","Japanese"
"az","ka",0.267887822394491,"Turkic","Kartvelian",953,"Azerbaijani","Georgian"
"az","kk",0.256600565435632,"Turkic","Turkic",1047,"Azerbaijani","Kazakh"
"az","kn",0.247221507348108,"Turkic","Dravidian",762,"Azerbaijani","Kannada"
