,l1,l2,Unnamed: 0,overlap,p,rho
0,be,es,378.0,11.4663143989,0.32303763804,0.324855138418
1,bg,be,1095.5,11.2522123894,0.299741821657,0.346490951425
2,bg,ca,1765.5,11.5951661631,0.306958689305,0.357277140581
3,bg,cs,2450.5,13.2132768362,0.255682778154,0.409189880261
4,bg,da,3162.0,11.3244755245,0.315984238091,0.346410260571
5,bg,de,3888.5,12.3279132791,0.29556791942,0.361997373136
6,bg,en,4618.5,11.6578947368,0.30016721651,0.314569624569
7,bg,es,5338.5,12.3983286908,0.274208555855,0.368699866412
8,bg,eu,6026.5,9.14741641337,0.337438300523,0.317290861648
9,bg,fr,6709.5,11.4689265537,0.28774994769,0.374288882706
10,bg,he,7387.5,9.25771604938,0.323789338112,0.269638760514
11,bg,hr,8056.0,11.9564586357,0.262607006819,0.413789486586
12,bg,it,8735.5,11.0298507463,0.308437916826,0.354018868164
13,bg,ja,9374.0,8.37726523888,0.326399755205,0.280251311018
14,bg,ka,10014.0,10.6404160475,0.285988364098,0.362439551672
15,bg,kk,10678.5,8.45426829268,0.347716960438,0.314872948634
16,bg,la,11341.5,7.46119402985,0.358607797711,0.196785258075
17,bg,lt,12023.5,11.1527377522,0.309175374494,0.357404424427
18,bg,nl,12738.5,10.9918478261,0.306366063483,0.35064143442
19,bg,no,13457.0,11.0313837375,0.301390207751,0.364945279727
20,bg,pl,14152.5,13.3405797101,0.258063665522,0.408235623395
21,bg,pt,14849.5,11.6860795455,0.302845597944,0.347774983444
22,bg,ro,15554.5,11.7620396601,0.300866871052,0.358004633373
23,bg,ru,16265.0,13.8237762238,0.248117675365,0.412424804761
24,bg,sk,16969.5,11.6930835735,0.291750720634,0.35411738847
25,ca,be,17664.0,10.6935251799,0.340455377994,0.311661178928
26,ca,es,18431.5,17.5511904762,0.146699827775,0.564111674257
27,ca,eu,19210.0,10.3068340307,0.310475770423,0.353575281215
28,ca,he,19919.0,8.79885877318,0.343315384189,0.307133445431
29,ca,it,20647.5,14.1441798942,0.217973892075,0.47382904213
30,ca,ja,21362.5,7.97329376855,0.334233330872,0.290620753077
31,ca,ka,22031.0,9.93514328808,0.332915457191,0.307627642896
32,ca,kk,22723.0,8.83217753121,0.360423627768,0.281123297651
33,ca,pt,23494.5,14.8527980535,0.211294041084,0.458382398294
34,ca,ro,24292.0,12.0194049159,0.296227022036,0.383865785266
35,cs,be,25039.0,12.5090152566,0.2860069461,0.374061319415
36,cs,ca,25760.5,11.6260387812,0.282106797935,0.376292325292
37,cs,da,26511.5,11.9294871795,0.282477601858,0.385389406902
38,cs,de,27304.0,14.2198757764,0.253098024526,0.411038136799
39,cs,en,28098.0,12.3014048531,0.292222966336,0.37450036816
40,cs,es,28880.0,12.9039692702,0.273795378546,0.397639705874
41,cs,eu,29621.0,9.46504992867,0.33663954797,0.32523206617
42,cs,fr,30356.0,12.2236671001,0.282602784308,0.363827269064
43,cs,he,31087.5,9.50288184438,0.329761287783,0.271585401523
44,cs,it,31794.0,12.3379694019,0.269356392696,0.401780280853
45,cs,ja,32480.0,8.43338437979,0.328065262285,0.297826180036
46,cs,ka,33156.0,11.1502145923,0.312961151725,0.318392623026
47,cs,kk,33858.0,8.70638297872,0.359646452528,0.276064171384
48,cs,la,34564.0,7.92503536068,0.389171962876,0.197341879312
49,cs,lt,35298.0,11.6688567674,0.284507447214,0.371417178723
50,cs,nl,36076.0,12.3144654088,0.286606083371,0.399770368386
51,cs,no,36856.5,12.0143603133,0.292117926945,0.384995867285
52,cs,pl,37613.5,16.5868983957,0.181262558058,0.485184488499
53,cs,pt,38371.0,12.29726206,0.284628374537,0.369796437069
