l1,l2,local_alignment,comparison_count
kn,ab,-0.00709589170353952,116
kv,xal,0.0061502397975057976,167
ja,lbe,0.015331234458971558,161
ku,xal,0.015494843632378512,251
udm,xal,0.016370913718704163,232
lbe,zh,0.018157628720473024,153
ja,ab,0.019304135629248244,124
ab,zh,0.02225169330445,129
xal,ce,0.024105226504114115,247
cv,xal,0.027658598186856467,131
xal,ja,0.02832668268963867,259
xal,zh,0.028958764293940766,277
kn,lbe,0.02911320211833696,149
bn,ab,0.03192065961740154,105
xal,lez,0.0330234328330338,233
uz,xal,0.034474014359670097,201
uz,lbe,0.03792163035738485,116
ta,ab,0.037963648060294966,109
bn,xal,0.03892429942861157,244
ps,xal,0.039323979095153436,286
myv,xal,0.0406510729915018,223
xal,kn,0.04084130671158269,262
sah,xal,0.04204301772264143,278
te,ab,0.042424809200198865,102
udm,ab,0.04381545521460852,110
ga,lbe,0.043827783401017936,164
myv,lbe,0.04488773480615995,130
mdf,ta,0.045576211564572505,230
ko,ab,0.047304075015703696,113
xal,ko,0.048795891841022995,256
xal,he,0.04920434889207069,291
is,xal,0.04985327449405017,300
ga,xal,0.04986789225961439,304
xal,te,0.050803876031552356,248
myv,ja,0.05098233195894059,416
tt,xal,0.0516277565110488,299
mdf,kn,0.05195931450265201,243
mrj,xal,0.05197362376911968,223
sah,ab,0.05203856445157205,119
kv,zh,0.05309648211937555,337
lbe,ce,0.05629428104054263,135
la,xal,0.05707081088240444,302
mrj,lbe,0.05779412251762436,135
ko,lbe,0.05840751618960015,142
ta,lbe,0.05892151479767522,133
br,xal,0.06023324283074025,239
be,xal,0.06111639493440553,290
mdf,ga,0.06184613595251723,305
os,xal,0.06266149404833697,163
xal,ta,0.06311428999331789,236
xal,ka,0.06438940958861747,312
ba,xal,0.06466987202347992,282
myv,lez,0.0649382185344712,356
tt,ab,0.06557935230318833,141
ab,ce,0.06631670715615108,119
cy,xal,0.0666321528399254,286
lbe,he,0.06698246633577117,158
mdf,zh,0.0672289746099263,265
da,xal,0.06723191975231119,293
no,xal,0.06734562005379408,300
xal,eu,0.06740495118276763,314
mhr,de,0.0679252606305449,34
hy,xal,0.06840652577799203,305
ps,ab,0.06876573797306586,127
ce,zh,0.0691279194577377,695
mdf,br,0.06977617769025328,240
kv,ja,0.07006309056417304,325
vep,xal,0.07010008831639743,202
lv,lbe,0.07034651602994124,165
az,xal,0.07046139491350346,303
xal,av,0.07130492303566022,189
mdf,ja,0.07144240539479645,246
sq,xal,0.07151282249679732,309
vep,lbe,0.0717543873988505,118
bg,xal,0.07211828149848039,316
udm,lbe,0.07272389986188114,129
ba,ab,0.07330162318347745,130
mn,xal,0.07373105171514786,356
el,xal,0.07375706940461851,320
myv,udm,0.07389512644063934,346
sv,xal,0.07414668357724648,319
sah,lbe,0.07474526223007076,146
sk,xal,0.0749232429056938,323
xal,ml,0.07500292714366638,264
mdf,uz,0.0754271154840932,194
ab,he,0.07566733160080497,132
lv,xal,0.07572382632788117,304
myv,zh,0.07607090343383703,448
en,ab,0.07665395530834342,133
mdf,en,0.076864062543572,263
cy,lbe,0.07719770594432479,153
ga,ab,0.07745573798781011,135
mdf,xal,0.07754000410938562,156
lt,xal,0.0775585299843582,319
bn,lbe,0.07813169022623392,144
mdf,bn,0.07820559024591786,233
en,lbe,0.07837381769684258,149
kk,xal,0.0785022642644731,328
en,xal,0.07927172415302261,275
sq,lbe,0.07944978365836787,178
mdf,sah,0.07959349709200896,256
te,lbe,0.07996721255398807,140
xal,ar,0.08007209814064577,311
mdf,la,0.08025364682810306,284
pt,xal,0.08055733994507708,323
br,ab,0.08055912646320942,112
myv,cv,0.08085921493253201,184
mdf,lez,0.08113191661614319,241
et,lbe,0.08168458938183795,170
myv,uz,0.08192184283980403,325
et,xal,0.08213138162356619,306
ca,ab,0.08232533764589037,134
ro,xal,0.0826151693282069,343
sv,lbe,0.08355399011288889,170
myv,ps,0.08369640897238302,441
bg,lbe,0.0837491878916214,172
is,lbe,0.08377926752205292,164
ca,xal,0.08382509678727501,284
mdf,ce,0.08393770517560852,233
uk,xal,0.08404339218605449,298
fa,xal,0.08407261630760286,327
es,xal,0.08413409062125897,313
ru,xal,0.08418889353992437,290
hr,xal,0.0844182684268049,336
myv,ce,0.08465912608977774,386
mdf,cy,0.08482804263432193,264
myv,sah,0.085097722858784,442
av,zh,0.08562463004136404,394
lez,zh,0.08606682739140162,508
kv,sah,0.0861038253001846,323
fi,xal,0.08647518238837458,329
se,he,0.08695064204648052,117
ku,ab,0.08707815971239236,118
cv,zh,0.08726240698968588,306
cs,xal,0.08742928187917846,312
br,lbe,0.08747447563545738,133
udm,zh,0.08749219859795081,453
ps,lbe,0.08806795209583558,149
mn,ab,0.08811906169279764,164
mdf,az,0.08818504231087759,282
da,ab,0.0883058055262825,141
kv,uz,0.08839849211213233,221
no,ab,0.08872991881324334,141
tt,lbe,0.08889366395842664,172
ku,lbe,0.08935734025606612,140
myv,kn,0.08976401007361284,413
ab,ar,0.09001509328957386,147
pl,xal,0.09002573597739051,303
myv,os,0.09023838559748884,270
kv,cv,0.0904283075854901,129
mn,lbe,0.09047870486950985,186
mdf,he,0.09054801755692243,282
tr,xal,0.0907389193298466,344
mdf,de,0.09091186173160641,150
sah,ja,0.0910932271677681,650
fa,ab,0.09109516260410797,144
myv,ko,0.09132405232392274,412
mdf,tt,0.09143363626310017,287
la,lbe,0.09166385691641145,165
fi,lbe,0.09168657170582717,177
ml,lbe,0.09198845888239807,150
sah,av,0.0923146887654678,354
nl,xal,0.09257509508547991,332
mdf,ps,0.09257707498594708,274
mdf,ko,0.0926646668344919,249
el,lbe,0.0927204905562228,181
ka,ab,0.09272465170993247,136
myv,bn,0.09338553877307205,390
udm,cv,0.09345086455875624,199
cv,av,0.09348747037909978,174
kv,lez,0.0935521015229589,259
lbe,lez,0.09359676990591287,145
ja,ce,0.09372401710580006,650
vep,ce,0.0937484598307459,317
mrj,cv,0.09391711270867949,193
myv,ta,0.09414220421666984,394
no,lbe,0.0942718279282943,166
da,lbe,0.09431707709915764,157
sah,ce,0.09448337528534115,550
it,xal,0.094636529798588,316
mrj,myv,0.0951243533757125,348
es,ab,0.09538840461285578,141
mrj,mdf,0.09559803163921,232
mdf,te,0.09598029401746282,226
mdf,sq,0.09641154443866427,306
mdf,mn,0.09677485583821624,329
nl,lbe,0.09682908390825878,186
mrj,udm,0.09731849802505146,367
udm,ja,0.09765535873176279,418
myv,av,0.09785755887098858,272
mdf,is,0.09799028074206524,295
mdf,ku,0.09817967202249439,247
mdf,da,0.09837094678323557,287
ca,lbe,0.09878385391717738,149
be,lbe,0.09909177037813645,161
lv,ab,0.09917112185403257,123
mdf,udm,0.09938694124813743,233
ba,lbe,0.09948725527202369,166
ga,av,0.10018636671071168,399
fr,xal,0.10022671227941668,327
myv,he,0.10034364889538686,482
sah,zh,0.1004864015216562,687
mrj,lez,0.10084409802412511,375
cs,lbe,0.10090954948560489,166
mdf,no,0.10095182836819772,290
ga,ce,0.10127788845010327,686
hu,xal,0.10129450317602585,344
it,ab,0.101518878395227,149
mhr,zh,0.1017103261910081,139
kk,lbe,0.1018690764136421,179
udm,sah,0.10196657160259326,434
mdf,ba,0.10203384724590575,274
eu,lbe,0.10214517713930696,183
ja,av,0.10230914074354303,385
kv,ps,0.10280334954385621,307
kv,ce,0.1029248366778843,287
ja,lez,0.10299025038165635,471
pt,lbe,0.10303979735314162,176
cv,ja,0.10319120656161429,284
pl,lbe,0.10332046687070594,168
hy,lbe,0.10336075239929841,167
kv,ta,0.10348381571207459,273
myv,ga,0.10354796527393682,487
hi,xal,0.10364236013579484,407
mrj,kv,0.10381384190112848,254
mdf,el,0.1040746910104216,297
kk,ab,0.10411868461171953,153
ml,ab,0.10422148580931198,124
mrj,ja,0.10453485331411261,473
myv,cy,0.10472340403162626,471
kv,ga,0.10491977001788241,362
is,ab,0.10492762233349426,149
kn,av,0.10520483646793637,344
eu,ab,0.10532896066180783,152
ka,lbe,0.10535702176172064,183
myv,ku,0.10549232588782785,395
mdf,bg,0.10570115033805183,322
vep,cv,0.10603584987933523,158
be,ab,0.10626146425772913,135
mrj,ce,0.1063775214927389,402
mrj,bn,0.10640191273950361,398
mdf,ml,0.10655441139031768,262
os,ce,0.10661291768396725,324
bg,ab,0.10679609484533484,150
es,lbe,0.10681926664758891,174
kv,bn,0.10681980976168387,282
cy,ab,0.10709535045793515,128
myv,br,0.10712524259348691,396
udm,kn,0.10715086417000878,405
ro,lbe,0.10719041003150975,184
kv,kn,0.10727827042945016,300
hu,ab,0.10745134424358652,164
ku,sah,0.10745796039754622,569
lbe,ar,0.10758359941761206,177
pt,ab,0.10758426713746194,149
it,lbe,0.10775561021654861,179
ru,lbe,0.10785547299628451,163
myv,tt,0.10862321493091079,499
nl,ab,0.10872452215321879,161
mdf,nl,0.10875624692002775,330
lt,lbe,0.10923833519804253,181
vep,mdf,0.10938259719713428,201
vep,myv,0.1094834333220804,300
ps,zh,0.10960065156473615,689
cv,ko,0.10969851959453136,259
udm,cy,0.1098282913818572,456
myv,te,0.11013276977427187,372
uk,lbe,0.11015941940762314,162
sk,lbe,0.1103219988265776,172
ku,zh,0.11036429182535647,657
az,lbe,0.11041543132202307,163
mdf,cv,0.1105951523829503,125
ta,av,0.11094693858007369,333
mdf,hy,0.11098601704173397,293
fa,lbe,0.11106540691861137,180
cv,lez,0.11114181195768748,213
ro,ab,0.11124993507173558,167
hu,lbe,0.11138248911739405,181
mdf,kk,0.11167143336317338,309
mdf,lv,0.11180518603428045,276
mrj,kn,0.11184660741875065,416
uz,ce,0.11206518903495202,385
mdf,pt,0.11217711596169107,312
mdf,myv,0.11242509975507926,252
mdf,ka,0.11251474347515666,311
mrj,av,0.11279376347772518,291
kv,te,0.11312491045292691,281
mdf,kv,0.1132121118946352,147
sq,ab,0.11332479880139715,141
tr,lbe,0.1133755708639776,190
mrj,zh,0.11346128975680124,480
kn,ce,0.11360688458322553,563
mdf,ro,0.11379306706943468,335
os,zh,0.11430625029715698,403
la,ce,0.11441960925026953,696
myv,is,0.11546378251076113,486
sah,lez,0.11553488280012184,471
hi,lbe,0.11560507094739617,228
mrj,ab,0.11563779172248248,109
ab,lez,0.11591759454682378,114
ps,ja,0.11599282939445739,650
udm,bn,0.11609714220542336,380
ps,sah,0.11616171382676281,624
myv,ba,0.11623903723505077,475
mdf,ru,0.11624723864558026,285
de,xal,0.11654572149382196,120
mdf,sv,0.1165782442115103,312
sah,ko,0.11688332391746724,611
mrj,ga,0.11708740341617774,518
mdf,fa,0.11761281187196986,304
cv,ce,0.11763999221590908,260
mrj,uz,0.11764961845821946,318
mrj,sah,0.11792973287563266,433
et,ab,0.11810375428170981,140
udm,ga,0.11827397559201024,484
vep,zh,0.11841909748440176,390
ga,sah,0.11855763733480976,729
ga,cv,0.11863351710106067,311
et,mdf,0.11888692277668587,310
ga,ja,0.1189453148825794,821
fi,mdf,0.11956436223757434,326
ku,ce,0.11956713631064002,530
vep,sah,0.11961289729708446,377
udm,ce,0.11986524547529982,398
cy,cv,0.12007829203669071,313
ku,ja,0.12022395947234527,622
mrj,ta,0.1203468872038849,390
mdf,av,0.12035569476704358,184
ta,ce,0.12040407782884548,536
kn,lez,0.12057805417012656,449
mhr,ja,0.12109836483040648,143
sv,ab,0.12112158435000969,143
udm,ps,0.12131711704918559,423
fi,ab,0.1214615549376623,154
