,l1,l2,rho
0,bg,br,0.08945496467467251
1,bg,ca,0.21903456257862933
2,bg,cs,0.33687206127924046
3,bg,da,0.24497518820476566
4,bg,de,0.28027830701609324
5,bg,el,0.34114405305716444
6,bg,en,0.31057148777573473
7,bg,es,0.30540239176499945
8,bg,eu,0.21641261940235781
9,bg,fi,0.282228087376518
10,bg,fr,0.2668333215721013
11,bg,he,0.28511852174835967
12,bg,hr,0.32535357249693947
13,bg,hu,0.2900459586676417
14,bg,hy,0.09049098708628445
15,bg,is,0.20268046096673772
16,bg,it,0.2686406951005901
17,bg,ja,0.12173667335442424
18,bg,ka,0.042540009951497156
19,bg,ko,0.17810410441423827
20,bg,lt,0.2424507918014788
21,bg,lv,0.24112289323474592
22,bg,nl,0.2708339067186347
23,bg,no,0.24771587506285483
24,bg,pl,0.31777781985323694
25,bg,pt,0.2798297925123921
26,bg,ro,0.2667853465388421
27,bg,ru,0.332569599277187
28,bg,sk,0.316951983463497
29,bg,sq,0.2278388054139618
30,bg,sv,0.2681819830769247
31,bg,tr,0.2821061985246872
32,bg,uk,0.2201339531839319
33,br,ca,0.05644485279341401
34,br,cs,0.07919782075545483
35,br,da,0.02905428417488089
36,br,de,0.040073652771937286
37,br,el,0.0898223267579223
38,br,en,0.06269511486403034
39,br,es,0.07966096677880877
40,br,eu,0.05724763159900524
41,br,fi,0.055701018816262424
42,br,fr,0.06376986663148503
43,br,he,0.06568989394464549
44,br,hr,0.0920745679930412
45,br,hu,0.07113584328345395
46,br,hy,0.15412238881033277
47,br,is,0.058281657735600186
48,br,it,0.065190803326755
49,br,ja,0.03023003140145929
50,br,ka,0.01168754029278449
51,br,ko,0.021686457110915384
52,br,lt,0.0815271470409826
53,br,lv,0.08609549428497633
54,br,nl,0.051850236121658365
55,br,no,0.03848096325253249
56,br,pl,0.08506921183679643
57,br,pt,0.06117745051490455
58,br,ro,0.053521011541572634
59,br,ru,0.0820875031243163
60,br,sk,0.08267747794741265
61,br,sq,0.042198110756435536
62,br,sv,0.052149508302396626
63,br,tr,0.09815101449147683
64,br,uk,0.06609357605153973
65,ca,cs,0.2255429747320032
66,ca,da,0.17380140232264057
67,ca,de,0.18639570133550196
68,ca,el,0.21669275762404427
69,ca,en,0.19084201671805673
70,ca,es,0.24337383984086203
71,ca,eu,0.1523346094843385
72,ca,fi,0.19504479285841103
73,ca,fr,0.20725834121427428
74,ca,he,0.17484963087866554
75,ca,hr,0.21471654859599085
76,ca,hu,0.21222385204546204
77,ca,hy,0.08338050938703588
78,ca,is,0.1418711066252617
79,ca,it,0.20583037972376056
80,ca,ja,0.08090230440129668
81,ca,ka,-0.049477251814868464
82,ca,ko,0.10534962768102925
83,ca,lt,0.15997944943269013
84,ca,lv,0.16951194005412903
85,ca,nl,0.19455248799888133
86,ca,no,0.16709996969826407
87,ca,pl,0.208467435323413
88,ca,pt,0.21005437423677667
89,ca,ro,0.18617584619701064
90,ca,ru,0.2059858756498478
91,ca,sk,0.20748278951808474
92,ca,sq,0.1582940262513674
93,ca,sv,0.192738269207523
94,ca,tr,0.19283192210210653
95,ca,uk,0.13118087247193488
96,cs,da,0.27649766955761934
97,cs,de,0.3079412805613207
98,cs,el,0.3656557825636817
99,cs,en,0.3267159116692184
100,cs,es,0.333788030420528
101,cs,eu,0.2359406419253484
102,cs,fi,0.31694897542545175
103,cs,fr,0.2811883087300955
104,cs,he,0.30668526201392377
105,cs,hr,0.35115565448363434
106,cs,hu,0.31461448827370203
107,cs,hy,0.13268316137814734
108,cs,is,0.22011698640014704
109,cs,it,0.29211776409690704
110,cs,ja,0.1527170925918927
111,cs,ka,0.030782508843692914
112,cs,ko,0.1935932468510909
113,cs,lt,0.24746300176105931
114,cs,lv,0.2489626506517534
115,cs,nl,0.28673386639887893
116,cs,no,0.2659740920822121
117,cs,pl,0.365113552546106
118,cs,pt,0.30352459585396413
119,cs,ro,0.27646660039935794
120,cs,ru,0.37906171103219627
121,cs,sk,0.389830760179971
122,cs,sq,0.24070898051065687
123,cs,sv,0.2938070851691672
124,cs,tr,0.30549915537104455
125,cs,uk,0.24632681894104533
126,da,de,0.23381966708616614
127,da,el,0.28010288327060573
128,da,en,0.2795902936531726
129,da,es,0.2542198222920604
130,da,eu,0.18109287003399627
131,da,fi,0.24484053453901153
132,da,fr,0.2136158021516509
133,da,he,0.23659439911402047
134,da,hr,0.2630956830845767
135,da,hu,0.24030474809472818
136,da,hy,0.09285669819377058
137,da,is,0.1797632032601645
138,da,it,0.22329786470069524
139,da,ja,0.10273175687378236
140,da,ka,0.006415760345720512
141,da,ko,0.12321326461627305
142,da,lt,0.19078976449980056
143,da,lv,0.19174407667560134
144,da,nl,0.23265822823497345
145,da,no,0.25745472093090627
146,da,pl,0.2516446303301424
147,da,pt,0.2384429934760389
148,da,ro,0.21942228129739752
149,da,ru,0.24227833087159714
150,da,sk,0.2504808927300916
151,da,sq,0.17774092990251403
152,da,sv,0.2617067932755394
153,da,tr,0.23418925330636423
154,da,uk,0.15383717759749047
155,de,el,0.31016305084947005
156,de,en,0.29862644697190316
157,de,es,0.2823945864577257
158,de,eu,0.19247532248364077
159,de,fi,0.27428766813750327
160,de,fr,0.25831388177151404
161,de,he,0.2691673414359922
162,de,hr,0.27094597292899136
163,de,hu,0.28020516808390455
164,de,hy,0.08143073450192105
165,de,is,0.17930568981219294
166,de,it,0.2506082882943348
167,de,ja,0.09549470783072012
168,de,ka,-0.00831761531874577
169,de,ko,0.11645683475560474
170,de,lt,0.21571547643075198
171,de,lv,0.20474686975882428
172,de,nl,0.27587572831506063
173,de,no,0.24432032039277918
174,de,pl,0.28425637873499254
175,de,pt,0.25464624660654034
176,de,ro,0.23139945673288806
177,de,ru,0.2782692320558405
178,de,sk,0.27678867975314597
179,de,sq,0.20176443856796814
180,de,sv,0.26698999784362426
181,de,tr,0.24972902456065899
182,de,uk,0.16261227128385203
183,el,en,0.32637001226609763
184,el,es,0.31876317119074316
185,el,eu,0.22468571746053956
186,el,fi,0.3131600141493786
187,el,fr,0.29068005703489286
188,el,he,0.29987293627925354
189,el,hr,0.3097776710448351
190,el,hu,0.3139034312409854
191,el,hy,0.10764962114895041
192,el,is,0.2096338564092082
193,el,it,0.2892196384521671
194,el,ja,0.1697036287061452
195,el,ka,0.033091374663120676
196,el,ko,0.20001690022735086
197,el,lt,0.23056915294057748
198,el,lv,0.233667331912854
199,el,nl,0.2999788480825078
200,el,no,0.27325600717823756
201,el,pl,0.33751120739549506
202,el,pt,0.30507305775471133
203,el,ro,0.280427912658579
204,el,ru,0.347362161500505
205,el,sk,0.32512822378855016
206,el,sq,0.2444750793479586
207,el,sv,0.30007865278297086
208,el,tr,0.31356629444188816
209,el,uk,0.2015544126060771
210,en,es,0.3053247403219218
211,en,eu,0.21113860509182672
212,en,fi,0.2968626604258012
213,en,fr,0.28121932702127894
214,en,he,0.28140800777328295
215,en,hr,0.291968950830343
216,en,hu,0.3005777635031523
217,en,hy,0.06647702719882431
218,en,is,0.1918896783456627
219,en,it,0.28558548490289876
220,en,ja,0.11279788681459381
221,en,ka,-0.016952732444401902
222,en,ko,0.15795070045738663
223,en,lt,0.20718315316550626
224,en,lv,0.20607236802462361
225,en,nl,0.29802233734285843
226,en,no,0.26893986671937026
227,en,pl,0.30201181230813473
228,en,pt,0.28574967076303903
229,en,ro,0.2687657733991521
230,en,ru,0.3081098969227065
231,en,sk,0.28959803468313816
232,en,sq,0.2232629472140001
233,en,sv,0.29601996132495767
234,en,tr,0.2867542743074791
235,en,uk,0.16384733302340856
236,es,eu,0.2239830255121984
237,es,fi,0.28740957753061436
238,es,fr,0.2844457119583143
239,es,he,0.27815704028437593
240,es,hr,0.28098125048487077
241,es,hu,0.3010460802893468
242,es,hy,0.11740770975103561
243,es,is,0.19865743593392143
244,es,it,0.2893536610026595
245,es,ja,0.1483921692655914
246,es,ka,0.030751385202617238
247,es,ko,0.1868412088440401
248,es,lt,0.22141936963810463
249,es,lv,0.22791042542788606
250,es,nl,0.27450074428281146
251,es,no,0.24832872836013542
252,es,pl,0.3021953971877376
253,es,pt,0.30178417177375216
254,es,ro,0.25793675675099587
255,es,ru,0.3200972446660532
256,es,sk,0.299906026459259
257,es,sq,0.2309508401612367
258,es,sv,0.28690062280768663
259,es,tr,0.2758953957593046
260,es,uk,0.18084387144013822
261,eu,fi,0.21673769756283687
262,eu,fr,0.19438251806723228
263,eu,he,0.19541487809500027
264,eu,hr,0.22675795121611572
265,eu,hu,0.22506478214650658
266,eu,hy,0.01224141765586853
267,eu,is,0.14253930312147356
268,eu,it,0.198406274682129
269,eu,ja,0.10872875379942942
270,eu,ka,-0.003040321797199043
271,eu,ko,0.13767762065420294
272,eu,lt,0.1802147831007758
273,eu,lv,0.1841925114491413
274,eu,nl,0.20571240158814796
275,eu,no,0.17515872662059953
276,eu,pl,0.21478025754692553
277,eu,pt,0.201666628246306
278,eu,ro,0.1923292187914584
279,eu,ru,0.21732014209976844
280,eu,sk,0.21873410379591873
