l1,l2,local_alignment,comparison_count
no,eu,0.17351278119482022,946
is,he,0.17437873873253193,920
uk,nl,0.17473382968664627,995
tr,ko,0.17521576525278978,644
lv,sv,0.17577818879862772,690
lt,is,0.17579664503818415,1002
uk,sv,0.17591497187357874,942
et,uk,0.17600307983865257,944
sq,da,0.17640617303719555,1022
is,ro,0.1764200125744294,1083
uk,de,0.17726662232639534,426
is,fr,0.17749736710811875,1032
et,ca,0.17764836334113748,938
bg,ko,0.17816804862324095,616
lv,uk,0.17846524084569151,638
da,eu,0.17850130183515867,918
lt,eu,0.17872351533862252,1008
is,da,0.1796101335938268,941
uk,es,0.18014325481417345,979
lv,pt,0.18115600948283245,690
is,en,0.1814940174589804,882
en,ca,0.18219251664415564,838
is,pt,0.18236987457440867,1063
et,is,0.18251041944864071,986
sk,ko,0.18256858783210925,607
lv,it,0.18277995381865264,659
uk,tr,0.18365477819680737,993
is,it,0.18390141008900482,985
hr,ko,0.1858258673650104,635
is,no,0.18593091034596387,970
ca,ro,0.18637385581169436,1065
es,ko,0.1872346955504244,588
sq,lt,0.18765977649612123,1113
lv,fa,0.18767723082706667,710
fi,uk,0.18784073795599573,1002
eu,he,0.18790114693690013,913
lv,nl,0.18853320201553916,717
lv,fr,0.1889546004149615,701
ru,is,0.18905016720988765,931
fi,is,0.18916689795622332,1066
ro,eu,0.18941312633763316,1069
lt,no,0.18968423660271896,1101
lt,da,0.19019847023738343,1075
ca,tr,0.1908803503667945,1005
sv,ca,0.19089192083828677,959
lv,tr,0.1910230046212699,718
hu,uk,0.19155545409270616,1053
sv,eu,0.192023420537264,987
uk,ar,0.19279433298408188,932
cs,ko,0.19308019793361475,584
is,nl,0.1930993908546249,1044
lv,en,0.19331033091612068,673
fr,eu,0.19351033839647802,1027
lv,he,0.19353384074687285,686
fi,ca,0.19419043931479846,1007
nl,ca,0.1947522554544855,997
is,tr,0.19507556373229773,1045
sq,sv,0.1952594515184635,1102
ko,ar,0.19556275249283095,564
it,eu,0.19634971822051117,987
el,ko,0.1968218316682939,596
fa,uk,0.19705397900863816,827
is,sv,0.19709025619141926,1022
