l1,l2,local_alignment,comparison_count
sl,cv,0.03553158215248794,274
mrj,cv,0.05047905050653497,605
myv,cv,0.05112061269536693,654
br,cv,0.059740879818766135,668
la,cv,0.0664659803757593,789
cv,sah,0.06823759592479217,712
ku,cv,0.06859323515788816,640
mrj,sl,0.07112154899516296,294
uz,cv,0.074550101430465,497
cv,kn,0.07612580678805611,687
cv,ce,0.07773632862590006,536
sl,te,0.0787070314857226,291
ga,cv,0.07949409480033169,816
mrj,myv,0.08245699079119863,653
sl,ce,0.0825509895047742,231
ku,sl,0.08392144958423667,287
cy,cv,0.08411967607571239,795
sl,ga,0.08542170564111048,351
cv,he,0.08650789429033177,785
cv,te,0.08761479870250648,642
sl,sah,0.08906801343708819,314
ps,cv,0.09266214949624588,764
sl,br,0.09278097551364142,286
bn,cv,0.09285184183696743,636
myv,sah,0.0929590199480079,744
mrj,kn,0.09396373989679171,669
mrj,sah,0.09472597083200678,693
myv,br,0.09518005138545825,684
ba,cv,0.09632229375963942,756
en,cv,0.09698429466280965,730
ps,sl,0.09707381456635338,350
os,cv,0.09858122289559966,539
sl,cy,0.09950397272084541,321
mrj,la,0.0999338626472375,762
mrj,ce,0.10116564418773809,509
mrj,ga,0.10145986440179106,762
myv,ga,0.10152540988904808,840
myv,uz,0.10254736096528319,530
myv,ps,0.10259882034325372,813
br,sah,0.10294958106339337,754
mrj,uz,0.10330262740616546,482
mrj,br,0.10356281041169539,632
mrj,he,0.10485780130832584,747
az,cv,0.10623669399886825,782
mrj,ps,0.10632323630856257,747
mrj,ku,0.10640231862850323,619
da,cv,0.10736378468596133,766
mhr,cv,0.10765732074264582,154
sl,ml,0.10813721701210348,312
mrj,te,0.10877605440042984,618
cv,mn,0.10897189410840312,901
myv,he,0.10906986344435517,810
myv,te,0.10921305703582175,689
myv,la,0.109492013171356,826
is,cv,0.10951667522287166,822
hy,cv,0.10987029771616948,802
mrj,cy,0.11045751558985953,729
myv,ce,0.11047790356809496,560
myv,cy,0.1109907048999463,811
sl,ta,0.11383533160195797,289
bn,sl,0.11407117149161593,297
tt,cv,0.11416475863006774,827
lv,cv,0.11469296933347826,690
sl,mn,0.11490622883930687,392
myv,kn,0.11501541441549365,719
kk,cv,0.1152218263023184,909
ku,sah,0.11578927349365402,730
myv,ba,0.1166892361348405,796
ca,cv,0.1169343343227494,769
myv,ku,0.11796970928269651,660
cv,ja,0.11817211660102399,678
sq,cv,0.11828663680671912,851
ga,sah,0.11873192477488068,935
no,cv,0.11902744582392982,787
be,cv,0.11969097763497599,807
mrj,ta,0.12002303811816174,600
ga,ce,0.12070651057584199,707
myv,os,0.1209881491267453,571
et,cv,0.12136641683601386,825
sl,en,0.12294634880744719,309
cv,eu,0.12320571539601859,871
mrj,os,0.12323767713503124,550
ku,ga,0.12334201605338611,862
cv,ka,0.12366326131337337,850
myv,tt,0.12397488516741022,848
la,sah,0.12463711871522357,913
mrj,bn,0.12470835309659863,602
ga,la,0.12536678838512344,1088
lv,sl,0.12565871985985963,386
mrj,ba,0.1256618348084723,726
myv,bn,0.12592475585577367,656
mhr,myv,0.12626567642129558,152
myv,ta,0.1263511240342488,653
sah,ce,0.12696324662661984,606
ku,br,0.12701832621716969,682
sah,te,0.1278227000553187,744
mrj,en,0.12785422691561976,696
sv,cv,0.128230545043808,827
sl,no,0.12870464797693276,350
ga,br,0.1295940826895398,900
sl,ja,0.12971459893037052,302
ru,cv,0.12999628975507055,779
os,sah,0.13021521484647863,628
ps,sah,0.13045085157493153,879
mrj,az,0.1305067531328011,749
os,ga,0.1309835097231677,727
ga,he,0.13112076964987499,1063
mhr,cy,0.13152835719073244,155
la,ce,0.13170949269282545,704
mrj,da,0.1325436929549692,739
uk,cv,0.1328589400372309,788
mrj,lv,0.13293153469367128,724
mrj,no,0.13299909008381672,760
ku,he,0.13305530306215113,803
mrj,tt,0.133091892919313,773
fa,cv,0.13324652690637387,765
mhr,br,0.13325758745856506,134
sl,tt,0.13356485963862003,342
it,cv,0.13369191041261932,828
mhr,sah,0.13494845234187522,155
myv,az,0.13531525567861202,815
os,la,0.13564993617867835,718
sl,az,0.13603870934647733,349
os,he,0.13637727342553393,726
pt,cv,0.1364547958607524,885
br,he,0.13652176326785145,854
br,ce,0.13652585752022717,567
mrj,zh,0.13670908459601958,715
myv,mn,0.13672123291382363,954
la,ba,0.13674442950421783,1005
myv,zh,0.13679911701653646,776
ku,te,0.13724366774535973,672
bg,cv,0.13724455751732084,866
myv,hy,0.1372636344468724,831
cy,sah,0.13761917312089347,904
mhr,kn,0.13763024411358163,138
la,he,0.13774825071640578,1061
myv,is,0.13776109977824097,848
mrj,mn,0.13804506294340085,864
ku,la,0.13828511506045202,819
ga,te,0.13847705979405622,876
pl,cv,0.13864901652357803,820
sah,kn,0.13871180470575345,805
os,ce,0.13890855147944392,496
ku,cy,0.13899520943744859,821
ro,cv,0.13909389293337776,901
mrj,ca,0.13932617775703854,712
ps,ga,0.1394024660971648,1050
mrj,ml,0.1396566221542619,679
os,br,0.13967655640664736,566
os,kn,0.13969852014644094,633
mrj,be,0.13974649578284418,769
sl,ka,0.14012060752149896,357
mrj,is,0.14066431224510106,789
mhr,la,0.1407998329303518,157
la,te,0.1408641249173236,854
