,l1,l2,rho
0,ab,ba,0.07191186785335253
1,ab,be,0.10607846253320033
2,ab,bg,0.10662759178958212
3,ab,bn,0.030159384243246535
4,ab,br,0.07973588879686026
5,ab,ca,0.08220547601962659
6,ab,ce,0.06708182609990673
7,ab,cs,0.1252190322439183
8,ab,cy,0.10689719982974501
9,ab,da,0.0874314295731155
10,ab,de,0.10552322693409683
11,ab,el,0.14504456179850037
12,ab,en,0.07460978310112125
13,ab,es,0.09561897885855986
14,ab,eu,0.10398532621946761
15,ab,fi,0.11867241443116384
16,ab,fr,0.13256618059778735
17,ab,ga,0.07639424273669039
18,ab,he,0.07552503486234804
19,ab,hi,0.1332347056742976
20,ab,hr,0.14195094709844844
21,ab,hu,0.10618822205226858
22,ab,hy,0.12719718921776077
23,ab,is,0.10233209010100446
24,ab,it,0.10144972328857671
25,ab,ja,0.01876667768315908
26,ab,ka,0.09210417693179597
27,ab,kk,0.10323119352893811
28,ab,kn,-0.009211256255623215
29,ab,ko,0.044984823934601494
30,ab,la,0.14748503618878803
31,ab,lt,0.1369292370870485
32,ab,lv,0.1458139829880037
33,ab,ml,0.10406220527973405
34,ab,nl,0.10760720718024498
35,ab,no,0.0883305545928669
36,ab,pl,0.14020120179734352
37,ab,pt,0.10531965041146103
38,ab,ro,0.11052652739080504
39,ab,ru,0.13593832399199945
40,ab,sk,0.13962711111622236
41,ab,sq,0.11099513127044343
42,ab,sv,0.12254110692906656
43,ab,ta,0.03616891182286416
44,ab,te,0.04262859606902816
45,ab,tr,0.15802466894701628
46,ab,tt,0.06822793756823672
47,ab,uk,0.13268815092755895
48,av,ba,0.1520463084377858
49,av,be,0.19293646388376304
50,av,bg,0.17755525151079457
51,av,bn,0.12436215651766623
52,av,br,0.1501243799214241
53,av,ca,0.18281858623019143
54,av,ce,0.12412978244288618
55,av,cs,0.2016109325520973
56,av,cv,0.0968695296374401
57,av,cy,0.15058909056470415
58,av,da,0.16844071183682024
59,av,de,0.16996981997474253
60,av,el,0.206359593882424
61,av,en,0.178172358224093
62,av,es,0.20004537917941184
63,av,eu,0.16697771133973455
64,av,fi,0.19010229204151904
65,av,fr,0.18708881470383137
66,av,ga,0.11388934359932872
67,av,he,0.14363828602591738
68,av,hi,0.21034830876628832
69,av,hr,0.20384409986111449
70,av,hu,0.1789338965570936
