,l1,l2,local_alignment,comparison_count
166,mdf,ps,0.09300985433748614,258
167,myv,os,0.09306324622039955,257
168,myv,ta,0.09345375802256556,377
169,mdf,ko,0.09348759383895783,234
170,da,lbe,0.09387914677809914,149
171,myv,bn,0.0938887364997007,374
172,mdf,tt,0.09402457356616493,271
173,mdf,he,0.09410499763612881,264
174,udm,cv,0.09446905254513935,185
175,no,lbe,0.09461264672622773,156
176,vep,ce,0.09498268144509327,303
177,ps,lbe,0.09511861862577935,138
178,ka,ab,0.09539808146694544,128
179,it,xal,0.09559564088882787,301
180,sah,zh,0.09606942810069316,661
181,ga,ce,0.09648396762427891,662
182,be,lbe,0.09653386413967177,152
183,es,ab,0.09683813364514124,134
184,mrj,myv,0.09695449089446406,335
185,mrj,mdf,0.09713890855368218,221
186,udm,ja,0.09757081571527289,396
187,hy,lbe,0.09759059099821428,156
188,fr,xal,0.09771869141238264,308
189,nl,lbe,0.09791303597620767,173
190,mdf,is,0.0982929065229493,277
191,ja,lez,0.09832289321104289,440
192,mdf,te,0.09847037888152109,214
193,mdf,sq,0.09850627852977617,289
194,cv,ja,0.0987351720151823,263
195,mdf,mn,0.09880868041393324,313
196,ml,ab,0.09925163138049269,113
197,ba,lbe,0.09980903121155162,156
198,lv,ab,0.0999908002786427,114
199,ja,av,0.10023591704471611,355
200,mrj,udm,0.10025805023115046,350
201,myv,ga,0.10097654485476319,466
202,mhr,zh,0.10103184506875448,133
203,mdf,ku,0.10115687450816334,231
204,ca,lbe,0.10123595823829065,138
205,kn,av,0.10131207193236495,321
206,kv,ga,0.10143422353202505,346
207,kv,ta,0.10185462136931926,261
208,ka,lbe,0.10196555390498294,172
209,kk,lbe,0.10217106137020494,168
210,pt,lbe,0.10219296846788174,164
211,mrj,cv,0.10224481593869116,181
212,mdf,da,0.10229055124880923,274
213,myv,he,0.1023760747085626,463
214,udm,sah,0.1026409564320634,418
215,hi,xal,0.10265901653405363,383
216,eu,lbe,0.1026869096193698,171
217,mdf,no,0.10316018755852008,275
218,kv,ce,0.10317739278364883,279
219,ro,lbe,0.10347398468704785,170
220,cs,lbe,0.10357824656534742,156
221,pl,lbe,0.10387047780817328,158
222,myv,av,0.1039639184462865,255
223,mrj,lez,0.10401976365950621,355
224,mdf,ba,0.10402450902604089,260
225,kv,bn,0.10419148307159717,270
226,mdf,el,0.10421361183093257,281
227,myv,cy,0.10431246093551161,454
228,kv,ps,0.10446475332388706,294
229,hu,xal,0.10459442028832737,328
230,ta,av,0.10513741083057129,309
231,mdf,udm,0.10523591420384952,219
232,cv,ko,0.10547436730097175,243
233,mdf,ml,0.10550869037319814,244
234,ru,lbe,0.1055498582179136,153
235,it,ab,0.10576418313604868,141
236,ku,sah,0.10588604319442901,544
237,es,lbe,0.10603902868025145,164
238,kv,kn,0.10610409680261396,289
239,eu,ab,0.10665475782031299,145
240,myv,ku,0.10674568962293392,379
241,it,lbe,0.10683455792060152,168
242,ps,zh,0.1069912751788221,662
243,kk,ab,0.10714026300788052,146
244,udm,cy,0.10734777774777894,434
245,kn,ce,0.10735382937738505,543
246,is,ab,0.10755719448516268,140
247,udm,kn,0.10763846558508966,387
248,bg,ab,0.10768099239292794,143
249,os,ce,0.10772094180586878,311
250,mdf,bg,0.10785288584704436,307
251,mdf,nl,0.10803656378145214,312
252,ga,cv,0.10831781813535904,289
253,mrj,ja,0.10835827741075264,447
254,vep,cv,0.10859492295586841,146
255,lbe,ar,0.10870421934551691,166
256,mrj,bn,0.10871934662332032,379
257,mrj,kv,0.1087609218138771,244
258,myv,br,0.1088463268488031,383
259,uk,lbe,0.10895573655183219,152
260,vep,myv,0.1090830265200668,287
261,mrj,ce,0.10919302120146436,387
262,mdf,myv,0.10955628929556534,238
263,uz,ce,0.10971221642749733,367
264,nl,ab,0.10998472477861579,152
265,ku,zh,0.11003227892503523,632
266,hu,lbe,0.1101851709403616,169
267,cv,kn,0.11035441891678784,238
268,be,ab,0.11054626923416606,128
269,ro,ab,0.11056104939768203,156
270,la,ce,0.11060116387888212,673
271,lt,lbe,0.11063328028113278,170
272,ga,sah,0.1106719721152309,699
273,pt,ab,0.11068839266332027,141
274,myv,tt,0.11104769631168815,482
275,cy,ab,0.11111909836844258,121
276,sah,ko,0.11123599169753547,586
277,ps,sah,0.1112779671880433,595
278,mdf,kk,0.1114502569716892,292
279,az,lbe,0.11181874770368865,152
280,myv,te,0.11196777954118496,359
281,hu,ab,0.11214255044663786,156
282,cv,lez,0.11218823963745284,198
283,la,cv,0.11228171862401061,285
284,sah,lez,0.11229920770983244,448
285,ga,ja,0.11232032462737916,782
286,fa,lbe,0.1123386698077076,168
287,os,zh,0.11271738044654499,384
288,sk,lbe,0.1128573826478688,161
289,ps,ja,0.11303861296943314,613
290,mdf,ka,0.11305288637104546,294
291,mdf,hy,0.11312272190389591,276
292,kv,te,0.11314299347535839,270
293,mdf,lv,0.11319971769589164,260
294,mrj,kn,0.11321509466388706,396
295,vep,zh,0.113420733757593,369
296,vep,sah,0.11344601950235404,356
297,mdf,pt,0.11387385123171687,295
298,cy,cv,0.11389782329711555,295
299,sq,ab,0.1145216140069964,134
300,is,sah,0.11473377542254908,691
301,ga,lez,0.11507644939652932,507
302,vep,mdf,0.11514415829201545,188
303,mdf,ro,0.11516698606095849,314
304,mdf,kv,0.11544040263812065,138
305,hi,lbe,0.11574843879668892,212
306,de,xal,0.11581437123757353,115
307,tr,lbe,0.11585990192719096,179
308,myv,is,0.11613273463616502,466
