l1,l2,local_alignment,comparison_count
uz,ja,0.15405798872027499,466
ta,zh,0.16030433063483587,697
he,zh,0.1655590978701318,959
ko,zh,0.16723081146244154,727
uz,zh,0.1700411822925397,481
ja,he,0.17296954309055326,899
ja,ta,0.18135994757419968,659
ko,ja,0.1832523283550533,706
ja,ar,0.18635267782941853,955
ko,he,0.18766118865582615,771
kk,ja,0.18798478146698133,951
ja,zh,0.18894495400197148,852
uz,ko,0.1900779837056877,449
kk,zh,0.1933559097422427,1022
ja,ka,0.19351981209698876,854
az,ja,0.1941081290349576,842
uz,he,0.19414847714096656,507
ar,zh,0.1963187493650633,1026
az,zh,0.19824674116674487,898
hy,ja,0.19995598417660732,876
ja,eu,0.20246560547630763,923
hy,zh,0.2034897154485103,946
ko,ta,0.20373314523404237,597
ka,zh,0.2067010576819569,907
ta,he,0.20911637909742503,736
sk,ja,0.2099072288498765,927
et,zh,0.2114093213569124,967
ro,ja,0.2122916390977126,1038
be,zh,0.21268145622024212,896
kk,he,0.21298689852887592,1088
be,ja,0.21315862206827102,831
et,ja,0.21487892550655302,893
sv,ja,0.21491083185896245,954
eu,zh,0.21545835972833333,982
hr,ja,0.21604849684790087,975
el,zh,0.21849037283091507,884
az,he,0.2186481664025087,956
kk,ko,0.21924158228751192,841
hy,he,0.22014902894603897,1000
ro,zh,0.22072218880451763,1113
el,ja,0.22093141472068417,825
uz,ta,0.22095979181766054,433
lt,zh,0.22160037048657022,1098
bg,ja,0.22220121695135833,894
tr,ja,0.22338567257937544,1000
hi,sl,0.22346774862074884,107
ko,ar,0.2236061548603982,817
sv,zh,0.22448249865024222,1034
eu,he,0.2251473947758925,1040
sk,zh,0.22539641922941075,1002
en,ja,0.22609754831489387,840
hr,zh,0.22632061068229545,1043
hi,ja,0.22673944839984342,1076
no,ja,0.22821682580721472,916
lt,ja,0.22867298212108716,1010
da,ja,0.2290206153382398,880
ro,he,0.2292012585161546,1178
et,ko,0.2292191852943985,805
et,he,0.22931093088675011,1022
sv,he,0.22936747086849382,1104
fi,ja,0.22950297632048747,1007
ka,he,0.2298250719318362,962
tr,zh,0.23028653609738028,1067
fi,zh,0.23105812342585413,1090
be,he,0.23118148913698355,949
hi,zh,0.23127716495107076,1110
en,zh,0.2314601911884392,907
uz,ar,0.23179005364117708,533
pl,ja,0.2326135963127081,917
az,ko,0.2337457771669218,757
kk,ta,0.23387931753485913,800
no,he,0.23568759658446936,1047
bg,zh,0.23585987555217,966
ko,ka,0.23600877385014404,782
de,zh,0.23698955584168924,472
no,zh,0.23705729593048153,985
nl,ja,0.23706312637422677,1006
da,zh,0.23723727400682626,948
hy,ko,0.2372843161632571,772
uk,zh,0.23731244033855312,972
hy,ta,0.23828485945076314,737
ro,ko,0.23850395451328602,910
hr,he,0.23886887904062112,1108
hu,ja,0.2390375536279821,1032
da,he,0.23932919246669965,1012
ar,he,0.23963458638991594,1094
de,ja,0.23988322755981786,373
hr,ko,0.23993932916888033,873
uk,ja,0.24052858701374405,899
ta,ar,0.24082458152721287,781
uz,eu,0.24103100519191725,578
pl,zh,0.2410760558108281,984
ru,zh,0.2411146420682571,972
fa,ja,0.241430239428358,837
hu,zh,0.2419981927485024,1133
el,he,0.24200558071963812,934
de,he,0.242689776002712,507
ru,ja,0.24433401083017228,904
sv,ko,0.2445384010067281,838
be,ko,0.2445875349862498,745
sv,uz,0.24480245986727897,562
az,ar,0.24502890811385977,1011
kk,ar,0.24509148724597743,1139
ca,zh,0.24639392397488544,948
en,ko,0.24667395461280775,738
de,ko,0.24670377615936423,327
no,ko,0.24674406399966503,798
en,he,0.24678337172707235,970
et,uz,0.24686699154786956,550
hi,he,0.24693246749345296,1170
cs,ja,0.24723990720990294,931
ca,ja,0.24726459888891644,897
pt,ja,0.24732250297854436,1008
ro,kk,0.24747214998776423,1265
hy,uz,0.24797426533178646,533
bg,he,0.24798335223592902,1031
kk,ka,0.24825678871260695,1047
ko,eu,0.24852817498615268,806
no,uz,0.2485850642895315,537
sk,he,0.24874558783212763,1060
uz,ka,0.24995150028799273,555
cs,zh,0.25000280483991594,996
no,kk,0.25026392026663763,1115
tr,he,0.250320972292872,1143
en,uz,0.25041217409969685,492
kk,eu,0.2504365907276731,1145
el,uz,0.2504427646960268,542
fr,ja,0.2511246786779809,998
nl,zh,0.25115032959999345,1079
sv,kk,0.2512262834126199,1162
fr,zh,0.25130057309205955,1071
ro,uz,0.2513661769976517,622
hy,kk,0.2516439001332668,1079
da,uz,0.25175725648974584,517
ro,ta,0.2519632239066893,865
el,kk,0.252418054937138,1016
fi,he,0.2526043018088434,1155
da,ko,0.2527155319112767,773
pt,zh,0.25308790992243896,1089
da,kk,0.25369092258549597,1085
ka,ar,0.25371476649890246,1020
pl,he,0.2538279011996123,1041
be,uz,0.2538909323141778,511
lt,he,0.2539448892545762,1184
el,ko,0.254099437281199,760
sv,az,0.25426275486481487,1027
az,ta,0.2544575715089404,724
et,kk,0.25484910460696175,1100
sk,ko,0.25488449757647835,833
nl,he,0.25523921406872563,1154
pt,he,0.25561081215494125,1158
uz,kk,0.25599635454563896,576
sk,kk,0.25608665675528064,1149
nl,ko,0.2562859275649804,866
hy,ar,0.25671717741931177,1058
