"l1","l2","local_alignment","comparison_count"
"ar","he",0.332037238946128,35
"ar","zh",0.334401212785734,31
"az","ar",0.408600760783914,33
"az","eu",0.428304122792272,33
"az","he",0.329603343635871,32
"az","ja",0.280160071122402,38
"az","ka",0.42017254147314,31
"az","kk",0.347151045024094,30
"az","ko",0.399010018094934,26
"az","ta",0.396538440615296,27
"az","uz",0.369597003483726,26
"az","zh",0.33574577399486,28
"be","ar",0.489151215759116,30
"be","az",0.458770536924136,27
"be","ca",0.591752449269827,27
"be","da",0.622906263917547,23
"be","de",0.203019051712404,6
"be","en",0.589907749832758,25
"be","es",0.59982120854877,27
"be","eu",0.535150054709947,29
"be","fr",0.554439282909206,29
"be","he",0.313555409349439,29
"be","it",0.586786127151663,26
"be","ja",0.313031360261418,35
"be","ka",0.516880112866137,28
"be","kk",0.36389862801626,27
"be","ko",0.449889714638907,23
"be","lt",0.570101592641857,29
"be","nl",0.583308905796259,30
"be","no",0.582026939121018,26
"be","pt",0.551825206389454,30
"be","ro",0.441969602432159,33
"be","ru",0.65699213887298,25
"be","sv",0.516267351768616,24
"be","ta",0.439352683858749,25
"be","tr",0.387670897818379,30
"be","uz",0.361682521052752,23
"be","zh",0.398647552965662,25
"bg","ar",0.46333895945035,33
"bg","az",0.435797131738903,31
"bg","be",0.56352492454191,26
"bg","ca",0.587864127221783,30
"bg","cs",0.628609929251992,32
"bg","da",0.632675912749657,26
"bg","de",0.201576613060286,6
"bg","en",0.624473692739967,28
"bg","es",0.61579319946771,30
"bg","eu",0.514651797057261,34
"bg","fr",0.58851035228926,32
"bg","he",0.338332599190884,32
"bg","hr",0.536025484636604,39
"bg","it",0.603813888838672,29
"bg","ja",0.348439951855714,38
"bg","ka",0.476772612830257,31
"bg","kk",0.364534754282776,30
"bg","ko",0.424184975706734,26
"bg","lt",0.559680476155056,32
"bg","nl",0.556541601768192,35
"bg","no",0.604528025332304,29
"bg","pl",0.617938896045089,31
"bg","pt",0.586465345654859,33
"bg","ro",0.463044441462225,36
"bg","ru",0.593963908735319,28
"bg","sk",0.458635710723264,35
"bg","sv",0.53406783672397,27
"bg","ta",0.477183962904966,27
"bg","tr",0.375514987131594,33
"bg","uk",0.510366108972419,29
"bg","uz",0.376448811305625,26
"bg","zh",0.446051644289853,28
"ca","ar",0.476952216738203,34
"ca","az",0.460259093334155,31
"ca","es",0.674186302384481,30
"ca","eu",0.535774573336602,33
"ca","he",0.335835572994409,32
"ca","it",0.635625639521833,29
"ca","ja",0.340376652866481,38
"ca","ka",0.499258793234753,31
"ca","kk",0.393912649442232,30
"ca","ko",0.434088570998423,26
"ca","pt",0.564139716838082,34
"ca","ro",0.458904139825879,38
"ca","ta",0.48884169172635,28
"ca","tr",0.413896500440518,33
"ca","uz",0.400973434178843,26
"ca","zh",0.430298492987059,28
"cs","ar",0.500837338694791,35
"cs","az",0.490750681739225,32
"cs","be",0.602154426119984,29
"cs","ca",0.625824091261776,32
"cs","da",0.675123893737006,28
"cs","de",0.248262459848501,6
"cs","en",0.675126910587473,30
"cs","es",0.662724090044029,33
"cs","eu",0.558388519350382,36
"cs","fr",0.636318452692982,35
"cs","he",0.365220862912943,35
"cs","it",0.646230358675152,31
"cs","ja",0.356456958780635,43
"cs","ka",0.537493859707737,34
"cs","kk",0.382628315269973,32
"cs","ko",0.50405882960735,27
"cs","lt",0.572488151942128,35
"cs","nl",0.617651248153659,36
"cs","no",0.658405243933281,31
"cs","pl",0.71254082897218,33
"cs","pt",0.623310477236393,36
"cs","ro",0.501089756775657,40
"cs","ru",0.666763085112336,30
"cs","sv",0.578775298044345,28
"cs","ta",0.525889801278151,30
"cs","tr",0.446049336987588,35
"cs","uk",0.547787952337438,32
"cs","uz",0.402571785750578,26
"cs","zh",0.475572177299234,30
"da","ar",0.484029679517081,28
"da","az",0.507413228743718,25
"da","ca",0.645593992994793,25
"da","de",0.43326048200968,5
"da","en",0.707945394883223,24
"da","es",0.67551148876096,26
"da","eu",0.567580766786639,29
"da","fr",0.638345452916107,28
"da","he",0.367657959034743,28
"da","it",0.663637668054675,25
"da","ja",0.366261961365199,35
"da","ka",0.520120187970126,27
"da","kk",0.396441209395314,26
"da","ko",0.474860698351422,22
"da","nl",0.645765962896099,30
"da","pt",0.660720793831667,27
"da","ro",0.517373264994636,31
"da","ta",0.519172857023502,24
"da","tr",0.4200920737831,29
"da","uz",0.422791496488118,22
"da","zh",0.45912505582566,24
"de","ar",0.297018899403155,8
"de","az",0.247619956576573,6
"de","ca",0.329357654199016,7
"de","en",0.318061781507641,6
"de","es",0.26752447478835,6
"de","eu",0.216795012782556,6
"de","fr",0.412414215793113,10
"de","he",0.24042727616933,7
"de","it",0.2653087066526,7
"de","ja",0.314245221337406,4
"de","ka",0.318878064090145,7
"de","kk",0.193729450254382,6
