"","Herero","Zulu","Tswana","Ndonga","Swati","Tsonga","Venda","Kongo","Kikuyu","Luganda","Kinyarwanda","Kirundi","Igbo","Bambara","Amharic","Kanuri","Wolof","Egyptian Arabic","Kabyle","Neapolitan","Spanish","English","French","Dutch","Icelandic","Irish","Serbian","Russian","Bashkir","Chuvash","Erzya","Estonian","Gagauz","Latvian","Vepsian","Czech","Bulgarian","Lithuanian","Kalmyk","Armenian","Kurdish (Sorani)","Abkhazian","Turkish","Hebrew","Eastern Punjabi","Kazakh","Sakha","Korean","Nuosu","Japanese","Tibetan","Bengali","Kashmiri","Telugu","Tamil","Malayalam","Burmese","Vietnamese","Khmer","Malay","Thai","Cebuano","Banyumasan","Minangkabau","Chamorro","Samoan","Tongan","Maori","Hawaiian","Inupiak","Cheyenne","Choctaw","Muscogee","Cherokee","Navajo","Haitian","Aymara","Guarani"
"Herero",0,0.590714285714286,0.732857142857143,0.602857142857143,0.595714285714286,0.702857142857143,0.564285714285715,0.572142857142858,0.652857142857143,0.591428571428572,0.560714285714286,0.582142857142858,0.627142857142857,0.557857142857143,0.808571428571428,0.654285714285714,0.484285714285714,0.653571428571428,0.661428571428571,0.846428571428571,0.803571428571428,0.84,0.842857142857143,0.775,0.686428571428571,0.731428571428572,0.727142857142857,0.836428571428571,0.766428571428571,0.732857142857143,0.738571428571429,0.800714285714286,0.815,0.693571428571429,0.738571428571429,0.733571428571429,0.692142857142857,0.698571428571429,0.732857142857143,0.840714285714286,0.731428571428572,0.700714285714286,0.695714285714286,0.653571428571428,0.766428571428571,0.621428571428572,0.732142857142857,0.695714285714286,0.656428571428571,0.7,0.725,0.804285714285714,0.615714285714286,0.546428571428571,0.583571428571429,0.592142857142858,0.872142857142857,0.665714285714285,0.804285714285714,0.729285714285714,0.84,0.764285714285714,0.867857142857142,0.658571428571428,0.807142857142857,0.81,0.650714285714285,0.707857142857143,0.842857142857143,0.844285714285714,0.810714285714285,0.796428571428571,0.722857142857143,0.662142857142857,0.686428571428571,0.809285714285714,0.736428571428572,0.767142857142857
"Zulu",0.590714285714286,0,0.557857142857143,0.676428571428571,0.337142857142857,0.325,0.49,0.526428571428571,0.16,0.477142857142857,0.309285714285714,0.453571428571428,0.41,0.449285714285714,0.656428571428571,0.636428571428571,0.512857142857143,0.560714285714286,0.378571428571429,0.742857142857143,0.666428571428571,0.736428571428572,0.666428571428571,0.675714285714285,0.640714285714286,0.63,0.517857142857143,0.722857142857143,0.628571428571429,0.696428571428572,0.558571428571429,0.712857142857143,0.600714285714286,0.613571428571429,0.593571428571429,0.697857142857143,0.650714285714285,0.669285714285714,0.339285714285714,0.653571428571428,0.525,0.331428571428572,0.450714285714286,0.525,0.560714285714286,0.249285714285714,0.442857142857143,0.487857142857143,0.476428571428572,0.701428571428572,0.453571428571429,0.495714285714286,0.409285714285714,0.405,0.480714285714286,0.742142857142857,0.772857142857142,0.370714285714286,0.7,0.648571428571428,0.700714285714286,0.634285714285714,0.739285714285714,0.839285714285714,0.594285714285715,0.539285714285714,0.631428571428571,0.662142857142857,0.647142857142857,0.62,0.666428571428571,0.692142857142857,0.634285714285714,0.649285714285714,0.631428571428571,0.667857142857142,0.48,0.659285714285714
"Tswana",0.732857142857143,0.557857142857143,0,0.707142857142857,0.633571428571428,0.642857142857143,0.535714285714285,0.690714285714286,0.637142857142857,0.714285714285715,0.535714285714285,0.607142857142857,0.566428571428572,0.602142857142857,0.75,0.642142857142857,0.714285714285715,0.464285714285714,0.485,0.714285714285715,0.597857142857143,0.607142857142857,0.732857142857143,0.633571428571428,0.652142857142857,0.693571428571428,0.677142857142857,0.597857142857143,0.695,0.697142857142857,0.730714285714286,0.721428571428571,0.678571428571428,0.598571428571429,0.644285714285714,0.689285714285714,0.641428571428571,0.692142857142857,0.728571428571429,0.741428571428572,0.493571428571429,0.672142857142857,0.560714285714286,0.571428571428572,0.489285714285714,0.646428571428571,0.67,0.696428571428571,0.6,0.678571428571428,0.691428571428571,0.632142857142857,0.522142857142857,0.583571428571429,0.585,0.695,0.554285714285714,0.642857142857143,0.523571428571429,0.507142857142857,0.5,0.631428571428571,0.642857142857143,0.742857142857143,0.642857142857143,0.607142857142857,0.571428571428572,0.607142857142857,0.623571428571429,0.571428571428572,0.75,0.802142857142857,0.711428571428572,0.699285714285714,0.714285714285715,0.639285714285714,0.633571428571428,0.522857142857143
"Ndonga",0.602857142857143,0.676428571428571,0.707142857142857,0,0.612857142857143,0.640714285714286,0.778571428571428,0.525,0.645,0.61,0.637857142857143,0.673571428571428,0.664285714285714,0.773571428571429,0.719285714285715,0.450714285714286,0.724285714285714,0.685714285714285,0.627142857142857,0.647857142857142,0.708571428571429,0.708571428571429,0.707142857142857,0.641428571428571,0.574285714285714,0.570714285714286,0.602142857142857,0.707857142857143,0.68,0.668571428571429,0.737142857142857,0.672142857142857,0.748571428571429,0.639285714285714,0.675714285714285,0.496428571428571,0.58,0.564285714285714,0.684285714285714,0.695714285714286,0.792142857142857,0.722857142857143,0.672142857142857,0.746428571428572,0.779285714285714,0.712857142857143,0.672857142857143,0.644285714285714,0.745,0.576428571428572,0.738571428571429,0.779285714285714,0.662142857142857,0.801428571428571,0.795714285714286,0.67,0.644285714285714,0.673571428571428,0.636428571428571,0.48,0.601428571428572,0.673571428571429,0.710714285714286,0.625,0.710714285714286,0.659285714285714,0.635714285714285,0.659285714285714,0.617857142857143,0.660714285714286,0.719285714285715,0.575,0.635714285714285,0.511428571428571,0.601428571428572,0.720714285714286,0.706428571428572,0.527857142857143
"Swati",0.595714285714286,0.337142857142857,0.633571428571428,0.612857142857143,0,0.365,0.415714285714286,0.558571428571429,0.415,0.480714285714286,0.340714285714286,0.345,0.485714285714286,0.445,0.691428571428571,0.599285714285715,0.587857142857143,0.666428571428571,0.481428571428571,0.744285714285714,0.737857142857143,0.740714285714286,0.737142857142857,0.708571428571429,0.616428571428571,0.625714285714286,0.494285714285714,0.816428571428571,0.733571428571429,0.811428571428571,0.701428571428572,0.695,0.781428571428571,0.702857142857143,0.739285714285714,0.629285714285714,0.623571428571429,0.632142857142857,0.340714285714286,0.694285714285714,0.594285714285715,0.407857142857143,0.557857142857143,0.630714285714286,0.665,0.429285714285714,0.623571428571429,0.42,0.515,0.63,0.52,0.600714285714286,0.515,0.439285714285714,0.514285714285714,0.697857142857143,0.774285714285714,0.477142857142857,0.735714285714286,0.605,0.776428571428571,0.705714285714286,0.809285714285714,0.692142857142857,0.737142857142857,0.650714285714285,0.67,0.771428571428571,0.693571428571429,0.767857142857142,0.697857142857143,0.693571428571429,0.739285714285714,0.757857142857143,0.705714285714286,0.740714285714286,0.517142857142857,0.621428571428571
"Tsonga",0.702857142857143,0.325,0.642857142857143,0.640714285714286,0.365,0,0.464285714285714,0.482142857142857,0.305,0.571428571428572,0.392857142857143,0.607142857142857,0.307857142857143,0.416428571428571,0.678571428571428,0.678571428571428,0.5,0.607142857142857,0.421428571428571,0.678571428571428,0.674285714285714,0.75,0.744285714285714,0.711428571428572,0.697142857142857,0.710714285714286,0.541428571428571,0.749285714285714,0.675714285714285,0.781428571428571,0.601428571428572,0.742857142857143,0.714285714285715,0.644285714285714,0.675714285714285,0.637857142857143,0.715714285714286,0.710714285714286,0.415714285714285,0.673571428571428,0.570714285714286,0.358571428571429,0.497857142857143,0.571428571428572,0.641428571428571,0.385714285714286,0.497857142857143,0.531428571428571,0.497857142857143,0.714285714285715,0.496428571428571,0.530714285714285,0.460714285714286,0.525,0.522142857142857,0.707142857142857,0.785,0.428571428571428,0.711428571428572,0.707857142857143,0.714285714285715,0.641428571428571,0.75,0.8,0.678571428571428,0.571428571428572,0.678571428571428,0.642857142857143,0.563571428571429,0.678571428571428,0.714285714285715,0.753571428571429,0.675,0.608571428571429,0.75,0.677142857142857,0.425714285714285,0.720714285714286
"Venda",0.564285714285715,0.49,0.535714285714285,0.778571428571428,0.415714285714286,0.464285714285714,0,0.615714285714286,0.569285714285715,0.678571428571428,0.285714285714286,0.464285714285714,0.457857142857143,0.24,0.785714285714285,0.713571428571429,0.5,0.642857142857143,0.487857142857143,0.821428571428572,0.746428571428572,0.821428571428572,0.820714285714286,0.781428571428571,0.756428571428571,0.779285714285714,0.598571428571429,0.814285714285714,0.747857142857143,0.783571428571428,0.642142857142857,0.813571428571429,0.785714285714285,0.707142857142857,0.715714285714286,0.781428571428571,0.771428571428571,0.782142857142857,0.631428571428571,0.781428571428571,0.53,0.545,0.604285714285715,0.607142857142857,0.566428571428572,0.613571428571429,0.743571428571429,0.64,0.497142857142857,0.785714285714285,0.604285714285715,0.532857142857143,0.557857142857143,0.376428571428571,0.451428571428571,0.530714285714285,0.855714285714285,0.535714285714285,0.784285714285714,0.762142857142857,0.785714285714285,0.712857142857143,0.821428571428572,0.672857142857142,0.75,0.642857142857143,0.678571428571428,0.678571428571428,0.672857142857142,0.785714285714285,0.75,0.806428571428571,0.677857142857142,0.701428571428572,0.75,0.746428571428572,0.490714285714286,0.774285714285714
"Kongo",0.572142857142858,0.526428571428571,0.690714285714286,0.525,0.558571428571429,0.482142857142857,0.615714285714286,0,0.511428571428571,0.712142857142857,0.544285714285714,0.722142857142857,0.635714285714286,0.639285714285714,0.733571428571429,0.670714285714285,0.587142857142858,0.671428571428571,0.557142857142857,0.75,0.67,0.747857142857143,0.745,0.707142857142857,0.695714285714286,0.707857142857143,0.747857142857143,0.75,0.71,0.712142857142858,0.745,0.738571428571429,0.71,0.641428571428571,0.672857142857142,0.705714285714286,0.708571428571429,0.708571428571429,0.66,0.705714285714286,0.633571428571428,0.566428571428572,0.604285714285715,0.672142857142857,0.780714285714285,0.600714285714286,0.636428571428571,0.745714285714286,0.493571428571429,0.712142857142858,0.709285714285715,0.705714285714286,0.564285714285715,0.612857142857143,0.607857142857143,0.397142857142857,0.775,0.658571428571428,0.64,0.665714285714285,0.637142857142857,0.635,0.672142857142857,0.543571428571429,0.676428571428571,0.587142857142858,0.597142857142858,0.710714285714286,0.627142857142857,0.640714285714285,0.740714285714286,0.564285714285715,0.482857142857143,0.442857142857143,0.615,0.606428571428572,0.672857142857142,0.681428571428571
"Kikuyu",0.652857142857143,0.16,0.637142857142857,0.645,0.415,0.305,0.569285714285715,0.511428571428571,0,0.494285714285714,0.347857142857143,0.455,0.384285714285714,0.49,0.669285714285714,0.569285714285715,0.565714285714286,0.562142857142857,0.399285714285714,0.744285714285714,0.656428571428571,0.744285714285714,0.664285714285714,0.699285714285714,0.683571428571429,0.625714285714286,0.542142857142857,0.722142857142857,0.623571428571429,0.7,0.563571428571429,0.700714285714286,0.642857142857143,0.607857142857143,0.602142857142857,0.695714285714286,0.695,0.696428571428571,0.332857142857143,0.646428571428571,0.543571428571429,0.32,0.474285714285714,0.526428571428571,0.617142857142857,0.267142857142857,0.468571428571429,0.485,0.499285714285714,0.705,0.44,0.519285714285714,0.426428571428571,0.481428571428571,0.547857142857143,0.727142857142857,0.768571428571428,0.419285714285714,0.692142857142857,0.689285714285714,0.708571428571429,0.600714285714286,0.705,0.787857142857143,0.597857142857143,0.590714285714286,0.637142857142857,0.733571428571429,0.676428571428571,0.626428571428571,0.669285714285714,0.679285714285714,0.566428571428572,0.672857142857142,0.672857142857142,0.672142857142857,0.497857142857143,0.72
"Luganda",0.591428571428572,0.477142857142857,0.714285714285715,0.61,0.480714285714286,0.571428571428572,0.678571428571428,0.712142857142857,0.494285714285714,0,0.464285714285714,0.535714285714285,0.450714285714286,0.601428571428572,0.571428571428572,0.570714285714286,0.714285714285715,0.678571428571428,0.526428571428571,0.535714285714285,0.567142857142858,0.464285714285714,0.494285714285714,0.64,0.682857142857143,0.681428571428571,0.602142857142857,0.635714285714286,0.709285714285715,0.745714285714286,0.670714285714285,0.59,0.607142857142857,0.670714285714285,0.713571428571429,0.671428571428571,0.678571428571428,0.597857142857143,0.625,0.637857142857143,0.713571428571429,0.557857142857143,0.605,0.678571428571428,0.748571428571429,0.560714285714286,0.676428571428571,0.388571428571428,0.747857142857143,0.642857142857143,0.559285714285715,0.745,0.592857142857143,0.552142857142857,0.646428571428571,0.770714285714285,0.535,0.428571428571428,0.604285714285715,0.696428571428571,0.607142857142857,0.452857142857143,0.678571428571428,0.778571428571428,0.571428571428572,0.642857142857143,0.607142857142857,0.821428571428572,0.708571428571429,0.678571428571428,0.571428571428572,0.720714285714286,0.746428571428572,0.737857142857143,0.571428571428572,0.476428571428572,0.558571428571429,0.732857142857143
