"","Herero","Zulu","Tswana","Ndonga","Swati","Tsonga","Venda","Kongo","Kikuyu","Luganda","Kinyarwanda","Kirundi","Igbo","Bambara","Amharic","Kanuri","Wolof","Egyptian Arabic","Kabyle","Neapolitan","Spanish","English","French","Dutch","Icelandic","Irish","Serbian","Russian","Bashkir","Chuvash","Erzya","Estonian","Gagauz","Latvian","Vepsian","Czech","Bulgarian","Lithuanian","Kalmyk","Armenian","Kurdish (Sorani)","Abkhazian","Turkish","Hebrew","Eastern Punjabi","Kazakh","Sakha","Korean","Nuosu","Japanese","Tibetan","Bengali","Kashmiri","Telugu","Tamil","Malayalam","Burmese","Vietnamese","Khmer","Malay","Thai","Cebuano","Banyumasan","Minangkabau","Chamorro","Samoan","Tongan","Maori","Hawaiian","Inupiak","Cheyenne","Choctaw","Muscogee","Cherokee","Navajo","Haitian","Aymara","Guarani"
"Herero",0,0.627272727272727,0.8,0.627272727272727,0.618181818181818,0.454545454545454,0.532727272727273,0.529090909090909,0.454545454545454,0.545454545454546,0.629090909090909,0.625454545454546,0.374545454545454,0.414545454545454,0.636363636363637,0.721818181818181,0.521818181818182,0.818181818181818,0.661818181818182,0.725454545454545,0.738181818181818,0.727272727272727,0.725454545454545,0.727272727272727,0.68,0.712727272727272,0.727272727272727,0.723636363636363,0.801818181818182,0.690909090909091,0.7,0.812727272727273,0.505454545454545,0.721818181818181,0.525454545454546,0.72,0.707272727272727,0.818181818181818,0.549090909090909,0.623636363636364,0.627272727272728,0.543636363636364,0.816363636363636,0.636363636363637,0.703636363636363,0.472727272727273,0.545454545454546,0.636363636363637,0.365454545454545,0.818181818181818,0.763636363636363,0.727272727272727,0.723636363636363,0.76,0.767272727272727,0.818181818181818,0.636363636363637,0.636363636363637,0.727272727272727,0.578181818181818,0.636363636363637,0.723636363636363,0.727272727272727,0.454545454545454,0.698181818181818,0.636363636363637,0.614545454545455,0.636363636363637,0.545454545454546,0.472727272727272,0.727272727272727,0.643636363636364,0.727272727272727,0.709090909090909,0.454545454545454,0.521818181818182,0.545454545454546,0.603636363636364
"Zulu",0.627272727272727,0,0.487272727272727,0.7,0.118181818181818,0.334545454545455,0.376363636363636,0.62,0.536363636363637,0.5,0.465454545454545,0.470909090909091,0.612727272727273,0.625454545454546,0.674545454545455,0.596363636363637,0.752727272727272,0.772727272727272,0.632727272727273,0.410909090909091,0.418181818181818,0.409090909090909,0.42,0.409090909090909,0.703636363636364,0.483636363636364,0.409090909090909,0.507272727272727,0.6,0.614545454545455,0.703636363636363,0.596363636363637,0.614545454545455,0.690909090909091,0.618181818181819,0.396363636363636,0.374545454545454,0.496363636363636,0.263636363636364,0.425454545454545,0.207272727272727,0.689090909090909,0.509090909090909,0.585454545454546,0.309090909090909,0.352727272727273,0.678181818181818,0.77090909090909,0.394545454545454,0.590909090909091,0.718181818181818,0.418181818181818,0.503636363636364,0.412727272727273,0.469090909090909,0.592727272727273,0.590909090909091,0.681818181818182,0.68,0.465454545454545,0.5,0.503636363636364,0.5,0.627272727272727,0.532727272727273,0.210909090909091,0.234545454545455,0.392727272727273,0.463636363636363,0.530909090909091,0.534545454545455,0.483636363636364,0.514545454545455,0.483636363636364,0.716363636363636,0.572727272727273,0.487272727272727,0.374545454545455
"Tswana",0.8,0.487272727272727,0,0.783636363636363,0.485454545454546,0.516363636363636,0.561818181818182,0.894545454545454,0.707272727272727,0.887272727272727,0.592727272727273,0.596363636363637,0.785454545454545,0.776363636363636,0.869090909090909,0.88,0.594545454545455,0.885454545454545,0.878181818181818,0.696363636363636,0.701818181818181,0.703636363636363,0.701818181818182,0.701818181818181,0.616363636363636,0.596363636363637,0.701818181818181,0.694545454545454,0.707272727272727,0.7,0.701818181818182,0.703636363636363,0.789090909090909,0.792727272727272,0.796363636363636,0.69090909090909,0.667272727272727,0.698181818181818,0.630909090909091,0.696363636363636,0.387272727272727,0.881818181818182,0.7,0.789090909090909,0.481818181818182,0.741818181818181,0.772727272727272,0.794545454545454,0.66,0.703636363636363,0.883636363636363,0.501818181818182,0.689090909090909,0.609090909090909,0.641818181818182,0.614545454545455,0.887272727272727,0.885454545454545,0.794545454545454,0.672727272727272,0.703636363636363,0.701818181818182,0.703636363636363,0.798181818181818,0.701818181818181,0.383636363636364,0.401818181818182,0.656363636363636,0.556363636363637,0.707272727272727,0.707272727272727,0.645454545454546,0.607272727272728,0.574545454545455,0.890909090909091,0.865454545454545,0.654545454545454,0.545454545454545
"Ndonga",0.627272727272727,0.7,0.783636363636363,0,0.670909090909091,0.594545454545455,0.510909090909091,0.521818181818182,0.805454545454545,0.314545454545455,0.794545454545454,0.781818181818181,0.72,0.605454545454546,0.505454545454546,0.48,0.592727272727273,0.701818181818181,0.616363636363637,0.690909090909091,0.603636363636364,0.701818181818181,0.694545454545454,0.7,0.425454545454545,0.62,0.7,0.6,0.614545454545455,0.705454545454545,0.523636363636364,0.614545454545455,0.610909090909091,0.523636363636364,0.614545454545455,0.716363636363636,0.716363636363636,0.790909090909091,0.578181818181818,0.689090909090909,0.601818181818182,0.518181818181818,0.603636363636364,0.305454545454545,0.792727272727273,0.481818181818182,0.483636363636364,0.509090909090909,0.623636363636364,0.792727272727272,0.714545454545454,0.903636363636363,0.787272727272727,0.847272727272727,0.847272727272727,0.792727272727272,0.496363636363636,0.610909090909091,0.6,0.46,0.701818181818181,0.687272727272727,0.701818181818181,0.441818181818181,0.701818181818181,0.614545454545455,0.6,0.705454545454545,0.407272727272727,0.709090909090909,0.789090909090909,0.765454545454545,0.672727272727273,0.670909090909091,0.614545454545455,0.525454545454546,0.77090909090909,0.756363636363636
"Swati",0.618181818181818,0.118181818181818,0.485454545454546,0.670909090909091,0,0.341818181818182,0.407272727272727,0.625454545454546,0.525454545454546,0.5,0.490909090909091,0.483636363636363,0.614545454545455,0.596363636363637,0.670909090909091,0.594545454545455,0.749090909090908,0.77090909090909,0.638181818181818,0.410909090909091,0.42,0.407272727272727,0.410909090909091,0.410909090909091,0.689090909090909,0.481818181818182,0.410909090909091,0.489090909090909,0.592727272727273,0.6,0.694545454545454,0.596363636363637,0.605454545454546,0.683636363636363,0.610909090909091,0.394545454545454,0.367272727272727,0.505454545454545,0.249090909090909,0.412727272727272,0.216363636363636,0.687272727272727,0.5,0.576363636363637,0.296363636363636,0.334545454545454,0.663636363636364,0.776363636363636,0.403636363636363,0.589090909090909,0.718181818181818,0.421818181818182,0.498181818181818,0.425454545454545,0.463636363636364,0.594545454545455,0.590909090909091,0.68,0.685454545454545,0.447272727272727,0.498181818181818,0.503636363636364,0.498181818181818,0.616363636363637,0.527272727272727,0.232727272727273,0.238181818181818,0.414545454545454,0.489090909090909,0.527272727272728,0.54,0.474545454545455,0.523636363636364,0.489090909090909,0.709090909090909,0.570909090909091,0.489090909090909,0.356363636363636
"Tsonga",0.454545454545454,0.334545454545455,0.516363636363636,0.594545454545455,0.341818181818182,0,0.418181818181818,0.625454545454546,0.545454545454546,0.636363636363637,0.721818181818181,0.721818181818181,0.501818181818182,0.494545454545455,0.809090909090909,0.689090909090909,0.612727272727273,0.909090909090909,0.661818181818182,0.54,0.552727272727273,0.545454545454546,0.536363636363637,0.545454545454546,0.589090909090909,0.44,0.545454545454546,0.541818181818182,0.634545454545455,0.634545454545455,0.725454545454545,0.632727272727273,0.627272727272728,0.725454545454545,0.623636363636364,0.538181818181818,0.525454545454546,0.627272727272728,0.403636363636364,0.530909090909091,0.236363636363636,0.718181818181818,0.629090909090909,0.545454545454546,0.445454545454545,0.563636363636364,0.545454545454546,0.727272727272727,0.547272727272728,0.636363636363637,0.763636363636363,0.545454545454546,0.643636363636363,0.572727272727273,0.585454545454546,0.545454545454546,0.727272727272727,0.727272727272727,0.818181818181818,0.487272727272727,0.545454545454546,0.536363636363637,0.545454545454546,0.545454545454546,0.541818181818182,0.272727272727273,0.256363636363636,0.545454545454546,0.454545454545454,0.545454545454546,0.545454545454546,0.507272727272727,0.363636363636363,0.345454545454545,0.727272727272727,0.705454545454545,0.505454545454545,0.494545454545454
"Venda",0.532727272727273,0.376363636363636,0.561818181818182,0.510909090909091,0.407272727272727,0.418181818181818,0,0.525454545454546,0.714545454545454,0.509090909090909,0.392727272727273,0.403636363636363,0.612727272727273,0.512727272727273,0.685454545454545,0.68,0.578181818181818,0.781818181818182,0.534545454545455,0.685454545454545,0.705454545454545,0.690909090909091,0.690909090909091,0.689090909090909,0.594545454545455,0.583636363636364,0.689090909090909,0.692727272727273,0.778181818181818,0.798181818181818,0.709090909090909,0.778181818181818,0.6,0.685454545454545,0.618181818181818,0.678181818181818,0.652727272727273,0.770909090909091,0.336363636363636,0.694545454545454,0.290909090909091,0.603636363636364,0.794545454545454,0.503636363636364,0.48,0.349090909090909,0.478181818181818,0.590909090909091,0.410909090909091,0.781818181818182,0.727272727272727,0.607272727272728,0.672727272727273,0.701818181818181,0.741818181818182,0.689090909090909,0.6,0.6,0.681818181818182,0.189090909090909,0.690909090909091,0.698181818181818,0.690909090909091,0.441818181818182,0.710909090909091,0.323636363636364,0.325454545454545,0.323636363636364,0.294545454545455,0.710909090909091,0.712727272727272,0.667272727272727,0.592727272727273,0.565454545454546,0.525454545454546,0.583636363636364,0.66,0.505454545454545
"Kongo",0.529090909090909,0.62,0.894545454545454,0.521818181818182,0.625454545454546,0.625454545454546,0.525454545454546,0,0.52,0.445454545454545,0.71090909090909,0.714545454545454,0.518181818181818,0.421818181818182,0.625454545454546,0.616363636363637,0.716363636363636,0.807272727272727,0.641818181818182,0.71090909090909,0.725454545454545,0.716363636363636,0.714545454545454,0.709090909090909,0.709090909090909,0.716363636363636,0.709090909090909,0.714545454545454,0.803636363636363,0.796363636363636,0.707272727272727,0.809090909090909,0.621818181818182,0.716363636363636,0.618181818181819,0.716363636363636,0.718181818181818,0.801818181818182,0.532727272727273,0.718181818181818,0.618181818181819,0.421818181818182,0.809090909090909,0.530909090909091,0.707272727272727,0.44,0.62,0.625454545454546,0.530909090909091,0.807272727272727,0.754545454545454,0.810909090909091,0.763636363636363,0.8,0.803636363636363,0.605454545454546,0.627272727272728,0.625454545454546,0.716363636363636,0.525454545454546,0.716363636363636,0.72,0.716363636363636,0.247272727272727,0.610909090909091,0.592727272727273,0.610909090909091,0.501818181818182,0.534545454545455,0.707272727272727,0.590909090909091,0.56,0.532727272727273,0.607272727272727,0.618181818181818,0.521818181818182,0.685454545454545,0.572727272727273
"Kikuyu",0.454545454545454,0.536363636363637,0.707272727272727,0.805454545454545,0.525454545454546,0.545454545454546,0.714545454545454,0.52,0,0.727272727272727,0.814545454545454,0.805454545454545,0.687272727272727,0.807272727272727,0.810909090909091,0.805454545454545,0.909090909090909,0.909090909090909,0.661818181818182,0.530909090909091,0.554545454545455,0.545454545454546,0.532727272727273,0.454545454545454,0.816363636363636,0.545454545454546,0.454545454545454,0.536363636363637,0.612727272727273,0.5,0.689090909090909,0.625454545454546,0.498181818181818,0.712727272727272,0.521818181818182,0.545454545454546,0.541818181818182,0.629090909090909,0.676363636363636,0.429090909090909,0.536363636363637,0.712727272727272,0.621818181818182,0.723636363636363,0.610909090909091,0.727272727272727,0.636363636363637,0.818181818181818,0.547272727272728,0.636363636363637,0.763636363636363,0.636363636363637,0.694545454545454,0.625454545454546,0.625454545454546,0.454545454545454,0.727272727272727,0.727272727272727,0.818181818181818,0.721818181818181,0.454545454545454,0.530909090909091,0.545454545454546,0.363636363636363,0.507272727272727,0.545454545454546,0.523636363636364,0.727272727272727,0.818181818181818,0.289090909090909,0.545454545454546,0.449090909090909,0.363636363636363,0.458181818181818,0.545454545454546,0.71090909090909,0.396363636363636,0.567272727272727
"Luganda",0.545454545454546,0.5,0.887272727272727,0.314545454545455,0.5,0.636363636363637,0.509090909090909,0.445454545454545,0.727272727272727,0,0.570909090909091,0.565454545454546,0.632727272727273,0.530909090909091,0.265454545454545,0.292727272727273,0.636363636363637,0.545454545454546,0.48,0.474545454545454,0.356363636363636,0.454545454545454,0.472727272727273,0.454545454545454,0.669090909090909,0.554545454545455,0.454545454545454,0.46,0.672727272727273,0.710909090909091,0.618181818181818,0.66,0.525454545454546,0.561818181818182,0.512727272727273,0.469090909090909,0.467272727272727,0.558181818181818,0.458181818181818,0.496363636363636,0.609090909090909,0.416363636363636,0.561818181818182,0.24,0.683636363636363,0.252727272727273,0.545454545454546,0.454545454545454,0.547272727272728,0.636363636363637,0.490909090909091,0.816363636363636,0.598181818181818,0.625454545454546,0.674545454545454,0.727272727272727,0.181818181818182,0.454545454545454,0.454545454545454,0.412727272727272,0.545454545454546,0.563636363636364,0.545454545454546,0.454545454545454,0.629090909090909,0.636363636363637,0.632727272727273,0.636363636363637,0.545454545454546,0.634545454545455,0.727272727272727,0.685454545454545,0.727272727272727,0.714545454545454,0.545454545454546,0.303636363636364,0.690909090909091,0.712727272727272
