"","Herero","Zulu","Tswana","Ndonga","Swati","Tsonga","Venda","Kongo","Kikuyu","Luganda","Kinyarwanda","Kirundi","Igbo","Bambara","Amharic","Kanuri","Wolof","Egyptian Arabic","Kabyle","Neapolitan","Spanish","English","French","Dutch","Icelandic","Irish","Serbian","Russian","Bashkir","Chuvash","Erzya","Estonian","Gagauz","Latvian","Vepsian","Czech","Bulgarian","Lithuanian","Kalmyk","Armenian","Kurdish (Sorani)","Abkhazian","Turkish","Hebrew","Eastern Punjabi","Kazakh","Sakha","Korean","Nuosu","Japanese","Tibetan","Bengali","Kashmiri","Telugu","Tamil","Malayalam","Burmese","Vietnamese","Khmer","Malay","Thai","Cebuano","Banyumasan","Minangkabau","Chamorro","Samoan","Tongan","Maori","Hawaiian","Inupiak","Cheyenne","Choctaw","Muscogee","Cherokee","Navajo","Haitian","Aymara","Guarani"
"Herero",0,0.568461538461539,0.679230769230769,0.606923076923077,0.541538461538462,0.599230769230769,0.554615384615385,0.661538461538462,0.585384615384616,0.488461538461538,0.532307692307692,0.516153846153846,0.578461538461539,0.586153846153846,0.600769230769231,0.639230769230769,0.616923076923077,0.776153846153846,0.702307692307692,0.790769230769231,0.8,0.793076923076923,0.786923076923077,0.76076923076923,0.708461538461538,0.733846153846154,0.758461538461538,0.773076923076923,0.751538461538462,0.707692307692308,0.755384615384615,0.784615384615385,0.631538461538461,0.750769230769231,0.623846153846154,0.740769230769231,0.685384615384615,0.746153846153846,0.653076923076923,0.647692307692308,0.660769230769231,0.690769230769231,0.775384615384615,0.630769230769231,0.719230769230769,0.608461538461538,0.647692307692308,0.697692307692308,0.578461538461539,0.76,0.716923076923077,0.788461538461538,0.79,0.758461538461538,0.746153846153846,0.826923076923077,0.740769230769231,0.752307692307692,0.782307692307692,0.673846153846154,0.711538461538461,0.782307692307692,0.692307692307692,0.651538461538462,0.757692307692308,0.735384615384615,0.68,0.661538461538462,0.679230769230769,0.591538461538462,0.543846153846154,0.638461538461539,0.705384615384615,0.680769230769231,0.495384615384615,0.615384615384616,0.595384615384616,0.643076923076923
"Zulu",0.568461538461539,0,0.525384615384615,0.57,0.226923076923077,0.425384615384615,0.478461538461539,0.583846153846154,0.526923076923077,0.484615384615385,0.411538461538462,0.408461538461539,0.657692307692308,0.696923076923077,0.637692307692308,0.573846153846154,0.578461538461539,0.791538461538461,0.731538461538462,0.686153846153846,0.694615384615385,0.691538461538461,0.693076923076923,0.656153846153846,0.754615384615385,0.586923076923077,0.655384615384615,0.682307692307692,0.693846153846154,0.671538461538461,0.79,0.645384615384615,0.656153846153846,0.734615384615385,0.709230769230769,0.626153846153846,0.588461538461538,0.63,0.455384615384615,0.600769230769231,0.523076923076923,0.593076923076923,0.653076923076923,0.673846153846154,0.620769230769231,0.482307692307692,0.64,0.792307692307692,0.524615384615385,0.699230769230769,0.728461538461538,0.691538461538461,0.699230769230769,0.606923076923077,0.625384615384616,0.726923076923077,0.717692307692308,0.77,0.756923076923077,0.619230769230769,0.653846153846154,0.678461538461539,0.594615384615385,0.723076923076923,0.692307692307692,0.567692307692308,0.513846153846154,0.545384615384615,0.643076923076923,0.65923076923077,0.580769230769231,0.57,0.636153846153846,0.623846153846154,0.646153846153846,0.627692307692308,0.566153846153846,0.542307692307692
"Tswana",0.679230769230769,0.525384615384615,0,0.581538461538462,0.506153846153846,0.54,0.434615384615385,0.776153846153846,0.680769230769231,0.662307692307692,0.505384615384616,0.503846153846154,0.665384615384615,0.607692307692308,0.637692307692308,0.469230769230769,0.556923076923077,0.793846153846154,0.756923076923077,0.73,0.773076923076923,0.745384615384615,0.773076923076923,0.734615384615385,0.680769230769231,0.639230769230769,0.664615384615385,0.726923076923077,0.705384615384615,0.629230769230769,0.735384615384616,0.680769230769231,0.673846153846154,0.774615384615385,0.745384615384615,0.719230769230769,0.633846153846154,0.673076923076923,0.691538461538462,0.675384615384615,0.556153846153846,0.75,0.694615384615385,0.690769230769231,0.58,0.716153846153846,0.794615384615384,0.760769230769231,0.7,0.666153846153846,0.726923076923077,0.606153846153846,0.730769230769231,0.653076923076923,0.649230769230769,0.692307692307692,0.8,0.784615384615384,0.765384615384616,0.659230769230769,0.700769230769231,0.736153846153846,0.567692307692308,0.717692307692308,0.716923076923077,0.563846153846154,0.506923076923077,0.590769230769231,0.6,0.696923076923077,0.612307692307692,0.596923076923077,0.607692307692308,0.590769230769231,0.717692307692308,0.713846153846154,0.560769230769231,0.565384615384616
"Ndonga",0.606923076923077,0.57,0.581538461538462,0,0.586153846153846,0.55,0.458461538461539,0.582307692307692,0.701538461538461,0.472307692307692,0.587692307692308,0.587692307692308,0.669230769230769,0.662307692307692,0.498461538461538,0.456923076923077,0.538461538461539,0.734615384615385,0.677692307692308,0.776923076923076,0.727692307692308,0.733846153846154,0.720769230769231,0.738461538461539,0.6,0.613076923076923,0.732307692307692,0.635384615384615,0.643846153846154,0.600769230769231,0.624615384615385,0.568461538461539,0.645384615384615,0.572307692307693,0.614615384615385,0.720769230769231,0.705384615384616,0.703846153846154,0.650769230769231,0.685384615384615,0.656153846153846,0.528461538461538,0.647692307692308,0.529230769230769,0.79,0.590769230769231,0.65923076923077,0.600769230769231,0.622307692307692,0.699230769230769,0.691538461538462,0.853846153846154,0.774615384615384,0.750769230769231,0.736153846153846,0.77,0.612307692307692,0.705384615384615,0.636153846153846,0.572307692307692,0.644615384615385,0.685384615384615,0.641538461538462,0.546923076923077,0.671538461538462,0.689230769230769,0.626923076923077,0.631538461538461,0.563846153846154,0.700769230769231,0.66,0.600769230769231,0.678461538461539,0.664615384615385,0.584615384615385,0.569230769230769,0.668461538461539,0.662307692307692
"Swati",0.541538461538462,0.226923076923077,0.506153846153846,0.586153846153846,0,0.437692307692308,0.473846153846154,0.645384615384615,0.483846153846154,0.476153846153846,0.434615384615385,0.442307692307692,0.606153846153846,0.625384615384616,0.587692307692308,0.509230769230769,0.609230769230769,0.787692307692308,0.738461538461539,0.708461538461538,0.694615384615385,0.706153846153846,0.700769230769231,0.656923076923077,0.751538461538461,0.627692307692308,0.653846153846154,0.703076923076923,0.67,0.669230769230769,0.793076923076923,0.683076923076923,0.667692307692308,0.785384615384615,0.713846153846154,0.633076923076923,0.584615384615385,0.637692307692308,0.476153846153846,0.590769230769231,0.546153846153846,0.657692307692308,0.648461538461539,0.664615384615384,0.621538461538462,0.521538461538462,0.622307692307692,0.786153846153846,0.555384615384615,0.706923076923077,0.728461538461538,0.713076923076923,0.703076923076923,0.637692307692308,0.616153846153846,0.786153846153846,0.724615384615385,0.783846153846154,0.757692307692308,0.611538461538462,0.671538461538462,0.693076923076923,0.582307692307692,0.721538461538461,0.694615384615385,0.582307692307692,0.518461538461538,0.554615384615385,0.663076923076923,0.641538461538461,0.552307692307692,0.612307692307692,0.565384615384615,0.583846153846154,0.635384615384615,0.627692307692308,0.562307692307693,0.518461538461539
"Tsonga",0.599230769230769,0.425384615384615,0.54,0.55,0.437692307692308,0,0.403846153846154,0.573846153846154,0.517692307692308,0.546923076923077,0.663076923076923,0.676923076923077,0.574615384615385,0.606153846153846,0.650769230769231,0.61,0.486923076923077,0.800769230769231,0.647692307692308,0.707692307692308,0.673076923076923,0.711538461538462,0.665384615384615,0.708461538461539,0.697692307692308,0.57,0.714615384615385,0.62,0.713846153846154,0.583076923076923,0.71,0.659230769230769,0.633076923076923,0.744615384615385,0.69,0.609230769230769,0.646923076923077,0.682307692307693,0.509230769230769,0.648461538461539,0.565384615384616,0.564615384615385,0.656153846153846,0.656923076923077,0.646153846153846,0.613076923076923,0.656153846153846,0.763846153846154,0.572307692307693,0.67,0.752307692307692,0.703076923076923,0.72,0.596153846153846,0.591538461538462,0.741538461538461,0.697692307692308,0.753076923076923,0.732307692307693,0.625384615384615,0.662307692307692,0.622307692307692,0.646153846153846,0.643076923076923,0.605384615384616,0.538461538461539,0.521538461538462,0.598461538461538,0.625384615384616,0.626923076923077,0.608461538461538,0.480769230769231,0.483846153846154,0.527692307692308,0.714615384615385,0.647692307692308,0.570769230769231,0.540769230769231
"Venda",0.554615384615385,0.478461538461539,0.434615384615385,0.458461538461539,0.473846153846154,0.403846153846154,0,0.575384615384615,0.611538461538462,0.507692307692308,0.416153846153846,0.423076923076923,0.549230769230769,0.541538461538462,0.521538461538462,0.502307692307692,0.510769230769231,0.716923076923077,0.531538461538462,0.761538461538461,0.734615384615385,0.776923076923077,0.729230769230769,0.69,0.634615384615385,0.630769230769231,0.657692307692308,0.686153846153846,0.696923076923077,0.59,0.701538461538462,0.720769230769231,0.549230769230769,0.726923076923077,0.626923076923077,0.672307692307692,0.623076923076923,0.665384615384615,0.553846153846154,0.634615384615385,0.513076923076923,0.593076923076923,0.693076923076923,0.570769230769231,0.577692307692308,0.554615384615385,0.674615384615385,0.634615384615385,0.557692307692308,0.735384615384616,0.661538461538462,0.653076923076923,0.690769230769231,0.613846153846154,0.616923076923077,0.764615384615384,0.638461538461538,0.587692307692308,0.674615384615385,0.420769230769231,0.654615384615385,0.693076923076923,0.638461538461539,0.524615384615385,0.687692307692308,0.485384615384615,0.43,0.359230769230769,0.446153846153846,0.7,0.593846153846154,0.557692307692308,0.521538461538462,0.477692307692308,0.532307692307692,0.523076923076923,0.567692307692308,0.473076923076923
"Kongo",0.661538461538462,0.583846153846154,0.776153846153846,0.582307692307692,0.645384615384615,0.573846153846154,0.575384615384615,0,0.520769230769231,0.569230769230769,0.677692307692308,0.696153846153846,0.575384615384615,0.637692307692308,0.67,0.681538461538462,0.556153846153846,0.741538461538462,0.61,0.8,0.7,0.728461538461538,0.688461538461539,0.657692307692308,0.653076923076923,0.646153846153846,0.77,0.647692307692308,0.723846153846154,0.637692307692308,0.683076923076923,0.736153846153846,0.606923076923077,0.725384615384615,0.561538461538462,0.674615384615385,0.666923076923077,0.67,0.632307692307692,0.666923076923077,0.640769230769231,0.461538461538461,0.663846153846154,0.583846153846154,0.836923076923077,0.604615384615385,0.680769230769231,0.648461538461538,0.458461538461538,0.725384615384615,0.677692307692308,0.726923076923077,0.663846153846154,0.645384615384615,0.647692307692308,0.678461538461539,0.607692307692308,0.648461538461538,0.652307692307693,0.490769230769231,0.533076923076924,0.643076923076923,0.583076923076923,0.426923076923077,0.577692307692308,0.575384615384615,0.549230769230769,0.516923076923077,0.520769230769231,0.833076923076923,0.719230769230769,0.644615384615385,0.604615384615385,0.634615384615385,0.694615384615385,0.495384615384615,0.554615384615385,0.51
"Kikuyu",0.585384615384616,0.526923076923077,0.680769230769231,0.701538461538461,0.483846153846154,0.517692307692308,0.611538461538462,0.520769230769231,0,0.699230769230769,0.733076923076923,0.737692307692308,0.677692307692308,0.603076923076923,0.766153846153846,0.679230769230769,0.680769230769231,0.671538461538461,0.673846153846154,0.661538461538461,0.653846153846154,0.728461538461539,0.677692307692308,0.577692307692308,0.703076923076923,0.633846153846154,0.676153846153846,0.686923076923077,0.603846153846154,0.556153846153846,0.713076923076923,0.697692307692308,0.595384615384616,0.761538461538461,0.600769230769231,0.614615384615385,0.577692307692308,0.604615384615385,0.654615384615385,0.428461538461538,0.543076923076923,0.599230769230769,0.63,0.598461538461538,0.72,0.687692307692308,0.538461538461539,0.767692307692308,0.506153846153846,0.729230769230769,0.580769230769231,0.761538461538462,0.726923076923077,0.687692307692308,0.65,0.723076923076923,0.746153846153846,0.807692307692307,0.777692307692307,0.691538461538461,0.613846153846154,0.668461538461539,0.613846153846154,0.576923076923077,0.648461538461539,0.719230769230769,0.638461538461538,0.617692307692308,0.764615384615385,0.583846153846154,0.617692307692308,0.638461538461539,0.423076923076923,0.463076923076923,0.573846153846154,0.652307692307692,0.479230769230769,0.564615384615385
"Luganda",0.488461538461538,0.484615384615385,0.662307692307692,0.472307692307692,0.476153846153846,0.546923076923077,0.507692307692308,0.569230769230769,0.699230769230769,0,0.488461538461538,0.493846153846154,0.634615384615385,0.549230769230769,0.422307692307692,0.416153846153846,0.613846153846154,0.61,0.575384615384615,0.631538461538462,0.549230769230769,0.633846153846154,0.601538461538462,0.633076923076923,0.689230769230769,0.573846153846154,0.666923076923077,0.539230769230769,0.697692307692308,0.583846153846154,0.616153846153846,0.627692307692308,0.56,0.63,0.609230769230769,0.546153846153846,0.58,0.617692307692308,0.618461538461539,0.591538461538462,0.67923076923077,0.558461538461539,0.586153846153846,0.444615384615385,0.744615384615384,0.56,0.708461538461538,0.573076923076923,0.652307692307692,0.586923076923077,0.564615384615385,0.767692307692308,0.648461538461539,0.606923076923077,0.626923076923077,0.768461538461538,0.422307692307692,0.632307692307692,0.544615384615385,0.543846153846154,0.618461538461539,0.593846153846154,0.563846153846154,0.560769230769231,0.605384615384616,0.657692307692308,0.643846153846154,0.618461538461539,0.618461538461539,0.639230769230769,0.622307692307692,0.602307692307692,0.660769230769231,0.7,0.565384615384616,0.466923076923077,0.610769230769231,0.635384615384616
