Longitude,Latitude,Time,Precipitation
53.75E,86.25S,Jan 1960,9.487379
56.25E,86.25S,Jan 1960,9.263843
58.75E,86.25S,Jan 1960,9.068036
61.25E,86.25S,Jan 1960,8.968783
63.75E,86.25S,Jan 1960,8.942829
66.25E,86.25S,Jan 1960,8.947979
68.75E,86.25S,Jan 1960,8.938038
71.25E,86.25S,Jan 1960,8.925268
73.75E,86.25S,Jan 1960,9.042499
76.25E,86.25S,Jan 1960,9.289078
78.75E,86.25S,Jan 1960,9.415167
81.25E,86.25S,Jan 1960,9.354319
83.75E,86.25S,Jan 1960,9.246778
86.25E,86.25S,Jan 1960,9.159583
88.75E,86.25S,Jan 1960,9.169538
91.25E,86.25S,Jan 1960,9.222707
93.75E,86.25S,Jan 1960,9.199313
96.25E,86.25S,Jan 1960,9.157566
98.75E,86.25S,Jan 1960,9.252853
101.25E,86.25S,Jan 1960,9.476182
103.75E,86.25S,Jan 1960,9.697967
106.25E,86.25S,Jan 1960,9.961547
108.75E,86.25S,Jan 1960,10.18692
111.25E,86.25S,Jan 1960,10.20354
113.75E,86.25S,Jan 1960,10.12872
116.25E,86.25S,Jan 1960,10.09946
118.75E,86.25S,Jan 1960,10.1877
121.25E,86.25S,Jan 1960,10.42645
123.75E,86.25S,Jan 1960,10.66409
126.25E,86.25S,Jan 1960,10.80831
128.75E,86.25S,Jan 1960,10.86039
131.25E,86.25S,Jan 1960,10.84945
133.75E,86.25S,Jan 1960,10.88352
136.25E,86.25S,Jan 1960,10.98562
138.75E,86.25S,Jan 1960,11.06368
141.25E,86.25S,Jan 1960,11.27892
143.75E,86.25S,Jan 1960,11.85791
146.25E,86.25S,Jan 1960,12.27066
148.75E,86.25S,Jan 1960,12.16732
151.25E,86.25S,Jan 1960,12.01367
153.75E,86.25S,Jan 1960,11.93678
156.25E,86.25S,Jan 1960,11.94056
158.75E,86.25S,Jan 1960,12.10891
161.25E,86.25S,Jan 1960,12.31676
163.75E,86.25S,Jan 1960,12.54604
166.25E,86.25S,Jan 1960,12.79579
168.75E,86.25S,Jan 1960,13.06193
