society_id,society_name,society_xd_id,language_glottocode,language_name,language_family,variable_id,code,code_label,focal_year,sub_case,comment
Ii4,Ellice,xd883,tuva1244,Tuvalu,Austronesian,Slope,0.000144468,,,,
If16,Lamotrek,xd831,lamo1243,Lamotrek,Austronesian,Slope,0.000190117,,,,
Ii7,Kapingamarangi,xd886,kapi1249,Kapingamarangi,Austronesian,Slope,0.000257587,,,,
Ii3,Pukapukans,xd882,puka1242,Pukapuka,Austronesian,Slope,0.000349661,,,,
If10,Nomoians,xd825,mort1237,Mortlockese,Austronesian,Slope,0.000351253,,,,
If4,Ifaluk,xd835,nucl1479,Nuclear Woleaian,Austronesian,Slope,0.000361141,,,,
If9,Ulithians,xd840,ulit1238,Ulithian,Austronesian,Slope,0.000566819,,,,
Ij4,Manihikians,xd893,raka1237,Rakahanga-Manihiki,Austronesian,Slope,0.000626987,,,,
If12,Bikinians,xd827,rali1241,Rälik,Austronesian,Slope,0.00070716,,,,
If13,Nauruans,xd828,naur1243,Nauru,Austronesian,Slope,0.00086094,,,,
SCCS156,Miskito,xd1325,misk1235,Mískito,Misumalpan,Slope,0.000935059,,,,
Ij5,Raroians,xd894,tuam1242,Tuamotuan,Austronesian,Slope,0.001016159,,,,
Ii5,Ontong Java,xd884,onto1237,Luangiua,Austronesian,Slope,0.001050412,,,,
Ii6,Tokelau,xd885,toke1240,Tokelau,Austronesian,Slope,0.001096189,,,,
If17,Marshallese,xd832,rata1243,Ratak,Austronesian,Slope,0.001140755,,,,
SCCS108,Marshallese,xd832,rata1243,Ratak,Austronesian,Slope,0.001140755,,,,
Ih4,Lau,xd870,laua1243,Lauan,Austronesian,Slope,0.001357526,,,,
If3,Majuro,xd834,rata1243,Ratak,Austronesian,Slope,0.001415314,,,,
If7,Gilbert Onotoa,xd838,nuii1237,Nui,Austronesian,Slope,0.001598767,,,,
Ij10,Tongarevans,xd890,penr1237,Māngarongaro,Austronesian,Slope,0.002135694,,,,
Ie14,Miriam,xd790,meri1244,Meriam,Eastern Trans-Fly,Slope,0.00268277,,,,
Ig13,Aua,xd845,wuvu1239,Wuvulu-Aua,Austronesian,Slope,0.002773623,,,,
If14,Makin,xd829,bana1287,Banaban,Austronesian,Slope,0.00351578,,,,
SCCS107,Makin,xd829,bana1287,Banaban,Austronesian,Slope,0.00351578,,,,
Ad42,Haya,xd112,haya1250,Haya,Atlantic-Congo,Slope,0.004401559,,,,
Ij1,Mangaians,xd889,raro1241,Southern Cook Island Maori,Austronesian,Slope,0.006475634,,,,
Ii2,Tikopia,xd881,tiko1237,Tikopia,Austronesian,Slope,0.007221085,,,,
SCCS100,Tikopia,xd881,tiko1237,Tikopia,Austronesian,Slope,0.007221085,,,,
Ij7,Mangarevans,xd896,mang1401,Mangareva,Austronesian,Slope,0.010194992,,,,
Ig2,Trobriands,xd852,kili1267,Kilivila,Austronesian,Slope,0.012323163,,,,
Eh5,Nicobarese,xd691,carn1240,Car Nicobarese,Austroasiatic,Slope,0.013582278,,,,
If6,Yapese,xd837,yape1248,Yapese,Austronesian,Slope,0.015652457,,,,
SCCS110,Yapese,xd837,yape1248,Yapese,Austronesian,Slope,0.015652457,,,,
Aj3,Nuer,xd406,nuer1246,Nuer,Nilotic,Slope,0.01781024,,,,
Ai6,Shilluk,xd380,shil1265,Shilluk,Nilotic,Slope,0.023963521,,,,
Aj11,Dinka,xd386,sout2832,Southwestern Dinka,Nilotic,Slope,0.024339633,,,,
Ii13,Uveans,xd879,wall1257,East Uvean,Austronesian,Slope,0.025784024,,,,
Ac43,Mambwe,xd70,mamb1296,Mambwe-Lungu,Atlantic-Congo,Slope,0.026183479,,,,
B5,Onge,xd902,onge1236,Önge,Jarawa-Onge,Slope,0.027387355,,,,
Ih6,Rotumans,xd872,rotu1241,Rotuman,Austronesian,Slope,0.027832508,,,,
SCCS31,Shilluk,xd380,shil1265,Shilluk,Nilotic,Slope,0.027957017,,,,
Cj4,Babylonians,xd590,akka1240,Akkadian,Afro-Asiatic,Slope,0.028280149,,,,
B102,Lardil,xd951,lard1243,Lardil,Tangkic,Slope,0.028936452,,,,
Sh3,Abipón,xd1390,abip1241,Abipon,Guaicuruan,Slope,0.029182048,,,,
Ii9,Niueans,xd888,niue1239,Niuean,Austronesian,Slope,0.032027649,,,,
Ad1,Bajuni,xd76,baju1245,Bajuni,Atlantic-Congo,Slope,0.034224443,,,,
SCCS27,Masa,xd383,masa1322,Masana,Afro-Asiatic,Slope,0.034692746,,,,
If2,Trukese,xd833,chuu1238,Chuukese,Austronesian,Slope,0.035066712,,,,
SCCS109,Trukese,xd833,chuu1238,Chuukese,Austronesian,Slope,0.035066712,,,,
B125,Yuwaalaraay,xd970,gami1243,Yuwaalaraay-Gamilaraay,Pama-Nyungan,Slope,0.035178758,,,,
Ne16,Karankawa,xd1215,kara1289,Karankawa,,Slope,0.036411485,,,,
Ng2,Seminole,xd1251,mika1239,Mikasuki,Muskogean,Slope,0.036481345,,,,
Ai18,Kotoko,xd346,lagw1237,Lagwan,Afro-Asiatic,Slope,0.037698621,,,,
Ai9,Masa,xd383,masa1322,Masana,Afro-Asiatic,Slope,0.039708309,,,,
Cb16,Shuwa,xd465,char1283,Chari-Baguirmi,Afro-Asiatic,Slope,0.039765922,,,,
Cb5,Buduma,xd482,budu1265,Buduma,Afro-Asiatic,Slope,0.039765922,,,,
SCCS45,Babylonians,xd590,akka1240,Akkadian,Afro-Asiatic,Slope,0.040265499,,,,
If1,Palauans,xd824,pala1344,Palauan,Austronesian,Slope,0.040435078,,,,
SCCS111,Palauans,xd824,pala1344,Palauan,Austronesian,Slope,0.040435078,,,,
Ii12,Tongans,xd878,tong1325,Tonga (Tonga Islands),Austronesian,Slope,0.041376295,,,,
Ng15,Chitimacha,xd1250,chit1248,Chitimacha,,Slope,0.041488225,,,,
Af21,Ijaw,xd199,kala1381,Kalabari,Ijoid,Slope,0.041586545,,,,
Cc7,Barabish,xd504,hass1238,Hassaniyya,Afro-Asiatic,Slope,0.041629181,,,,
Cb13,Habbaniya,xd462,nort3133,North Kordofan Arabic,Afro-Asiatic,Slope,0.043284728,,,,
B193,Karankawa,xd1215,kara1289,Karankawa,,Slope,0.044795635,,,,
Ef3,Indo-Iranian,xd665,sans1269,Sanskrit,Indo-European,Slope,0.04536535,,,,
Ie18,Kimam,xd794,kima1246,Kimaama,Kolopom,Slope,0.045603606,,,,
Ai19,Musgu,xd347,musg1254,Musgu,Afro-Asiatic,Slope,0.046442175,,,,
Sh1,Wichí,xd1388,wich1264,Wichí Lhamtés Güisnay,Matacoan,Slope,0.046452331,,,,
Ci1,Kalmyk,xd574,kalm1243,Oirad-Kalmyk,Mongolic,Slope,0.046697469,,,,
Ea13,Punjabi,xd600,west2386,Western Panjabi,Indo-European,Slope,0.046975092,,,,
Ed15a,Miyakans,xd642,miya1259,Miyako,Japonic,Slope,0.047914647,,,,
B46,Calusa,xd919,calu1239,Calusa,Unclassifiable,Slope,0.048195661,,,,
Cb12,Gimma,xd461,nort3133,North Kordofan Arabic,Afro-Asiatic,Slope,0.048902094,,,,
Ai21,Bagirmi,xd350,bagi1246,Bagirmi,Central Sudanic,Slope,0.049060348,,,,
Cj10,Madan,xd587,meso1252,Gilit Mesopotamian Arabic,Afro-Asiatic,Slope,0.050166169,,,,
Ag18,Bijogo,xd253,bidy1244,Kangaki-Kagbaaga-Kajoko Bidyogo,Atlantic-Congo,Slope,0.050668898,,,,
SCCS98,Trobriands,xd852,kili1267,Kilivila,Austronesian,Slope,0.051171507,,,,
Cb14,Hemat,xd463,bath1248,Batha,Afro-Asiatic,Slope,0.052460245,,,,
B389,Tareumiut,xd1036,nort2944,North Slope Inupiatun,Eskimo-Aleut,Slope,0.05349249,,,,
B103,Kaiadilt,xd952,kaya1319,Kayardild,Tangkic,Slope,0.05374393,,,,
Ic6,Tanimbarese,xd768,sela1259,Selaru,Austronesian,Slope,0.054050847,,,,
Ie19,Marind-Amin,xd795,nucl1622,Marind,Anim,Slope,0.054521179,,,,
B74,G/wi,xd932,gwii1239,/Gwi,Khoe-Kwadi,Slope,0.055525763,,,,
Ia14,Tao,xd737,yami1254,Yami,Austronesian,Slope,0.056631438,,,,
Ef11,Uttar Pradesh,xd663,bhoj1244,Bhojpuri,Indo-European,Slope,0.057502279,,,,
SCCS63,Uttar Pradesh,xd663,bhoj1244,Bhojpuri,Indo-European,Slope,0.057502279,,,,
Cb19,Kanuri,xd468,cent2050,Central Kanuri,Saharan,Slope,0.058320141,,,,
Sh9,Lengua,xd1396,leng1262,Lengua,Lengua-Mascoy,Slope,0.058440399,,,,
B75,Kua,xd933,kuaa1238,Kua,Khoe-Kwadi,Slope,0.058597463,,,,
Ng8,Timucua,xd1257,timu1245,Timucua,,Slope,0.059043949,,,,
Na7,Attawapiskat Cree,xd1065,swam1239,Swampy Cree,Algic,Slope,0.059547125,,,,
Sh5,Choroti,xd1392,iyow1239,Iyo'wujwa Chorote,Matacoan,Slope,0.061170981,,,,
Ie13,Kiwai,xd789,sout2949,Southern Kiwai,Kiwaian,Slope,0.062063792,,,,
Ab19,Ambo,xd20,ndon1254,Ndonga,Atlantic-Congo,Slope,0.062517116,,,,
If11,Kosraeans,xd826,kosr1238,Kosraean,Austronesian,Slope,0.064354349,,,,
Aa7,Naron,xd7,naro1249,Naro,Khoe-Kwadi,Slope,0.065708003,,,,
Cb18,Kanembu,xd467,kane1243,Kanembu,Saharan,Slope,0.066072911,,,,
Sh6,Chamacoco,xd1393,cham1315,Chamacoco,Zamucoan,Slope,0.0672759,,,,
Ch8,Magyar,xd572,hung1274,Hungarian,Uralic,Slope,0.067397488,,,,
Eh1,Andamanese,xd686,akab1249,Aka-Bea,Great Andamanese,Slope,0.068084392,,,,
SCCS79,Andamanese,xd686,akab1249,Aka-Bea,Great Andamanese,Slope,0.068084392,,,,
Ig21,Tangu,xd854,tang1355,Tanggu,Lower Sepik-Ramu,Slope,0.068127039,,,,
SCCS59,Punjabi,xd600,west2386,Western Panjabi,Indo-European,Slope,0.068486617,,,,
SCCS183,Abipón,xd1390,abip1241,Abipon,Guaicuruan,Slope,0.069031218,,,,
B76,!Ko,xd934,huaa1248,East Taa,Tuu,Slope,0.070336985,,,,
Cb4,Hasania,xd481,khar1296,Khartoum,Afro-Asiatic,Slope,0.071835731,,,,
Ag7,Bozo,xd295,tiey1235,Tiéyaxo Bozo,Mande,Slope,0.072453367,,,,
Ea1,Sindhi,xd596,sind1272,Sindhi,Indo-European,Slope,0.072456559,,,,
Sh8,Toba,xd1395,toba1269,Toba,Guaicuruan,Slope,0.073003657,,,,
Ia13,Badjau Tawi-Tawi,xd736,sout2918,Southern Sama,Austronesian,Slope,0.073266186,,,,
Ef2,Bengali,xd664,beng1280,Bengali,Indo-European,Slope,0.073573492,,,,
Ac11,Luvale,xd35,luva1239,Luvale,Atlantic-Congo,Slope,0.07489383,,,,
Cd20,Sanusi,xd519,liby1240,Libyan Arabic,Afro-Asiatic,Slope,0.075433642,,,,
Ai38,Korongo,xd368,kron1241,Krongo,Kadugli-Krongo,Slope,0.077494697,,,,
SCCS182,Lengua,xd1396,leng1262,Lengua,Lengua-Mascoy,Slope,0.078129322,,,,
Ij9,Easter Islanders,xd898,rapa1244,Rapanui,Austronesian,Slope,0.078958001,,,,
SCCS162,Warao,xd1335,wara1303,Warao,,Slope,0.081520595,,,,
Cc5,Kel Antessar,xd502,timb1263,Timbuktu,Afro-Asiatic,Slope,0.085004486,,,,
SCCS86,Badjau Tawi-Tawi,xd736,sout2918,Southern Sama,Austronesian,Slope,0.085381117,,,,
Ie5,Keraki,xd819,namb1293,Nambo,Morehead-Wasur,Slope,0.088513676,,,,
SCCS93,Kimam,xd794,kima1246,Kimaama,Kolopom,Slope,0.089545395,,,,
B332,Northern Saulteaux,xd1049,alba1270,Albany River Ojibwa,Algic,Slope,0.090185071,,,,
Ig17,Kombe,xd849,mudu1242,Muduapa,Austronesian,Slope,0.091440751,,,,
Ad33,Pokomo,xd102,poko1261,Pokomo,Atlantic-Congo,Slope,0.092795561,,,,
Eb5,Turkmen,xd613,turk1304,Turkmen,Turkic,Slope,0.093202991,,,,
Ab16,Lenge,xd17,leng1257,Lengue,Atlantic-Congo,Slope,0.09432491,,,,
Ii8,Futunans,xd887,east2447,East Futuna,Austronesian,Slope,0.096659127,,,,
Cb15,Messiria Humr,xd464,tama1331,Tama (Chad),Tamaic,Slope,0.097944002,,,,
SCCS76,Thai,xd731,thai1261,Thai,Tai-Kadai,Slope,0.099016199,,,,
Sc2,Pumé,xd1345,pume1238,Pumé,,Slope,0.09969297,,,,
B68,Hai//om,xd930,haio1238,Hai//om,Khoe-Kwadi,Slope,0.101065505,,,,
B339,North Albany Ojibwa,xd1004,wini1244,Winisk River Ojibwa,Algic,Slope,0.102625213,,,,
Sc10,Lokono,xd1336,araw1276,Lokono,Arawakan,Slope,0.102723885,,,,
B94,Yir Yoront,xd775,jirj1239,Jir'jorond,Pama-Nyungan,Slope,0.102886927,,,,
Id12,Yir Yoront,xd775,jirj1239,Jir'jorond,Pama-Nyungan,Slope,0.102886927,,,,
B38,Pumé,xd1345,pume1238,Pumé,,Slope,0.10288956,,,,
If5,Ponapeans,xd836,pohn1238,Pohnpeian,Austronesian,Slope,0.104070276,,,,
B113,Pintubi,xd960,pint1250,Pintupi-Luritja,Pama-Nyungan,Slope,0.104819936,,,,
Af22,Itsekiri,xd200,isek1239,Isekiri,Atlantic-Congo,Slope,0.105426512,,,,
Ad29,Hadimu,xd97,pemb1239,Pemba,Atlantic-Congo,Slope,0.106117611,,,,
B129,Kaurna,xd974,kaur1267,Kaurna,Pama-Nyungan,Slope,0.108627268,,,,
Na6,Nunivak,xd1064,kusk1241,General Central Yup'ik,Eskimo-Aleut,Slope,0.110897637,,,,
B10,Vedda,xd690,vedd1240,Veddah,Indo-European,Slope,0.111217244,,,,
B73,Naron,xd7,naro1249,Naro,Khoe-Kwadi,Slope,0.111847459,,,,
Ih7,Lifu,xd873,dehu1237,Dehu,Austronesian,Slope,0.113098081,,,,
Af25,Isoko,xd203,isok1239,Isoko,Atlantic-Congo,Slope,0.117356017,,,,
B378,Inuvialuit,xd1019,sigl1242,Siglitun,Eskimo-Aleut,Slope,0.117978774,,,,
SCCS81,Tanala,xd689,tana1285,Tanala,Austronesian,Slope,0.118014001,,,,
Se7,Camba,xd1371,chiq1248,Chiquitano,,Slope,0.119728642,,,,
Sj8,Tupinambá,xd1416,tupi1273,Tupinambá,Tupian,Slope,0.121241101,,,,
ch17,Gagauz,xd554,gaga1249,Gagauz,Turkic,Slope,0.121944489,,,,
Ie4,Wogeo,xd818,woge1237,Wogeo,Austronesian,Slope,0.121986815,,,,
B353,Attawapiskat Cree,xd1065,swam1239,Swampy Cree,Algic,Slope,0.122737757,,,,
If15,Carolinians,xd830,caro1242,Carolinian,Austronesian,Slope,0.122823163,,,,
If8,Chamorro,xd839,cham1312,Chamorro,Austronesian,Slope,0.122823163,,,,
Na2,Tareumiut,xd1036,nort2944,North Slope Inupiatun,Eskimo-Aleut,Slope,0.123473232,,,,
Sf6,Muisca,xd1379,chib1270,Chibcha,Chibchan,Slope,0.124487315,,,,
Na43,Netsilik,xd1060,nets1241,Natsilingmiutut,Eskimo-Aleut,Slope,0.124576285,,,,
SCCS90,Tiwi,xd778,tiwi1244,Tiwi,,Slope,0.127083335,,,,
Na36,Minnesota Ojibwa,xd1052,redl1238,Red Lake Chippewa,Algic,Slope,0.12712446,,,,
Ag30,Bobo,xd267,nort2819,Northern Bobo Madaré,Mande,Slope,0.127353773,,,,
B254,Bungi,xd1213,west1510,Western Ojibwa,Algic,Slope,0.127612794,,,,
Cb23,Tukulor,xd473,pula1263,Pulaar,Atlantic-Congo,Slope,0.130575616,,,,
Na31,Eastern Cree,xd1047,sout2978,Southern East Cree,Algic,Slope,0.130864345,,,,
Cc14,Daza,xd492,daza1242,Dazaga,Saharan,Slope,0.132022962,,,,
B104,Karajarri,xd953,kara1476,Karadjeri,Pama-Nyungan,Slope,0.133020274,,,,
SCCS102,Mbau Fijians,xd867,bauu1243,Bau (Fijian),Austronesian,Slope,0.135103575,,,,
SCCS179,Shavante,xd1409,xava1240,Xavánte,Nuclear-Macro-Je,Slope,0.135552377,,,,
Id13,Anindilyagwa,xd776,anin1240,Anindilyakwa,Gunwinyguan,Slope,0.137457201,,,,
Cc19,Trarza,xd497,hass1238,Hassaniyya,Afro-Asiatic,Slope,0.140562419,,,,
Na33,Northern Saulteaux,xd1049,alba1270,Albany River Ojibwa,Algic,Slope,0.140966068,,,,
Eb8,Uzbek,xd616,nort2690,Northern Uzbek,Turkic,Slope,0.14235546,,,,
Ej5,Khmer,xd727,cent1989,Central Khmer,Austroasiatic,Slope,0.142505628,,,,
Cb1,Maguzawa,xd458,kano1249,Kano,Afro-Asiatic,Slope,0.145202513,,,,
Cb29,Ngizim,xd479,ngiz1242,Ngizim,Afro-Asiatic,Slope,0.145202513,,,,
Af48,Kru,xd228,klao1243,Klao,Atlantic-Congo,Slope,0.148430077,,,,
B329,Mi'kmaq,xd1058,mikm1235,Mi'kmaq,Algic,Slope,0.148821642,,,,
Na41,Mi'kmaq,xd1058,mikm1235,Mi'kmaq,Algic,Slope,0.148821642,,,,
SCCS126,Mi'kmaq,xd1058,mikm1235,Mi'kmaq,Algic,Slope,0.148821642,,,,
Ai22,Sara,xd351,sarr1246,Sar,Central Sudanic,Slope,0.15036991,,,,
Se1,Sirionó,xd1362,siri1273,Sirionó,Tupian,Slope,0.150671875,,,,
B44,Yuqui,xd918,yuqu1240,Yuqui,Tupian,Slope,0.15068465,,,,
Ae28,Ngala,xd147,ling1263,Lingala,Atlantic-Congo,Slope,0.152229372,,,,
