"l1","l2","number_numeric","l1_typology","l2_typology","sameNumeralTypology"
"pt","cs",10,"atom","atom",TRUE
"pt","cs",6,"atom","atom",TRUE
"pt","cs",8,"atom","atom",TRUE
"pt","cs",5,"atom","atom",TRUE
"pt","cs",9,"atom","atom",TRUE
"pt","cs",50,"5*base","5*10",FALSE
"pt","cs",20,"atom","2*base",FALSE
"pt","cs",70,"7*base","7*10",FALSE
"pt","cs",12,"2+10","2+base",FALSE
"pt","cs",60,"6*base","6*10",FALSE
"pt","cs",30,"3*base","3*base",TRUE
"pt","cs",80,"8*base","8*10",FALSE
"pt","cs",90,"9*base","9*10",FALSE
"pt","cs",40,"4*base","4*base",TRUE
"es","cs",1,"atom","atom",TRUE
"es","cs",2,"atom","atom",TRUE
"es","cs",1000,"1000","1000",TRUE
"es","cs",100,"100","100",TRUE
"es","cs",90,"9*base","9*10",FALSE
"es","cs",11,"1+base","1+base",TRUE
"es","cs",4,"atom","atom",TRUE
"es","cs",5,"atom","atom",TRUE
"es","cs",6,"atom","atom",TRUE
"es","cs",8,"atom","atom",TRUE
"es","cs",9,"atom","atom",TRUE
"es","cs",12,"2+base","2+base",TRUE
"es","cs",70,"7*base","7*10",FALSE
"es","cs",80,"8*base","8*10",FALSE
"es","cs",10,"atom","atom",TRUE
"es","cs",60,"6*base","6*10",FALSE
"es","cs",20,"atom","2*base",FALSE
"es","cs",30,"3*base","3*base",TRUE
"es","cs",50,"5*base","5*10",FALSE
"es","cs",40,"4*base","4*base",TRUE
"nl","fr",1000,"1000","1000",TRUE
"nl","fr",60,"6*10","6*base",FALSE
"nl","fr",50,"5*10","5*base",FALSE
"nl","fr",2,"atom","atom",TRUE
"nl","fr",100,"100","100",TRUE
"nl","fr",10,"atom","atom",TRUE
"nl","fr",3,"atom","atom",TRUE
"nl","fr",30,"3*10","3*base",FALSE
"nl","fr",9,"atom","atom",TRUE
"nl","fr",40,"4*10","4*base",FALSE
"nl","fr",8,"atom","atom",TRUE
"nl","fr",20,"2*10","atom",FALSE
"nl","fr",4,"atom","atom",TRUE
"nl","fr",12,"atom","2+base",FALSE
"nl","fr",7,"atom","atom",TRUE
"nl","fr",5,"atom","atom",TRUE
"nl","fr",6,"atom","atom",TRUE
"nl","fr",11,"atom","1+base",FALSE
"pt","nl",1000,"1000","1000",TRUE
"pt","nl",70,"7*base","7*10",FALSE
"pt","nl",90,"9*base","9*10",FALSE
"pt","nl",100,"100","100",TRUE
"pt","nl",80,"8*base","8*10",FALSE
"pt","nl",60,"6*base","6*10",FALSE
"pt","nl",2,"atom","atom",TRUE
"pt","nl",50,"5*base","5*10",FALSE
"pt","nl",3,"atom","atom",TRUE
"pt","nl",8,"atom","atom",TRUE
"pt","nl",10,"atom","atom",TRUE
"pt","nl",5,"atom","atom",TRUE
"pt","nl",4,"atom","atom",TRUE
"pt","nl",6,"atom","atom",TRUE
"pt","nl",12,"2+10","atom",FALSE
"pt","nl",9,"atom","atom",TRUE
"pt","nl",30,"3*base","3*10",FALSE
"pt","nl",11,"1+10","atom",FALSE
"pt","nl",40,"4*base","4*10",FALSE
"pt","nl",20,"atom","2*10",FALSE
"en","sv",1,"atom","atom",TRUE
"en","sv",1,"atom","atom",TRUE
"en","sv",2,"atom","atom",TRUE
"en","sv",3,"atom","atom",TRUE
"en","sv",40,"4*10","4*10",TRUE
"en","sv",90,"9*10","9*10",TRUE
"en","sv",20,"2*10","atom",FALSE
"en","sv",30,"3*10","3*10",TRUE
"en","sv",50,"5*10","5*10",TRUE
"en","sv",70,"7*10","7*10",TRUE
"en","sv",80,"8*10","8*10",TRUE
"en","sv",4,"atom","atom",TRUE
"en","sv",60,"6*10","6*10",TRUE
"en","sv",10,"atom","atom",TRUE
"en","sv",8,"atom","atom",TRUE
"en","sv",5,"atom","atom",TRUE
"en","sv",6,"atom","atom",TRUE
"en","sv",7,"atom","atom",TRUE
"en","sv",11,"atom","atom",TRUE
"en","sv",12,"atom","atom",TRUE
"en","sv",9,"atom","atom",TRUE
"ru","da",1,"atom","atom",TRUE
"ru","da",70,"7*10","3.5*20",FALSE
"ru","da",1,"atom","atom",TRUE
"ru","da",40,"atom","4*base",FALSE
"ru","da",1000,"1000","(1*)1000",FALSE
"ru","da",90,"9*base","4.5*20",FALSE
"ru","da",40,"atom","4*base",FALSE
"ru","da",100,"100","(1*)100",FALSE
"ru","da",80,"8*10","4*20",FALSE
"ru","da",60,"6*10","3*20",FALSE
"ru","da",50,"5*10","2.5*20",FALSE
"ru","da",11,"1+10","atom",FALSE
"ru","da",30,"3*base","3*base",TRUE
"ru","da",20,"2*base","2*base",TRUE
"ru","da",2,"atom","atom",TRUE
"ru","da",10,"atom","atom",TRUE
"ru","da",5,"atom","atom",TRUE
"ru","da",12,"2+10","atom",FALSE
"ru","da",6,"atom","atom",TRUE
"ru","da",9,"atom","atom",TRUE
"ru","da",3,"atom","atom",TRUE
"ru","da",8,"atom","atom",TRUE
"ru","da",4,"atom","atom",TRUE
"ru","bg",1,"atom","atom",TRUE
"ru","bg",1,"atom","atom",TRUE
"ru","bg",1000,"1000","1000",TRUE
"ru","bg",2,"atom","atom",TRUE
"ru","bg",11,"1+10","1+10",TRUE
"ru","bg",5,"atom","atom",TRUE
"ru","bg",20,"2*base","2*10",FALSE
"ru","bg",100,"100","100",TRUE
"ru","bg",40,"atom","4*10",FALSE
"ru","bg",12,"2+10","2+10",TRUE
"ru","bg",30,"3*base","3*10",FALSE
"ru","bg",20,"2*base","2*10",FALSE
"ru","bg",3,"atom","atom",TRUE
"ru","bg",11,"1+10","1+10",TRUE
"ru","bg",60,"6*10","6*10",TRUE
"ru","bg",80,"8*10","8*10",TRUE
"ru","bg",6,"atom","atom",TRUE
"ru","bg",50,"5*10","5*10",TRUE
"ru","bg",4,"atom","atom",TRUE
"ru","bg",90,"9*base","9*10",FALSE
"ru","bg",10,"atom","atom",TRUE
"ru","bg",70,"7*10","7*10",TRUE
"ru","bg",8,"atom","atom",TRUE
"ru","bg",12,"2+10","2+10",TRUE
"ru","bg",9,"atom","atom",TRUE
"pt","ru",1000,"1000","1000",TRUE
"pt","ru",100,"100","100",TRUE
"pt","ru",2,"atom","atom",TRUE
"pt","ru",3,"atom","atom",TRUE
"pt","ru",11,"1+10","1+10",TRUE
"pt","ru",70,"7*base","7*10",FALSE
"pt","ru",10,"atom","atom",TRUE
"pt","ru",50,"5*base","5*10",FALSE
"pt","ru",60,"6*base","6*10",FALSE
"pt","ru",4,"atom","atom",TRUE
"pt","ru",5,"atom","atom",TRUE
"pt","ru",6,"atom","atom",TRUE
"pt","ru",80,"8*base","8*10",FALSE
"pt","ru",12,"2+10","2+10",TRUE
"pt","ru",20,"atom","2*base",FALSE
"pt","ru",30,"3*base","3*base",TRUE
"pt","ru",40,"4*base","atom",FALSE
"pt","ru",90,"9*base","9*base",TRUE
"pt","ru",9,"atom","atom",TRUE
"pt","ru",8,"atom","atom",TRUE
"en","it",1,"atom","atom",TRUE
"en","it",90,"9*10","9*base",FALSE
"en","it",70,"7*10","7*base",FALSE
"en","it",80,"8*10","8*base",FALSE
"en","it",60,"6*10","6*base",FALSE
"en","it",50,"5*10","5*base",FALSE
"en","it",2,"atom","atom",TRUE
"en","it",6,"atom","atom",TRUE
"en","it",12,"atom","2+10",FALSE
"en","it",5,"atom","atom",TRUE
"en","it",30,"3*10","3*base",FALSE
"en","it",9,"atom","atom",TRUE
"en","it",7,"atom","atom",TRUE
"en","it",20,"2*10","atom",FALSE
"en","it",3,"atom","atom",TRUE
"en","it",4,"atom","atom",TRUE
"en","it",40,"4*10","4*base",FALSE
"en","it",10,"atom","atom",TRUE
"en","it",8,"atom","atom",TRUE
"it","sv",1,"atom","atom",TRUE
"it","sv",1,"atom","atom",TRUE
"it","sv",1000,"1000","(1*)1000",FALSE
"it","sv",2,"atom","atom",TRUE
"it","sv",60,"6*base","6*10",FALSE
"it","sv",100,"100","(1*)100",FALSE
"it","sv",70,"7*base","7*10",FALSE
"it","sv",90,"9*base","9*10",FALSE
"it","sv",80,"8*base","8*10",FALSE
"it","sv",50,"5*base","5*10",FALSE
"it","sv",30,"3*base","3*10",FALSE
"it","sv",40,"4*base","4*10",FALSE
"it","sv",20,"atom","atom",TRUE
"it","sv",6,"atom","atom",TRUE
"it","sv",3,"atom","atom",TRUE
"it","sv",9,"atom","atom",TRUE
"it","sv",12,"2+10","atom",FALSE
"it","sv",7,"atom","atom",TRUE
"it","sv",10,"atom","atom",TRUE
"it","sv",4,"atom","atom",TRUE
"it","sv",5,"atom","atom",TRUE
"it","sv",8,"atom","atom",TRUE
"hu","es",7,"atom","atom",TRUE
"hu","es",1,"atom","atom",TRUE
"hu","es",1000,"1000","1000",TRUE
"hu","es",7,"atom","atom",TRUE
"hu","es",100,"100","100",TRUE
"hu","es",100,"100","100",TRUE
"hu","es",3,"atom","atom",TRUE
"hu","es",90,"9*10","9*base",FALSE
"hu","es",6,"atom","atom",TRUE
"hu","es",5,"atom","atom",TRUE
"hu","es",8,"atom","atom",TRUE
"hu","es",30,"3*10","3*base",FALSE
"hu","es",20,"2*10","atom",FALSE
"hu","es",4,"atom","atom",TRUE
"hu","es",60,"6*10","6*base",FALSE
"hu","es",11,"10+1","1+base",FALSE
"hu","es",9,"atom","atom",TRUE
"hu","es",80,"8*10","8*base",FALSE
"hu","es",10,"atom","atom",TRUE
"hu","es",70,"7*10","7*base",FALSE
"hu","es",50,"5*10","5*base",FALSE
"hu","es",40,"4*10","4*base",FALSE
"de","fi",1000,"1000","1000",TRUE
"de","fi",100,"100","100",TRUE
"de","fi",80,"8*10","8*10",TRUE
"de","fi",2,"atom","atom",TRUE
"de","fi",6,"atom","atom",TRUE
"de","fi",11,"atom","1+2ndbase",FALSE
"de","fi",90,"9*10","9*10",TRUE
"de","fi",70,"7*10","7*10",TRUE
"de","fi",3,"atom","atom",TRUE
"de","fi",4,"atom","atom",TRUE
"de","fi",8,"atom","atom",TRUE
"de","fi",5,"atom","atom",TRUE
"de","fi",9,"atom","atom",TRUE
"de","fi",12,"atom","2+2ndbase",FALSE
"de","fi",20,"2*10","2*10",TRUE
"de","fi",10,"atom","atom",TRUE
"de","fi",30,"3*10","3*10",TRUE
"de","fi",40,"4*10","4*10",TRUE
"de","fi",60,"6*10","6*10",TRUE
"de","fi",50,"5*10","5*10",TRUE
"de","no",1000,"1000","(1*)1000",FALSE
"de","no",2,"atom","atom",TRUE
"de","no",100,"100","(1*)100",FALSE
"de","no",3,"atom","atom",TRUE
"de","no",90,"9*10","9*10",TRUE
"de","no",4,"atom","atom",TRUE
"de","no",5,"atom","atom",TRUE
"de","no",80,"8*10","8*10",TRUE
"de","no",50,"5*10","5*10",TRUE
"de","no",40,"4*10","4*10/4*baseS",FALSE
"de","no",6,"atom","atom",TRUE
"de","no",70,"7*10","7*10",TRUE
"de","no",11,"atom","atom",TRUE
"de","no",9,"atom","atom",TRUE
"de","no",30,"3*10","3*10/3*base",FALSE
"de","no",10,"atom","atom",TRUE
"de","no",8,"atom","atom",TRUE
"de","no",20,"2*10","atom",FALSE
"de","no",12,"atom","atom",TRUE
"de","no",60,"6*10","6*10",TRUE
"nl","cs",1000,"1000","1000",TRUE
"nl","cs",90,"9*10","9*10",TRUE
"nl","cs",80,"8*10","8*10",TRUE
"nl","cs",70,"7*10","7*10",TRUE
"nl","cs",100,"100","100",TRUE
"nl","cs",8,"atom","atom",TRUE
"nl","cs",2,"atom","atom",TRUE
"nl","cs",60,"6*10","6*10",TRUE
"nl","cs",7,"atom","atom",TRUE
"nl","cs",5,"atom","atom",TRUE
"nl","cs",3,"atom","atom",TRUE
"nl","cs",6,"atom","atom",TRUE
"nl","cs",10,"atom","atom",TRUE
"nl","cs",9,"atom","atom",TRUE
"nl","cs",50,"5*10","5*10",TRUE
"nl","cs",4,"atom","atom",TRUE
"nl","cs",12,"atom","2+base",FALSE
"nl","cs",11,"atom","1+base",FALSE
"nl","cs",30,"3*10","3*base",FALSE
"nl","cs",40,"4*10","4*base",FALSE
"nl","cs",20,"2*10","2*base",FALSE
"ru","fi",1,"atom","atom",TRUE
"ru","fi",1,"atom","atom",TRUE
"ru","fi",1000,"1000","1000",TRUE
"ru","fi",2,"atom","atom",TRUE
"ru","fi",100,"100","100",TRUE
"ru","fi",3,"atom","atom",TRUE
"ru","fi",5,"atom","atom",TRUE
"ru","fi",6,"atom","atom",TRUE
"ru","fi",4,"atom","atom",TRUE
"ru","fi",11,"1+10","1+2ndbase",FALSE
"ru","fi",10,"atom","atom",TRUE
"ru","fi",12,"2+10","2+2ndbase",FALSE
"ru","fi",8,"atom","atom",TRUE
"ru","fi",9,"atom","atom",TRUE
"ru","fi",50,"5*10","5*10",TRUE
"ru","fi",40,"atom","4*10",FALSE
"ru","fi",60,"6*10","6*10",TRUE
"ru","fi",70,"7*10","7*10",TRUE
"ru","fi",30,"3*base","3*10",FALSE
"ru","fi",20,"2*base","2*10",FALSE
"ru","fi",80,"8*10","8*10",TRUE
"ru","fi",90,"9*base","9*10",FALSE
"it","ru",1,"atom","atom",TRUE
"it","ru",1000,"1000","1000",TRUE
"it","ru",90,"9*base","9*base",TRUE
"it","ru",80,"8*base","8*10",FALSE
"it","ru",70,"7*base","7*10",FALSE
"it","ru",60,"6*base","6*10",FALSE
"it","ru",100,"100","100",TRUE
"it","ru",50,"5*base","5*10",FALSE
"it","ru",6,"atom","atom",TRUE
"it","ru",12,"2+10","2+10",TRUE
"it","ru",30,"3*base","3*base",TRUE
"it","ru",5,"atom","atom",TRUE
"it","ru",9,"atom","atom",TRUE
"it","ru",7,"atom","atom",TRUE
"it","ru",2,"atom","atom",TRUE
"it","ru",40,"4*base","atom",FALSE
"it","ru",10,"atom","atom",TRUE
"it","ru",20,"atom","2*base",FALSE
"it","ru",3,"atom","atom",TRUE
"it","ru",4,"atom","atom",TRUE
"it","ru",8,"atom","atom",TRUE
"nl","fi",1000,"1000","1000",TRUE
"nl","fi",70,"7*10","7*10",TRUE
"nl","fi",80,"8*10","8*10",TRUE
"nl","fi",90,"9*10","9*10",TRUE
"nl","fi",60,"6*10","6*10",TRUE
"nl","fi",100,"100","100",TRUE
"nl","fi",2,"atom","atom",TRUE
"nl","fi",8,"atom","atom",TRUE
"nl","fi",10,"atom","atom",TRUE
"nl","fi",7,"atom","atom",TRUE
"nl","fi",4,"atom","atom",TRUE
"nl","fi",50,"5*10","5*10",TRUE
"nl","fi",6,"atom","atom",TRUE
"nl","fi",5,"atom","atom",TRUE
"nl","fi",3,"atom","atom",TRUE
"nl","fi",9,"atom","atom",TRUE
"nl","fi",12,"atom","2+2ndbase",FALSE
"nl","fi",11,"atom","1+2ndbase",FALSE
"nl","fi",30,"3*10","3*10",TRUE
"nl","fi",40,"4*10","4*10",TRUE
"nl","fi",20,"2*10","2*10",TRUE
"ru","sv",1,"atom","atom",TRUE
"ru","sv",1,"atom","atom",TRUE
"ru","sv",1,"atom","atom",TRUE
"ru","sv",1000,"1000","(1*)1000",FALSE
"ru","sv",2,"atom","atom",TRUE
"ru","sv",100,"100","(1*)100",FALSE
"ru","sv",3,"atom","atom",TRUE
"ru","sv",40,"atom","4*10",FALSE
"ru","sv",30,"3*base","3*10",FALSE
"ru","sv",70,"7*10","7*10",TRUE
"ru","sv",20,"2*base","atom",FALSE
"ru","sv",4,"atom","atom",TRUE
"ru","sv",10,"atom","atom",TRUE
"ru","sv",50,"5*10","5*10",TRUE
"ru","sv",80,"8*10","8*10",TRUE
"ru","sv",5,"atom","atom",TRUE
"ru","sv",90,"9*base","9*10",FALSE
"ru","sv",11,"1+10","atom",FALSE
"ru","sv",8,"atom","atom",TRUE
"ru","sv",6,"atom","atom",TRUE
"ru","sv",60,"6*10","6*10",TRUE
"ru","sv",12,"2+10","atom",FALSE
"ru","sv",9,"atom","atom",TRUE
"en","pt",1,"atom","atom",TRUE
"en","pt",2,"atom","atom",TRUE
"en","pt",3,"atom","atom",TRUE
"en","pt",80,"8*10","8*base",FALSE
"en","pt",70,"7*10","7*base",FALSE
"en","pt",90,"9*10","9*base",FALSE
"en","pt",10,"atom","atom",TRUE
"en","pt",20,"2*10","atom",FALSE
"en","pt",60,"6*10","6*base",FALSE
"en","pt",4,"atom","atom",TRUE
"en","pt",50,"5*10","5*base",FALSE
"en","pt",30,"3*10","3*base",FALSE
"en","pt",11,"atom","1+10",FALSE
"en","pt",40,"4*10","4*base",FALSE
"en","pt",5,"atom","atom",TRUE
"en","pt",7,"atom","atom",TRUE
"en","pt",6,"atom","atom",TRUE
"en","pt",12,"atom","2+10",FALSE
"en","pt",8,"atom","atom",TRUE
"en","pt",9,"atom","atom",TRUE
"it","bg",1,"atom","atom",TRUE
"it","bg",1000,"1000","1000",TRUE
"it","bg",90,"9*base","9*10",FALSE
"it","bg",70,"7*base","7*10",FALSE
"it","bg",80,"8*base","8*10",FALSE
"it","bg",100,"100","100",TRUE
"it","bg",60,"6*base","6*10",FALSE
"it","bg",12,"2+10","2+10",TRUE
"it","bg",20,"atom","2*10",FALSE
"it","bg",20,"atom","2*10",FALSE
"it","bg",12,"2+10","2+10",TRUE
"it","bg",9,"atom","atom",TRUE
"it","bg",2,"atom","atom",TRUE
"it","bg",6,"atom","atom",TRUE
"it","bg",50,"5*base","5*10",FALSE
"it","bg",7,"atom","atom",TRUE
"it","bg",10,"atom","atom",TRUE
"it","bg",8,"atom","atom",TRUE
"it","bg",5,"atom","atom",TRUE
"it","bg",30,"3*base","3*10",FALSE
"it","bg",4,"atom","atom",TRUE
"it","bg",3,"atom","atom",TRUE
"it","bg",40,"4*base","4*10",FALSE
"de","ru",1000,"1000","1000",TRUE
"de","ru",100,"100","100",TRUE
"de","ru",2,"atom","atom",TRUE
"de","ru",90,"9*10","9*base",FALSE
"de","ru",70,"7*10","7*10",TRUE
"de","ru",80,"8*10","8*10",TRUE
"de","ru",40,"4*10","atom",FALSE
"de","ru",11,"atom","1+10",FALSE
"de","ru",3,"atom","atom",TRUE
"de","ru",50,"5*10","5*10",TRUE
"de","ru",30,"3*10","3*base",FALSE
"de","ru",10,"atom","atom",TRUE
"de","ru",5,"atom","atom",TRUE
"de","ru",6,"atom","atom",TRUE
"de","ru",20,"2*10","2*base",FALSE
"de","ru",12,"atom","2+10",FALSE
"de","ru",4,"atom","atom",TRUE
"de","ru",60,"6*10","6*10",TRUE
"de","ru",9,"atom","atom",TRUE
"de","ru",8,"atom","atom",TRUE
"en","bg",1,"atom","atom",TRUE
"en","bg",2,"atom","atom",TRUE
"en","bg",11,"atom","1+10",FALSE
"en","bg",3,"atom","atom",TRUE
"en","bg",12,"atom","2+10",FALSE
"en","bg",20,"2*10","2*10",TRUE
"en","bg",20,"2*10","2*10",TRUE
"en","bg",5,"atom","atom",TRUE
"en","bg",30,"3*10","3*10",TRUE
"en","bg",10,"atom","atom",TRUE
"en","bg",60,"6*10","6*10",TRUE
"en","bg",11,"atom","1+10",FALSE
"en","bg",40,"4*10","4*10",TRUE
"en","bg",80,"8*10","8*10",TRUE
"en","bg",4,"atom","atom",TRUE
"en","bg",70,"7*10","7*10",TRUE
"en","bg",50,"5*10","5*10",TRUE
"en","bg",12,"atom","2+10",FALSE
"en","bg",6,"atom","atom",TRUE
"en","bg",8,"atom","atom",TRUE
"en","bg",90,"9*10","9*10",TRUE
"en","bg",9,"atom","atom",TRUE
"en","bg",7,"atom","atom",TRUE
"pt","de",1000,"1000","1000",TRUE
"pt","de",100,"100","100",TRUE
"pt","de",2,"atom","atom",TRUE
"pt","de",80,"8*base","8*10",FALSE
"pt","de",90,"9*base","9*10",FALSE
"pt","de",70,"7*base","7*10",FALSE
"pt","de",40,"4*base","4*10",FALSE
"pt","de",50,"5*base","5*10",FALSE
"pt","de",30,"3*base","3*10",FALSE
"pt","de",11,"1+10","atom",FALSE
"pt","de",60,"6*base","6*10",FALSE
"pt","de",10,"atom","atom",TRUE
"pt","de",3,"atom","atom",TRUE
"pt","de",20,"atom","2*10",FALSE
"pt","de",9,"atom","atom",TRUE
"pt","de",12,"2+10","atom",FALSE
"pt","de",5,"atom","atom",TRUE
"pt","de",4,"atom","atom",TRUE
"pt","de",8,"atom","atom",TRUE
"pt","de",6,"atom","atom",TRUE
"es","uk",1,"atom","atom",TRUE
"es","uk",2,"atom","atom",TRUE
"es","uk",1000,"1000","1000",TRUE
"es","uk",100,"100","100",TRUE
"es","uk",40,"4*base","atom",FALSE
"es","uk",4,"atom","atom",TRUE
"es","uk",60,"6*base","6*10",FALSE
"es","uk",11,"1+base","1+10",FALSE
"es","uk",20,"atom","2*10",FALSE
"es","uk",30,"3*base","3*10",FALSE
"es","uk",12,"2+base","2+10",FALSE
"es","uk",70,"7*base","7*10",FALSE
"es","uk",80,"8*base","8*10",FALSE
"es","uk",10,"atom","atom",TRUE
"es","uk",6,"atom","atom",TRUE
"es","uk",8,"atom","atom",TRUE
"hu","fr",7,"atom","atom",TRUE
"hu","fr",1,"atom","atom",TRUE
"hu","fr",1000,"1000","1000",TRUE
"hu","fr",7,"atom","atom",TRUE
"hu","fr",3,"atom","atom",TRUE
"hu","fr",4,"atom","atom",TRUE
"hu","fr",20,"2*10","atom",FALSE
"hu","fr",6,"atom","atom",TRUE
"hu","fr",10,"atom","atom",TRUE
"hu","fr",8,"atom","atom",TRUE
"hu","fr",9,"atom","atom",TRUE
"hu","fr",11,"10+1","1+base",FALSE
"hu","fr",50,"5*10","5*base",FALSE
"hu","fr",5,"atom","atom",TRUE
"hu","fr",30,"3*10","3*base",FALSE
"hu","fr",60,"6*10","6*base",FALSE
"hu","fr",100,"100","100",TRUE
"hu","fr",40,"4*10","4*base",FALSE
"it","fi",1,"atom","atom",TRUE
"it","fi",1000,"1000","1000",TRUE
"it","fi",80,"8*base","8*10",FALSE
"it","fi",70,"7*base","7*10",FALSE
"it","fi",90,"9*base","9*10",FALSE
"it","fi",60,"6*base","6*10",FALSE
"it","fi",6,"atom","atom",TRUE
"it","fi",50,"5*base","5*10",FALSE
"it","fi",2,"atom","atom",TRUE
"it","fi",4,"atom","atom",TRUE
"it","fi",3,"atom","atom",TRUE
"it","fi",7,"atom","atom",TRUE
"it","fi",12,"2+10","2+2ndbase",FALSE
"it","fi",9,"atom","atom",TRUE
"it","fi",100,"100","100",TRUE
"it","fi",5,"atom","atom",TRUE
"it","fi",30,"3*base","3*10",FALSE
"it","fi",10,"atom","atom",TRUE
"it","fi",8,"atom","atom",TRUE
"it","fi",20,"atom","2*10",FALSE
"it","fi",40,"4*base","4*10",FALSE
"en","no",1,"atom","atom",TRUE
"en","no",1,"atom","atom",TRUE
"en","no",2,"atom","atom",TRUE
"en","no",3,"atom","atom",TRUE
"en","no",4,"atom","atom",TRUE
"en","no",5,"atom","atom",TRUE
"en","no",7,"atom","atom",TRUE
"en","no",8,"atom","atom",TRUE
"en","no",10,"atom","atom",TRUE
"en","no",6,"atom","atom",TRUE
"en","no",11,"atom","atom",TRUE
"en","no",90,"9*10","9*10",TRUE
"en","no",9,"atom","atom",TRUE
"en","no",70,"7*10","7*10",TRUE
"en","no",12,"atom","atom",TRUE
"en","no",40,"4*10","4*10/4*baseS",FALSE
"en","no",50,"5*10","5*10",TRUE
"en","no",20,"2*10","atom",FALSE
"en","no",80,"8*10","8*10",TRUE
"en","no",30,"3*10","3*10/3*base",FALSE
"en","no",60,"6*10","6*10",TRUE
"it","nl",1000,"1000","1000",TRUE
"it","nl",1,"atom","atom",TRUE
"it","nl",100,"100","100",TRUE
"it","nl",90,"9*base","9*10",FALSE
"it","nl",2,"atom","atom",TRUE
"it","nl",40,"4*base","4*10",FALSE
"it","nl",30,"3*base","3*10",FALSE
"it","nl",20,"atom","2*10",FALSE
"it","nl",80,"8*base","8*10",FALSE
"it","nl",70,"7*base","7*10",FALSE
"it","nl",50,"5*base","5*10",FALSE
"it","nl",60,"6*base","6*10",FALSE
"it","nl",6,"atom","atom",TRUE
"it","nl",10,"atom","atom",TRUE
"it","nl",3,"atom","atom",TRUE
"it","nl",12,"2+10","atom",FALSE
"it","nl",9,"atom","atom",TRUE
"it","nl",4,"atom","atom",TRUE
"it","nl",5,"atom","atom",TRUE
"it","nl",7,"atom","atom",TRUE
"it","nl",8,"atom","atom",TRUE
"en","uk",1,"atom","atom",TRUE
"en","uk",7,"atom","atom",TRUE
"en","uk",2,"atom","atom",TRUE
"en","uk",3,"atom","atom",TRUE
"en","uk",40,"4*10","atom",FALSE
"en","uk",70,"7*10","7*10",TRUE
"en","uk",4,"atom","atom",TRUE
"en","uk",60,"6*10","6*10",TRUE
"en","uk",80,"8*10","8*10",TRUE
"en","uk",30,"3*10","3*10",TRUE
"en","uk",10,"atom","atom",TRUE
"en","uk",11,"atom","1+10",FALSE
"en","uk",6,"atom","atom",TRUE
"en","uk",20,"2*10","2*10",TRUE
"en","uk",12,"atom","2+10",FALSE
"en","uk",8,"atom","atom",TRUE
"hu","fi",7,"atom","atom",TRUE
"hu","fi",1,"atom","atom",TRUE
"hu","fi",1000,"1000","1000",TRUE
"hu","fi",7,"atom","atom",TRUE
"hu","fi",3,"atom","atom",TRUE
"hu","fi",4,"atom","atom",TRUE
"hu","fi",100,"100","100",TRUE
"hu","fi",5,"atom","atom",TRUE
"hu","fi",6,"atom","atom",TRUE
"hu","fi",20,"2*10","2*10",TRUE
"hu","fi",11,"10+1","1+2ndbase",FALSE
"hu","fi",10,"atom","atom",TRUE
"hu","fi",30,"3*10","3*10",TRUE
"hu","fi",9,"atom","atom",TRUE
"hu","fi",8,"atom","atom",TRUE
"hu","fi",80,"8*10","8*10",TRUE
"hu","fi",60,"6*10","6*10",TRUE
"hu","fi",40,"4*10","4*10",TRUE
"hu","fi",50,"5*10","5*10",TRUE
"hu","fi",70,"7*10","7*10",TRUE
"hu","fi",90,"9*10","9*10",TRUE
"bg","sv",1,"atom","atom",TRUE
"bg","sv",1,"atom","atom",TRUE
"bg","sv",1000,"1000","(1*)1000",FALSE
"bg","sv",100,"100","(1*)100",FALSE
"bg","sv",20,"2*10","atom",FALSE
"bg","sv",30,"3*10","3*10",TRUE
"bg","sv",40,"4*10","4*10",TRUE
"bg","sv",11,"1+10","atom",FALSE
"bg","sv",50,"5*10","5*10",TRUE
"bg","sv",3,"atom","atom",TRUE
"bg","sv",70,"7*10","7*10",TRUE
"bg","sv",80,"8*10","8*10",TRUE
"bg","sv",90,"9*10","9*10",TRUE
"bg","sv",10,"atom","atom",TRUE
"bg","sv",4,"atom","atom",TRUE
"bg","sv",5,"atom","atom",TRUE
"bg","sv",8,"atom","atom",TRUE
"bg","sv",12,"2+10","atom",FALSE
"bg","sv",9,"atom","atom",TRUE
"bg","sv",7,"atom","atom",TRUE
"bg","sv",6,"atom","atom",TRUE
"da","sv",70,"3.5*20","7*10",FALSE
"da","sv",90,"4.5*20","9*10",FALSE
"da","sv",2,"atom","atom",TRUE
"da","sv",100,"(1*)100","(1*)100",TRUE
"da","sv",80,"4*20","8*10",FALSE
"da","sv",60,"3*20","6*10",FALSE
"da","sv",40,"4*base","4*10",FALSE
"da","sv",30,"3*base","3*10",FALSE
"da","sv",50,"2.5*20","5*10",FALSE
"da","sv",20,"2*base","atom",FALSE
"da","sv",10,"atom","atom",TRUE
"da","sv",9,"atom","atom",TRUE
"da","sv",3,"atom","atom",TRUE
"da","sv",6,"atom","atom",TRUE
"da","sv",7,"atom","atom",TRUE
"da","sv",12,"atom","atom",TRUE
"da","sv",11,"atom","atom",TRUE
"da","sv",5,"atom","atom",TRUE
"da","sv",4,"atom","atom",TRUE
"da","sv",8,"atom","atom",TRUE
"uk","no",1,"atom","atom",TRUE
"uk","no",1,"atom","atom",TRUE
"uk","no",1,"atom","atom",TRUE
"uk","no",7,"atom","atom",TRUE
"uk","no",2,"atom","atom",TRUE
