l1,l2,wordform_l1,wordform_l2,local_alignment,global_alignment,freq_l1,freq_l2,neighbour_overlap,global_density_l1,global_density_l2,local_density_l1,local_density_l2,editdistance,k,n,Number
fr,uk,neuf,новий,0.0031926858140900183,0.852864857054552,4.89,5.51,26.0,0.17968625924269002,0.1646747942713572,205.02202179590927,187.89394026361853,5,100,1141,nine
fr,uk,un,один,0.3840410360375188,0.9532040801440024,7.12,6.06,41.0,0.2315325663599762,0.1734362093232262,264.17865821673286,197.89071483780108,4,100,1141,one
fr,uk,mille,тисяча,0.7381689282856827,0.941250067451856,4.8,4.03,40.0,0.18497985593056052,0.16851875770737182,211.06201561676963,192.27990254411125,6,100,1141,thousand
fr,uk,deux,два,0.7713660557720705,0.9560249603212382,6.2,5.86,56.0,0.2026795133125254,0.1574033351990091,231.25732468959148,179.59720546206935,4,100,1141,two
fr,uk,quarante,сорок,0.8268742139122539,0.9318964916711056,4.36,4.49,38.0,0.1811583959771044,0.1822524225447315,206.7017298098761,207.95001412353864,8,100,1141,forty
fr,uk,soixante,шістдесят,0.8413910612521547,0.9326924407633604,4.28,3.2,43.0,0.17197254220195438,0.17447387598478525,196.22067065243,199.07469249864,9,100,1141,sixty
fr,uk,quatre,чотири,0.8474560008850061,0.9519968683412184,5.44,5.16,48.0,0.17906605965737896,0.15825850188606574,204.3143740690694,180.57295065200103,6,100,1141,four
fr,uk,trente,тридцять,0.8552148025985278,0.9390480200701652,4.67,4.17,41.0,0.16897220139097655,0.17831440264188134,192.79728178710425,203.45673341438663,8,100,1141,thirty
fr,uk,cent,сто,0.8582845026874206,0.9416462594723272,4.81,4.89,39.0,0.17455791322191447,0.16915195219592055,199.17057898620442,193.0023774555453,4,100,1141,hundred
fr,uk,huit,вісім,0.8593136077319374,0.9481080565527124,4.97,4.61,58.0,0.1749778731871284,0.1590675741990716,199.64975330651347,181.49610216114067,5,100,1141,eight
fr,uk,vingt,двадцять,0.8599864241421911,0.9438944587202538,4.91,4.68,45.0,0.17883332187579348,0.16938129066184854,204.04882026028042,193.2640526451692,8,100,1141,twenty
fr,uk,six,шість,0.8634383820869311,0.9513602368168608,5.17,4.86,57.0,0.16996825773633145,0.16099711272571884,193.93378207715412,183.6977056200452,5,100,1141,six
de,bg,tausend,хиляда,0.7283927754307378,0.9455544658677028,4.52,4.21,43.0,0.2010461772068282,0.17743402301410313,202.85559280168968,179.03092922123005,7,100,1009,thousand
de,bg,zwei,два,0.8423716936404544,0.952052076110182,5.97,5.78,51.0,0.19576060667635514,0.16410612266638627,197.5224521364424,165.58307777038377,4,100,1009,two
de,bg,hundert,сто,0.852813724316837,0.9431671573281596,4.59,4.81,44.0,0.19820068133769567,0.16752591831836108,199.98448746973492,169.03365158322634,7,100,1009,hundred
de,bg,zwanzig,двадесет,0.8965345807989884,0.9483242994614164,4.26,4.43,52.0,0.2087301961487031,0.1521472946163807,210.60876791404144,153.51662026792818,8,100,1009,twenty
de,bg,elf,единайсет,0.8977894430871343,0.9194266328109432,4.53,3.23,39.0,0.1663558797368201,0.1740442159248785,167.85308265445147,175.6106138682024,9,100,1009,eleven
de,bg,elf,единадесет,0.9002482943257726,0.9459153078366812,4.53,3.89,58.0,0.1663558797368201,0.15705329866620704,167.85308265445147,158.4667783542029,10,100,1009,eleven
de,bg,zwanzig,двайсет,0.9042536044651948,0.9486690450446968,4.26,3.71,42.0,0.2087301961487031,0.18402630848360896,210.60876791404144,185.68254525996147,7,100,1009,twenty
de,bg,dreißig,тридесет,0.9090052722445604,0.9430690808976648,3.95,4.13,44.0,0.2004359874729593,0.15082379545511052,202.23991136021598,152.18120961420652,8,100,1009,thirty
de,bg,zwölf,дванайсет,0.9107950633917616,0.9229472551839599,4.67,3.43,38.0,0.1666180457438102,0.17853327480013967,168.11760815550448,180.1400742733409,9,100,1009,twelve
de,bg,vierzig,четиридесет,0.9109908692827312,0.9533629046679556,3.77,3.87,42.0,0.1953930182778265,0.17108765265577314,197.151555442327,172.6274415296751,11,100,1009,forty
de,bg,neunzig,деветдесет,0.9124591817334344,0.9317452729299038,2.85,3.44,39.0,0.1957555156741746,0.15842410938058726,197.51731531524212,159.84992636501252,10,100,1009,ninety
de,bg,sechzig,шестдесет,0.9145403795705254,0.9378541134757712,3.43,3.48,39.0,0.18375359113422704,0.15272306919431458,185.4073734544351,154.0975768170634,9,100,1009,sixty
de,bg,fünfzig,петдесет,0.9212186434124172,0.9411818519390396,3.83,4.24,43.0,0.18578738710336146,0.15297763894309904,187.45947358729168,154.3544376935869,8,100,1009,fifty
de,bg,drei,три,0.9213446420531606,0.9637845902775504,5.75,5.89,52.0,0.19353032724624766,0.17706267142115725,195.2721001914639,178.65623546394764,4,100,1009,three
de,bg,siebzig,седемдесет,0.9225648761088512,0.9430964234324416,3.18,3.68,48.0,0.17658084779298258,0.15815306105803634,178.17007542311939,159.57643860755866,10,100,1009,seventy
de,bg,achtzig,осемдесет,0.9232920619612806,0.9401530454710401,3.18,3.67,44.0,0.19045520850867245,0.15208486086542078,192.1693053852505,153.45362461320957,9,100,1009,eighty
de,bg,neun,девет,0.9239610029192092,0.9530633670308108,4.77,4.83,49.0,0.1689734829508393,0.16186699038613742,170.49424429739685,163.32379329961262,5,100,1009,nine
de,bg,vier,четири,0.926704587369372,0.9571573975290932,5.47,5.45,56.0,0.1798314943306496,0.16582810105087487,181.44997777962544,167.32055396033275,6,100,1009,four
de,bg,fünf,пет,0.9267886357417968,0.9568623270726434,5.33,5.41,53.0,0.17949944941307028,0.16617090643928106,181.11494445778786,167.66644459723454,4,100,1009,five
de,bg,zwölf,дванадесет,0.9298034791632688,0.9454105377079464,4.67,4.03,47.0,0.1666180457438102,0.1611314270799704,168.11760815550448,162.58160992369014,10,100,1009,twelve
de,bg,sechs,шест,0.9325162264647452,0.9566722715857268,5.17,5.25,60.0,0.1769854982401565,0.17294731547104295,178.5783677243179,174.50384131028235,5,100,1009,six
de,bg,acht,осем,0.9331693869048644,0.9547520706121996,5.02,5.03,53.0,0.1759875648753047,0.16341646273121624,177.57145295918244,164.88721089579718,4,100,1009,eight
de,bg,zehn,десет,0.9351264045962272,0.9584604838572216,5.14,4.98,49.0,0.18060519718891693,0.17615548061817138,182.23064396361718,177.74087994373488,5,100,1009,ten
da,fi,halvfjerds,seitsemänkymmentä,0.5333444804078605,0.89673727929676,,2.64,35.0,0.16927334837882782,0.16990658995547264,193.81798389375786,194.5430454990162,16,100,1145,seventy
da,fi,halvfems,yhdeksänkymmentä,0.5661275224976099,0.898784262143561,,2.52,28.0,0.1919050254618672,0.17832414747724273,219.73125415383788,204.18114886144286,14,100,1145,ninety
da,fi,fyrre,neljäkymmentä,0.6699717822373616,0.8984594903138389,3.84,3.39,41.0,0.16828109283073678,0.16081863224840945,192.68185129119357,184.13733392442882,11,100,1145,forty
da,fi,hundrede,sata,0.6808771873533928,0.9272749310231247,4.85,4.87,48.0,0.18793000171029708,0.16857459616413248,215.17985195829013,193.01791260793166,8,100,1145,hundred
da,fi,firs,kahdeksankymmentä,0.7253707253077266,0.8718335910710372,3.28,2.58,32.0,0.14616053969277662,0.15943913542253307,167.35381794822922,182.55781005880038,16,100,1145,eighty
