"l","word","ipa","concept","homophone","otherMeanings","number"
"no","tre","t r e e","drei::NUM",TRUE,"Baum::N;Holz::N","3"
"sv","elva","ɛ l l v a","elf::NUM",TRUE,"zittern::V","11"
"fr","cent","s ɑ̃","hundert::NUM",TRUE,"Blut::N","100"
"fr","neuf","n œ f","neun::NUM",TRUE,"neu::A","9"
"uk","один","ɔ d ɪ n","eins::NUM",TRUE,"allein::ADV","1"
"ru","один","ɐ dʲ i n","eins::NUM",TRUE,"allein::ADV","1"
"fi","kuusi","k u u s i","sechs::NUM",TRUE,"Tanne::N","6"
"hu","hét","h e e t","sieben::NUM",TRUE,"Woche::N","7"
