language	ISO code	subgroup	1-10	11	12	13	14	15	16	17	18	19	teens summary	20	21	22	23	24	25	26	27	28	29	30	31	32	39	40	41	49	50	51	59	60	61	69	70	71	79	80	81	89	90	91	99	crowns summary	running-numbers summary	shift in base-atom order from teens to running-numbers	100	200	300	400	500	600	700	800	900	1000	2000	Chan (2006-2015) source	additional source	additional source page
Portuguese_ST	por	Romance	atom	1 + 10	2 + 10	3 + 10	4 + 10	5 + 10	10 + 6	10 + 7	10 + 8	10 + 9	atom + 10	atom	20 + 1	20 + 2	20 + 3	20 + 4	20 + 5	20 + 6	20 + 7	20 + 8	20 + 9	3 * base	30 + 1	30 + 2	30 + 9	4 * base	40 + 1	40 + 9	5 * base	50 + 1	50 + 9	6 * base	60 + 1	60 + 9	7 * base	70 + 1	70 + 9	8 * base	80 + 1	80 + 9	9 * base	90 + 1	90 + 9	base not10	base + atom	changes from atom + base to base + atom	100	2 * 100	3 * 100	4 * 100	5 * 100	6 * 100	7 * 100	8 * 100	9 * 100	1000	2 * 1000	http://lingweb.eva.mpg.de/numeral/Portuguese.htm	"Hutchinson, Amélia P. & Janet Lloyd. 2003. Portuguese: An essential grammar London: Routledge."	64ff
Spanish	spa	Romance	atom	1 + base	2 + base	3 + base	4 + base	5 + base	10 + 6	10 + 7	10 + 8	10 + 9	atom + base	atom	20 + 1	20 + 2	20 + 3	20 + 4	20 + 5	20 + 6	20 + 7	20 + 8	20 + 9	3 * base	30 + 1	30 + 2	30 + 9	4 * base	40 + 1	40 + 9	5 * base	50 + 1	50 + 9	6 * base	60 + 1	60 + 9	7 * base	70 + 1	70 + 9	8 * base	80 + 1	80 + 9	9 * base	90 + 1	90 + 9	base not10	base + atom	changes from atom + base to base + atom	100	2 * 100	3 * 100	4 * 100	5 * 100	6 * 100	7 * 100	8 * 100	9 * 100	1000	2 * 1000	http://lingweb.eva.mpg.de/numeral/Spanish.htm	"Butt, John & Carmen Benjamin. 1994. A new reference grammar of modern Spanish London: Edward Arnold."	114ff
Provencal	oci	Romance	atom	1 + base	2 + base	3 + base	4 + base	5 + base	6 + base	10 + 7	10 + 8	10 + 9	atom + base	atom	20 + 1	20 + 2	20 + 3	20 + 4	20 + 5	20 + 6	20 + 7	20 + 8	20 + 9	3 * base	30 + 1	30 + 2	30 + 9	4 * base	40 + 1	40 + 9	5 * base	50 + 1	50 + 9	6 * base	60 + 1	60 + 9	7 * base	70 + 1	70 + 9	8 * base	80 + 1	80 + 9	9 * base	90 + 1	90 + 9	base not10	base + atom	changes from atom + base to base + atom	100	2 * 100	3 * 100	4 * 100	5 * 100	6 * 100	7 * 100	8 * 100	9 * 100	1000	2 * 1000	http://lingweb.eva.mpg.de/numeral/Provencal.htm	"Blanchet, Philippe. 1999. Parlons Provençal Paris: L'Harmattan."	87ff
French	fra	Romance	atom	1 + base	2 + base	3 + base	4 + base	5 + base	6 + base	10 + 7	10 + 8	10 + 9	atom + base	atom	20 + 1	20 + 2	20 + 3	20 + 4	20 + 5	20 + 6	20 + 7	20 + 8	20 + 9	3 * base	30 + 1	30 + 2	30 + 9	4 * base	40 + 1	40 + 9	5 * base	50 + 1	50 + 9	6 * base	60 + 1	60 + 9	6 * base + 10	6 * 10 + 11	6 * 10 + 19	4 * 20	4 * 20 + 1	4 * 20 + 9	4 * 20 + 10	4 * 20 + 10	4 * 20 + 19	base not10	base + atom	changes from atom + base to base + atom	100	2 * 100	3 * 100	4 * 100	5 * 100	6 * 100	7 * 100	8 * 100	9 * 100	1000	2 * 1000	http://lingweb.eva.mpg.de/numeral/French.htm	"Booth, Trudie Maria. 2010. A complete French grammar for reference and practice Lanham: University Press of America."	1ff
Walloon	wln	Romance	atom	1 + base	2 + base	3 + base	4 + base	5 + base	6 + base	10 + 7	10 + 8	10 + 9	atom + base	atom	20 + 1	20 + 2	20 + 3	20 + 4	20 + 5	20 + 6	20 + 7	20 + 8	20 + 9	3 * base	30 + 1	30 + 2	30 + 9	4 * base	40 + 1	40 + 9	5 * base	50 + 1	50 + 9	6 * base	60 + 1	60 + 9	7 * base	70 + 1	70 + 9	4 * 20	4 * 20 + 1	4 * 20 + 9	9 * base	90 + 1	90 + 9	base not10	base + atom	changes from atom + base to base + atom	100	2 * 100	3 * 100	4 * 100	5 * 100	6 * 100	7 * 100	8 * 100	9 * 100	1000	2 * 1000	http://lingweb.eva.mpg.de/numeral/Walloon.htm		
Sardinian_L	src	Romance	atom	1 + 10	2 + 10	3 + 10	4 + 10	5 + 10	6 + 10	10 + 7	10 + 8	10 + 9	atom + 10	atom	20 + 1	20 + 2	20 + 3	20 + 4	20 + 5	20 + 6	20 + 7	20 + 8	20 + 9	3 * base	30 + 1	30 + 2	30 + 9	4 * base	40 + 1	40 + 9	5 * base	50 + 1	50 + 9	6 * base	60 + 1	60 + 9	7 * base	70 + 1	70 + 9	8 * base	80 + 1	80 + 9	9 * base	90 + 1	90 + 9	base not10	base + atom	changes from atom + base to base + atom	100	2 * 100	3 * 100	4 * 100	5 * 100	6 * 100	7 * 100	8 * 100	9 * 100	1000 / 10 * 100	20 * 100 / 2 * 1000	http://lingweb.eva.mpg.de/numeral/LogudoreseSardinian.htm	"Atzori, Maria Teresa. 1982. Sardegna Pisa: Pacini."	29-30
Romansh	roh	Romance	atom	1 + 10	2 + 10	3 + 10	4 + 10	5 + 10	6 + 10	10 + 7	10 + 8	10 + 9	atom + 10	atom	20 + 1	20 + 2	20 + 3	20 + 4	20 + 5	20 + 6	20 + 7	20 + 8	20 + 9	3 * base	30 + 1	30 + 2	30 + 9	4 * base	40 + 1	40 + 9	5 * base	50 + 1	50 + 9	6 * base	60 + 1	60 + 9	7 * base	70 + 1	70 + 9	8 * base	80 + 1	80 + 9	9 * base	90 + 1	90 + 9	base not10	base + atom	changes from atom + base to base + atom	100	2 * 100	3 * 100	4 * 100	5 * 100	6 * 100	7 * 100	8 * 100	9 * 100	1000	2 * 1000	http://lingweb.eva.mpg.de/numeral/Rumantsch.htm	"Stich, Dominique. 2007. Parlons Romanche Paris: L'Harmattan."	81
Ladin	lld	Romance	atom	1 + 10	2 + 10	3 + 10	4 + 10	5 + 10	6 + 10	10 + 7	10 + 8	10 + 9	atom + 10	atom	20 + 1	20 + 2	20 + 3	20 + 4	20 + 5	20 + 6	20 + 7	20 + 8	20 + 9	3 * base	30 + 1	30 + 2	30 + 9	4 * base	40 + 1	40 + 9	5 * base	50 + 1	50 + 9	6 * base	60 + 1	60 + 9	7 * base	70 + 1	70 + 9	8 * base	80 + 1	80 + 9	9 * base	90 + 1	90 + 9	base not10	base + atom	changes from atom + base to base + atom	100	2 * 100	3 * 100	4 * 100	5 * 100	6 * 100	7 * 100	8 * 100	9 * 100	1000	2 * 1000	http://lingweb.eva.mpg.de/numeral/Ladin.htm	"Valentini, Erwin. 2001. Grammatica dí Ladin Standard Vich: Institut Cultural Ladin ""majon di fascegn""."	57
Italian	ita	Romance	atom	1 + 10	2 + 10	3 + 10	4 + 10	5 + 10	6 + 10	10 + 7	10 + 8	10 + 9	atom + 10	atom	20 + 1	20 + 2	20 + 3	20 + 4	20 + 5	20 + 6	20 + 7	20 + 8	20 + 9	3 * base	30 + 1	30 + 2	30 + 9	4 * base	40 + 1	40 + 9	5 * base	50 + 1	50 + 9	6 * base	60 + 1	60 + 9	7 * base	70 + 1	70 + 9	8 * base	80 + 1	80 + 9	9 * base	90 + 1	90 + 9	base not10	base + atom	changes from atom + base to base + atom	100	2 * 100	3 * 100	4 * 100	5 * 100	6 * 100	7 * 100	8 * 100	9 * 100	1000	2 * 1000	http://lingweb.eva.mpg.de/numeral/Italian.htm	"Maiden, Martin & Robustelli. 2000. A reference grammar of modern Italian Lincolnwood: NTC."	188ff
Friulian	fur	Romance	atom	1 + 10	2 + 10	3 + 10	4 + 10	5 + 10	6 + 10	10 + 7	10 + 8	10 + 9	atom + 10	atom	20 + 1	20 + 2	20 + 3	20 + 4	20 + 5	20 + 6	20 + 7	20 + 8	20 + 9	3 * base	30 + 1	30 + 2	30 + 9	4 * base	40 + 1	40 + 9	5 * base	50 + 1	50 + 9	6 * base	60 + 1	60 + 9	7 * base	70 + 1	70 + 9	8 * base	80 + 1	80 + 9	9 * base	90 + 1	90 + 9	base not10	base + atom	changes from atom + base to base + atom	100	2 * 100	3 * 100	4 * 100	5 * 100	6 * 100	7 * 100	8 * 100	9 * 100	1000	2 * 1000	http://lingweb.eva.mpg.de/numeral/Friulian.htm	"Frau, Giorgio. 1997. Friuli Pisa: Pacini."	89
Luxembourgish	ltz	Germanic	atom	atom	atom	3 + 10	4 + 10	5 + 10	6 + 10	7 + 10	8 + 10	9 + 10	atom + 10	2 * 10	1 + 20	2 + 20	3 + 20	4 + 20	5 + 20	6 + 20	7 + 20	8 + 20	9 + 20	3 * 10	1 + 30	2 + 30	9 + 30	4 * 10	1  + 40	9 + 40	5 * 10	1 + 50	9 + 50	6 * 10	1 + 60	9 + 60	7 * 10	1 + 70	9 + 70	8 * 10	1 + 80	9 + 80	9 * 10	1 + 90	9 + 90	base 10	atom + base	stays atom + base	100	2 * 100	3 * 100	4 * 100	5 * 100	6 * 100	7 * 100	8 * 100	9 * 100	1000	2 * 1000	http://lingweb.eva.mpg.de/numeral/Luxembourg.htm	"Schanen, François. 2004. Parlons Luxembourgeois Paris: L'Harmattan."	162-163
German_ST 	deu	Germanic	atom	atom	atom	3 + 10	4 + 10	5 + 10	6 + 10	7 + 10	8 + 10	9 + 10	atom + 10	2 * 10	1 + 20	2 + 20	3 + 20	4 + 20	5 + 20	6 + 20	7 + 20	8 + 20	9 + 20	3 *  10	1 + 30	2 + 30	9 + 30	4 * 10	1  + 40	9 + 40	5 * 10	1 + 50	9 + 50	6 * 10	1 + 60	9 + 60	7 * 10	1 + 70	9 + 70	8 * 10	1 + 80	9 + 80	9 * 10	1 + 90	9 + 90	base 10	atom + base	stays atom + base	100	2 * 100	3 * 100	4 * 100	5 * 100	6 * 100	7 * 100	8 * 100	9 * 100	1000	2 * 1000	http://lingweb.eva.mpg.de/numeral/German.htm		
Old_High_German	goh	Germanic	atom	atom	atom	3 + 10	4 + 10	5 + 10	6 + 10	7 + 10	8 + 10	9 + 10	atom + 10	2 * 10	20 + 1/ 1 + 20	20 + 2/ 2 + 20	20 + 3/3 + 20	20 + 4/ 4 + 20	20 + 5/ 5 + 20	20 + 6/ 6+ 20	20 + 7/7 + 20	20 + 8/8 + 20	20 + 9/9 + 20	3 *  10	30 + 1/ 1 + 30	30 + 2/ 2 + 30	30 + 9/ 9 + 30	4 * 10	40 + 1/ 1 + 40	40 + 9/ 9 + 40	5 * 10	50 + 1/ 1 + 50	50 + 9/ 9+ 50	6 * 10	60 + 9/9 + 60	60 + 9/ 9 + 60	7 * 10	70 + 9/ 9 + 70	70 + 9/ 9 + 70	8 * 10	80 + 9/9 + 80	80 + 9/ 9 + 80	9 * 10	90 + 1/ 1 + 90	90 + 9/ 9 + 90	base 10	base + atom / atom + base	changes from atom + base to either order	10 * 10 / 100	2 * 100	3 * 100	4 * 100	5 * 100	6 * 100	7 * 100	8 * 100	9 * 100	1000			"Wright, J. 1906. An Old High German primer Oxford: Oxford University Press."	62ff
Dutch_List	nld	Germanic	atom	atom	atom	3 + 10	4 + 10	5 + 10	6 + 10	7 + 10	8 + 10	9 + 10	atom + 10	2 * 10	1 + 20	2 + 20	3 + 20	4 + 20	5 + 20	6 + 20	7 + 20	8 + 20	9 + 20	3 *  10	1 + 30	2 + 30	9 + 30	4 * 10	1  + 40	9 + 40	5 * 10	1 + 50	9 + 50	6 * 10	1 + 60	9 + 60	7 * 10	1 + 70	9 + 70	8 * 10	1 + 80	9 + 80	9 * 10	1 + 90	9 + 90	base 10	atom + base	stays atom + base	100	2 * 100	3 * 100	4 * 100	5 * 100	6 * 100	7 * 100	8 * 100	9 * 100	1000	2 * 1000	http://lingweb.eva.mpg.de/numeral/Dutch.htm	"Shetter, William Z. 1977. Introduction to Dutch. 4th edn. The Hague: Nijhoff."	65
Frisian	fry	Germanic	atom	atom	atom	3 + 10	4 + 10	5 + 10	6 + 10	7 + 10	8 + 10	9 + 10	atom + 10	2 * 10	1 + 20	2 + 20	3 + 20	4 + 20	5 + 20	6 + 20	7 + 20	8 + 20	9 + 20	3 *  10	1 + 30	2 + 30	9 + 30	4 * 10	1  + 40	9 + 40	5 * 10	1 + 50	9 + 50	6 * 10	1 + 60	9 + 60	7 * 10	1 + 70	9 + 70	8 * 10	1 + 80	9 + 80	9 * 10	1 + 90	9 + 90	base 10	atom + base	stays atom + base	100	2 * 100	3 * 100	4 * 100	5 * 100	6 * 100	7 * 100	8 * 100	9 * 100	1000	2 * 1000	http://lingweb.eva.mpg.de/numeral/WestFrisian.htm	"Tiersma, Pieter Meijes. 1999. Frisian reference grammar Jjouwert: Fryske Akademy."	83-84
Old_English	ang	Germanic	atom	atom	atom	3 + 10	4 + 10	5 + 10	6 + 10	7 + 10	8 + 10	9 + 10	atom + 10	2 * 10	1 + 20	2 + 20	3 + 20	4 + 20	5 + 20	6 + 20	7 + 20	8 + 20	9 + 20	3 *  10	1 + 30	2 + 30	9 + 30	4 * 10	1 + 40	9 + 40	5 * 10	1 + 50	9 + 50	6 * 10	1 + 60	9 + 60	7 * 10	1 + 70	9 + 70	8 * 10	1 + 80	9 + 80	9 * 10	1 + 90	9 + 90	base 10	atom + base	stays atom + base	10 * 10 / 100	2 * 100	3 * 100	4 * 100	5 * 100	6 * 100	7 * 100	8 * 100	9 * 100	1000			"Hogg, Richard M. & R. D. Fulk. 2011. A grammar of Old English; Volume 2: Morphology Oxford: Wiley-Blackwell."	185ff
English_ST	eng	Germanic	atom	atom	atom	3 + 10	4 + 10	5 + 10	6 + 10	7 + 10	8 + 10	9 + 10	atom + 10	2 * 10	20 + 1	20 + 2	20 + 3	20 + 4	20 + 5	20 + 6	20 + 7	20 + 8	20 + 9	3 * 10	30 + 1	30 + 2	30 + 9	4 * 10	40 + 1	40 + 9	5 * 10	50 + 1	50 + 9	6 * 10	60 + 1	60 + 9	7 * 10	70 + 1	70 + 9	8 * 10 	80 + 1	80 + 9	9 * 10	90 + 1	90 + 9	base 10	base + atom	changes from atom + base to base + atom	1 * 100	2 * 100	3 * 100	4 * 100	5 * 100	6 * 100	7 * 100	8 * 100	9 * 100	1 * 1000		http://lingweb.eva.mpg.de/numeral/English.htm		
Swedish_List	swe	Germanic	atom	atom	atom	3 + 10	4 + 10	5 + 10	6 + 10	7 + 10	8 + 10	9 + 10	atom + 10	atom	20 + 1	20 + 2	20 + 3	20 + 4	20 + 5	20 + 6	20 + 7	20 + 8	20 + 9	3 * 10	30 + 1	30 + 2	30 + 9	4 * 10	40 + 1	40 + 9	5 * 10	50 + 1	50 + 9	6 * 10	60 + 1	60 + 9	7 * 10	70 + 1	70 + 9	8 * 10 	80 + 1	80 + 9	9 * 10	90 + 1	90 + 9	base 10	base + atom	changes from atom + base to base + atom	(1 *) 100	2 * 100	3 * 100	4 * 100	5 * 100	6 * 100	7 * 100	8 * 100	9 * 100	(1 *) 1000	2 * 1000	http://lingweb.eva.mpg.de/numeral/Swedish.htm	"Holmes, Philip & Ian Hinchliffe. 2008. Swedish: An essential grammar London: Routledge."	94
Riksmal	nor	Germanic	atom	atom	atom	3 + 10	4 + 10	5 + 10	6 + 10	7 + 10	8 + 10	9 + 10	atom + 10	atom	20 + 1/ 1 + 20	20 + 2/ 2 + 20	20 + 3/3 + 20	20 + 4/ 4 + 20	20 + 5/ 5 + 20	20 + 6/ 6+ 20	20 + 7/7 + 20	20 + 8/8 + 20	20 + 9/9 + 20	3 * 10 / 3 * base	30 + 1/ 1 + 30	30 + 2/ 2 + 30	30 + 9/ 9 + 30	4 * 10 / 4 * baseS	40 + 1/ 1 + 40	40 + 9/ 9 + 40	5 * 10	50 + 1/ 1 + 50	50 + 9/ 9+ 50	6 * 10	60 + 9/9 + 60	60 + 9/ 9 + 60	7 * 10	70 + 9/ 9 + 70	70 + 9/ 9 + 70	8 * 10 	80 + 9/9 + 80	80 + 9/ 9 + 80	9 * 10	90 + 1/ 1 + 90	90 + 9/ 9 + 90	base 10	base + atom / atom + base	changes from atom + base to either order	(1 *) 100	2 * 100	3 * 100	4 * 100	5 * 100	6 * 100	7 * 100	8 * 100	9 * 100	(1 *) 1000	2 * 1000	http://lingweb.eva.mpg.de/numeral/Norwegian.htm	"Strandskogen, Åse-Berit & Rolf Strandskoen. 1999. Norwegian: An essential grammar London: Routledge."	147-148
Danish	dan	Germanic	atom	atom	atom	3 + base	4 + base	5 + base	6 + base	7 + base	8 + base	9 + base	atom + base	2 * base	1 + 20	2 + 20	3 + 20	4 + 20	5 + 20	6 + 20	7 + 20	8 + 20	9 + 20	3 * base	1 + 30	2 + 30	9 + 30	4 * base	1  + 40	9 + 40	2.5 * 20	1 + 50	9 + 50	3 * 20	1 + 60	9 + 60	3.5 * 20	1 + 70	9 + 70	4 * 20	1 + 80	9 + 80	4.5 * 20	1 + 90	9 + 90	base 20	atom + base	stays atom + base	(1 *) 100	2 * 100	3 * 100	4 * 100	5 * 100	6 * 100	7 * 100	8 * 100	9 * 100	(1 *) 1000	2 * 1000	http://lingweb.eva.mpg.de/numeral/Danish.htm	"Allan, Robin, Philip Holmes & Tom Lundskær-Nielsen. 1995. Danish: A comprehensive grammar London: Routledge."	51-52
