language,word,meaning,corpus,size,genre,word.count,freq.type,states,mean.roc,sd.roc,fpm,lfpm,clfpm,c.rate,word.type
English,Noun,BONE,"BNC, http://www.natcorp.ox.ac.uk",100000000,spoken&written,47,NA,13,1.34,0.03,0.47,-0.755022584278033,-2.99756120579421,-1.72969231870229,swadesh.word
English,Verb,TO BREATHE,"BNC, http://www.natcorp.ox.ac.uk",100000000,spoken&written,35,NA,18,2.48,0.04,0.35,-1.04982212449868,-3.29236074601486,-0.58969231870229,swadesh.word
English,Verb,TO BURN (INTRANSITIVE),"BNC, http://www.natcorp.ox.ac.uk",100000000,spoken&written,53,NA,20,2.94,0.03,0.53,-0.63487827243597,-2.87741689395215,-0.12969231870229,swadesh.word
English,Noun,CHILD (YOUNG),"BNC, http://www.natcorp.ox.ac.uk",100000000,spoken&written,710,NA,36,6.31,0.03,7.1,1.96009478404727,-0.282443837468908,3.24030768129771,swadesh.word
English,Noun,CLOUD,"BNC, http://www.natcorp.ox.ac.uk",100000000,spoken&written,37,NA,24,3.25,0.03,0.37,-0.994252273343867,-3.23679089486005,0.18030768129771,swadesh.word
English,Adj.,COLD (WEATHER),"BNC, http://www.natcorp.ox.ac.uk",100000000,spoken&written,103,NA,22,3.58,0.03,1.03,0.0295588022415444,-2.21297981927463,0.51030768129771,swadesh.word
English,Verb,TO COME,"BNC, http://www.natcorp.ox.ac.uk",100000000,spoken&written,1512,NA,14,1.9,0.04,15.12,2.71601837075139,0.473479749235209,-1.16969231870229,swadesh.word
English,Verb,TO COUNT,"BNC, http://www.natcorp.ox.ac.uk",100000000,spoken&written,50,NA,27,4.07,0.03,0.5,-0.693147180559945,-2.93568580207612,1.00030768129771,swadesh.word
English,Verb,TO CUT,"BNC, http://www.natcorp.ox.ac.uk",100000000,spoken&written,184,NA,23,3.36,0.03,1.84,0.609765571620894,-1.63277304989528,0.29030768129771,swadesh.word
English,Noun,DAY (NOT NIGHT),"BNC, http://www.natcorp.ox.ac.uk",100000000,spoken&written,940,NA,10,1.04,0.03,9.4,2.24070968927596,-0.00182893224021985,-2.02969231870229,swadesh.word
English,Verb,TO DIE,"BNC, http://www.natcorp.ox.ac.uk",100000000,spoken&written,220,NA,8,0.82,0.04,2.2,0.78845736036427,-1.45408126115191,-2.24969231870229,swadesh.word
English,Verb,TO DIG,"BNC, http://www.natcorp.ox.ac.uk",100000000,spoken&written,28,NA,27,3.86,0.03,0.28,-1.27296567581289,-3.51550429732907,0.79030768129771,swadesh.word
English,Adj.,DIRTY,"BNC, http://www.natcorp.ox.ac.uk",100000000,spoken&written,27,NA,46,9.27,0.04,0.27,-1.30933331998376,-3.55187194149994,6.20030768129771,swadesh.word
English,Noun,DOG,"BNC, http://www.natcorp.ox.ac.uk",100000000,spoken&written,124,NA,15,1.79,0.03,1.24,0.215111379616945,-2.02742724189923,-1.27969231870229,swadesh.word
English,Verb,TO DRINK,"BNC, http://www.natcorp.ox.ac.uk",100000000,spoken&written,75,NA,12,1.49,0.03,0.75,-0.287682072451781,-2.53022069396796,-1.57969231870229,swadesh.word
English,Adj.,DRY (SUBSTANCE),"BNC, http://www.natcorp.ox.ac.uk",100000000,spoken&written,56,NA,13,1.83,0.04,0.56,-0.579818495252942,-2.82235711676912,-1.23969231870229,swadesh.word
English,Adj.,DULL (KNIFE),"BNC, http://www.natcorp.ox.ac.uk",100000000,spoken&written,18,NA,34,6.79,0.04,0.18,-1.71479842809193,-3.95733704960811,3.72030768129771,swadesh.word
English,Noun,DUST,"BNC, http://www.natcorp.ox.ac.uk",100000000,spoken&written,26,NA,26,3.63,0.03,0.26,-1.34707364796661,-3.58961226948279,0.56030768129771,swadesh.word
English,Noun,EAR,"BNC, http://www.natcorp.ox.ac.uk",100000000,spoken&written,59,NA,6,0.88,0.05,0.59,-0.527632742082372,-2.77017136359855,-2.18969231870229,swadesh.word
English,Noun,EARTH (SOIL),"BNC, http://www.natcorp.ox.ac.uk",100000000,spoken&written,97,NA,23,3.52,0.03,0.97,-0.0304592074847085,-2.27299782900089,0.45030768129771,swadesh.word
English,Verb,TO EAT,"BNC, http://www.natcorp.ox.ac.uk",100000000,spoken&written,144,NA,15,1.77,0.03,1.44,0.364643113587909,-1.87789550792827,-1.29969231870229,swadesh.word
English,Noun,EGG,"BNC, http://www.natcorp.ox.ac.uk",100000000,spoken&written,62,NA,13,1.57,0.04,0.62,-0.478035800943,-2.72057442245918,-1.49969231870229,swadesh.word
English,Noun,EYE,"BNC, http://www.natcorp.ox.ac.uk",100000000,spoken&written,392,NA,8,0.93,0.04,3.92,1.36609165380237,-0.876446967713807,-2.13969231870229,swadesh.word
English,Verb,TO FALL (DROP),"BNC, http://www.natcorp.ox.ac.uk",100000000,spoken&written,273,NA,23,2.97,0.03,2.73,1.00430160919687,-1.23823701231931,-0.09969231870229,swadesh.word
